Quarter,Time,Tm,Detail,SEA,WAS
1.0,12:44,Seahawks,Jermaine Kearse 15 yard pass from Russell Wilson (Stephen Hauschka kick),7,0
2.0,9:04,Seahawks,Stephen Hauschka 40 yard field goal,10,0
,4:37,Seahawks,Russell Wilson 9 yard rush (Stephen Hauschka kick),17,0
,2:32,Redskins,DeSean Jackson 60 yard pass from Kirk Cousins (Kai Forbath kick),17,7
3.0,10:41,Redskins,Kai Forbath 27 yard field goal,17,10
4.0,6:31,Seahawks,Marshawn Lynch 9 yard pass from Russell Wilson (Stephen Hauschka kick),24,10
,3:35,Redskins,Andre Roberts 6 yard pass from Kirk Cousins (Kai Forbath kick),24,17
,0:21,Seahawks,Stephen Hauschka 43 yard field goal,27,17
