Unnamed: 0,CLE,BAL
First Downs,18,24
Rush-Yds-TDs,14-50-0,47-296-2
Cmp-Att-Yd-TD-INT,23-42-376-3-3,14-24-179-0-0
Sacked-Yards,0-0,2-12
Net Pass Yards,376,167
Total Yards,426,463
Fumbles-Lost,0-0,2-1
Turnovers,3,1
Penalties-Yards,4-35,10-65
Third Down Conv.,4-11,3-13
Fourth Down Conv.,0-1,1-1
Time of Possession,21:30,38:30
