Unnamed: 0,BAL,SEA
First Downs,25,16
Rush-Yds-TDs,12-75-0,42-119-1
Cmp-Att-Yd-TD-INT,30-53-256-2-1,17-27-217-0-0
Sacked-Yards,1-8,1-9
Net Pass Yards,248,208
Total Yards,323,327
Fumbles-Lost,2-2,1-0
Turnovers,3,0
Penalties-Yards,4-34,13-100
Third Down Conv.,5-12,5-16
Fourth Down Conv.,1-1,1-1
Time of Possession,24:59,35:01
