Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Wade Richey kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,KAN 20,0,0,"Trent Green pass complete to Eddie Kennison for no gain. Penalty on KAN: Illegal Formation, 5 yards (no play)",0.280,-0.310
1,14:49,1,15,KAN 15,0,0,Priest Holmes left end for 4 yards (tackle by Jamal Williams and Ben Leber),-0.310,-0.460
1,14:12,2,11,KAN 19,0,0,Trent Green pass incomplete intended for Tony Richardson (defended by Rodney Harrison),-0.460,-1.140
1,14:08,3,11,KAN 19,0,0,Trent Green pass incomplete intended for Johnnie Morton,-1.140,-2.140
1,14:02,4,11,KAN 19,0,0,"Dan Stryzinski punts 37 yards, returned by Tamarick Vanover for no gain. Penalty on Davis Sanchez: Offensive Holding, 10 yards",-2.140,-1.200
1,13:50,1,10,SDG 34,0,0,Drew Brees pass complete to Josh Norman for 29 yards (tackle by Scott Fujita),1.200,3.120
1,13:26,1,10,KAN 37,0,0,Drew Brees pass complete to LaDainian Tomlinson for 7 yards (tackle by Marvcus Patton),3.120,3.520
1,13:00,2,3,KAN 30,0,0,LaDainian Tomlinson right guard for 1 yard (tackle by Shaunard Harts),3.520,2.940
1,12:22,3,2,KAN 29,0,0,LaDainian Tomlinson right end for 10 yards (tackle by Eric Warfield),2.940,4.310
1,11:59,1,10,KAN 19,0,6,"Tim Dwight left end for 19 yards, touchdown",4.310,7.000
1,11:59,,,KAN 19,0,7,Steve Christie kicks extra point good,0.000,0.000
1,11:59,,,SDG 30,0,7,"Wade Richey kicks off 65 yards, returned by Dante Hall for 25 yards (tackle by Ronney Jenkins)",0.000,0.940
1,11:43,1,10,KAN 30,0,7,Priest Holmes left tackle for no gain (tackle by Raylee Johnson),0.940,0.390
1,11:01,2,10,KAN 30,0,7,Trent Green pass complete to Priest Holmes for 14 yards (tackle by Rodney Harrison),0.390,1.860
1,10:22,1,10,KAN 44,0,7,Dante Hall right end for no gain (tackle by Alex Molden and Rodney Harrison),1.860,1.320
1,9:37,2,10,KAN 44,0,7,Priest Holmes middle for 4 yards (tackle by Junior Seau and Vernon Fox),1.320,1.160
1,8:55,3,6,KAN 48,0,7,Trent Green pass complete to Priest Holmes for 22 yards (tackle by Rogers Beckett),1.160,3.580
1,8:17,1,10,SDG 30,0,7,Trent Green right end for 5 yards (tackle by Alex Molden),3.580,3.710
1,7:34,2,5,SDG 25,0,7,Trent Green pass complete to Priest Holmes for 10 yards (tackle by Alex Molden),3.710,4.580
1,6:50,1,10,SDG 15,0,7,Trent Green pass complete to Marc Boerigter for 9 yards (tackle by Ryan McNeil and Ben Leber),4.580,5.600
1,6:09,2,1,SDG 6,0,7,Priest Holmes right end for -4 yards (tackle by Adrian Dingle),5.600,4.000
1,5:26,3,5,SDG 10,0,7,Trent Green pass incomplete intended for Tony Gonzalez,4.000,2.810
1,5:21,4,5,SDG 10,3,7,Morten Andersen 28 yard field goal good,2.810,3.000
1,5:21,,,KAN 30,3,7,"Michael Husted kicks off 64 yards, returned by Ronney Jenkins for 15 yards (tackle by Monty Beisel)",0.000,0.340
1,5:10,1,10,SDG 21,3,7,Drew Brees pass complete to LaDainian Tomlinson for 14 yards (tackle by Scott Fujita),0.340,1.270
1,4:29,1,10,SDG 35,3,7,Drew Brees pass incomplete intended for Tim Dwight,1.270,0.720
1,4:25,2,10,SDG 35,3,7,Drew Brees pass incomplete intended for Curtis Conway,0.720,0.040
1,4:18,3,10,SDG 35,3,7,Drew Brees pass incomplete intended for Reche Caldwell. Penalty on Damion McIntosh: Offensive Holding (Declined),0.040,-1.040
1,4:08,4,10,SDG 35,3,7,"Darren Bennett punts, blocked by Larry Atkins, recovered by Glenn Cadrez and returned 14 yards",-1.040,-6.970
1,4:01,1,1,SDG 1,3,7,Trent Green pass incomplete intended for Bill Baber,6.970,5.910
1,3:56,2,1,SDG 1,9,7,"Priest Holmes left guard for 1 yard, touchdown",5.910,7.000
1,3:56,,,SDG 1,10,7,Morten Andersen kicks extra point good,0.000,0.000
1,3:56,,,KAN 30,10,7,"Michael Husted kicks off 59 yards, returned by Ronney Jenkins for 20 yards (tackle by Marc Boerigter)",0.000,1.000
1,3:45,1,10,SDG 31,10,7,LaDainian Tomlinson for no gain (tackle by Eddie Freeman),1.000,0.460
1,3:09,2,10,SDG 31,10,7,Drew Brees for no gain (tackle by Scott Fujita),0.460,-0.230
