Unnamed: 0,GNB,PHI
First Downs,16,19
Rush-Yds-TDs,37-210-0,25-164-0
Cmp-Att-Yd-TD-INT,15-28-180-2-1,21-39-248-2-0
Sacked-Yards,1-9,8-49
Net Pass Yards,171,199
Total Yards,381,363
Fumbles-Lost,0-0,3-1
Turnovers,1,1
Penalties-Yards,6-45,3-25
Third Down Conv.,10-19,4-17
Fourth Down Conv.,0-1,2-2
Time of Possession,32:20,32:28
