Quarter,Time,Tm,Detail,NWE,NYJ
1.0,6:50,Patriots,Stephen Gostkowski 45 yard field goal,3,0
2.0,11:30,Patriots,Stephen Gostkowski 25 yard field goal,6,0
,5:59,Jets,Jay Feely 33 yard field goal,6,3
,0:17,Patriots,Stephen Gostkowski 29 yard field goal,9,3
3.0,13:57,Jets,Dustin Keller 9 yard pass from Mark Sanchez (Jay Feely kick),9,10
,8:22,Jets,Jay Feely 24 yard field goal,9,13
4.0,9:48,Jets,Jay Feely 39 yard field goal,9,16
