Quarter,Time,Tm,Detail,HOU,OAK
1.0,6:46,Texans,Ahman Green 8 yard rush (Kris Brown kick),7,0
2.0,4:02,Texans,Ron Dayne 14 yard rush (Kris Brown kick),14,0
,0:05,Texans,Kris Brown 40 yard field goal,17,0
3.0,7:40,Raiders,Sebastian Janikowski 22 yard field goal,17,3
4.0,11:22,Raiders,Justin Fargas 1 yard rush (Sebastian Janikowski kick),17,10
,7:50,Texans,Andre' Davis 42 yard pass from Sage Rosenfels (Kris Brown kick),24,10
,1:30,Raiders,Tim Dwight 28 yard pass from Josh McCown (Sebastian Janikowski kick),24,17
