Unnamed: 0,ARI,STL
First Downs,24,13
Rush-Yds-TDs,34-176-1,20-61-0
Cmp-Att-Yd-TD-INT,22-33-343-2-0,16-33-186-2-2
Sacked-Yards,1-9,2-16
Net Pass Yards,334,170
Total Yards,510,231
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,10-69,4-41
Third Down Conv.,4-13,5-13
Fourth Down Conv.,0-1,0-1
Time of Possession,38:38,21:22
