Unnamed: 0,CIN,DET
First Downs,18,22
Rush-Yds-TDs,18-57-0,25-77-0
Cmp-Att-Yd-TD-INT,24-34-372-3-0,28-51-357-3-0
Sacked-Yards,1-8,0-0
Net Pass Yards,364,357
Total Yards,421,434
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,6-50,4-30
Third Down Conv.,4-10,13-19
Fourth Down Conv.,0-0,0-0
Time of Possession,25:29,34:31
