Quarter,Time,Tm,Detail,CIN,DET
1.0,10:59,Bengals,A.J. Green 82 yard pass from Andy Dalton (Mike Nugent kick),7,0
,3:02,Lions,Brandon Pettigrew 3 yard pass from Matthew Stafford (David Akers kick),7,7
2.0,11:43,Lions,David Akers 36 yard field goal,7,10
,0:41,Bengals,Marvin Jones 12 yard pass from Andy Dalton (Mike Nugent kick),14,10
3.0,10:42,Bengals,Tyler Eifert 32 yard pass from Andy Dalton (Mike Nugent kick),21,10
,8:17,Lions,Calvin Johnson 27 yard pass from Matthew Stafford (David Akers kick),21,17
,3:37,Bengals,Mike Nugent 48 yard field goal,24,17
4.0,11:59,Lions,Calvin Johnson 50 yard pass from Matthew Stafford (David Akers kick),24,24
,0:00,Bengals,Mike Nugent 54 yard field goal,27,24
