Quarter,Time,Down,ToGo,Location,CIN,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 74 yards, touchback",0.000,-0.280
1,15:00,1,10,DET 20,0,0,Joique Bell right tackle for 3 yards (tackle by Domata Peko),0.280,0.140
1,14:27,2,7,DET 23,0,0,Matthew Stafford pass complete short left to Brandon Pettigrew for 6 yards (tackle by Vontaze Burfict and Leon Hall),0.140,0.230
1,13:45,3,1,DET 29,0,0,Reggie Bush left end for 2 yards (tackle by Reggie Nelson),0.230,1.000
1,13:05,1,10,DET 31,0,0,Reggie Bush left end for 4 yards (tackle by Domata Peko),1.000,1.000
1,12:21,2,6,DET 35,0,0,Matthew Stafford pass incomplete short left intended for Ryan Broyles,1.000,0.300
1,12:17,3,6,DET 35,0,0,Matthew Stafford pass complete short left to Brandon Pettigrew for -2 yards (tackle by Vontaze Burfict). Penalty on Kris Durham: Offensive Pass Interference (Declined),0.300,-1.180
1,12:04,4,8,DET 33,0,0,Sam Martin punts 65 yards (tackle by John Wendling),-1.180,0.380
1,11:54,1,10,CIN 10,0,0,BenJarvus Green-Ellis left tackle for 8 yards (tackle by Louis Delmas),-0.380,0.070
1,11:16,2,2,CIN 18,0,0,Andy Dalton pass incomplete short left intended for Tyler Eifert (defended by Louis Delmas),0.070,-0.480
1,11:12,3,2,CIN 18,0,0,"BenJarvus Green-Ellis up the middle for -2 yards (tackle by Willie Young). Penalty on Willie Young: Defensive Offside, 5 yards (no play)",-0.480,0.480
1,11:12,1,10,CIN 23,0,0,"Penalty on Clint Boling: False Start, 5 yards (no play)",0.480,0.000
1,11:12,1,15,CIN 18,6,0,"Andy Dalton pass complete deep right to A.J. Green for 82 yards, touchdown",0.000,7.000
1,11:12,,,DET 2,7,0,Mike Nugent kicks extra point good,0.000,0.000
1,11:12,,,CIN 35,7,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
