Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Cade York kicks off 61 yards, returned by Andre Roberts for 18 yards (tackle by D'Anthony Bell)",0.000,0.410
1,14:56,1,10,CAR 22,0,0,Baker Mayfield pass incomplete short right intended for Robbie Anderson (defended by Jadeveon Clowney),0.410,-0.130
1,14:53,2,10,CAR 22,0,0,Baker Mayfield pass complete short left to Christian McCaffrey for -5 yards (tackle by Anthony Walker),-0.130,-1.680
1,14:09,3,15,CAR 17,0,0,Baker Mayfield pass complete short right to Robbie Anderson for 4 yards (tackle by Greg Newsome and Martin Emerson),-1.680,-1.960
1,13:38,4,11,CAR 21,0,0,"Johnny Hekker punts 44 yards, returned by Demetric Felton for no gain (tackle by Sam Franklin)",-1.960,-1.270
1,13:29,1,10,CLE 35,0,0,Nick Chubb left tackle for 11 yards (tackle by Xavier Woods and Brian Burns),1.270,1.990
1,12:47,1,10,CLE 46,0,0,Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 2 yards (tackle by Donte Jackson),1.990,1.720
1,12:03,2,8,CLE 48,0,0,Nick Chubb right tackle for 5 yards (tackle by Matthew Ioannidis and Jeremy Chinn),1.720,1.690
1,11:17,,,,,,Timeout #1 by Cleveland Browns,,
1,11:17,3,3,CAR 47,0,0,Nick Chubb left end for 4 yards (tackle by Shaq Thompson),1.690,2.720
1,10:40,1,10,CAR 43,0,0,Jacoby Brissett pass complete short left to Amari Cooper for 6 yards (tackle by Jaycee Horn),2.720,2.990
1,10:09,2,4,CAR 37,0,0,Nick Chubb right guard for 1 yard (tackle by Matthew Ioannidis and Xavier Woods),2.990,2.410
1,9:26,3,3,CAR 36,0,0,Jacoby Brissett pass incomplete deep right intended for Amari Cooper,2.410,0.890
1,9:20,4,3,CAR 36,0,0,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones,0.890,-1.330
1,9:17,1,10,CAR 36,0,0,Christian McCaffrey up the middle for 4 yards (tackle by Taven Bryan),1.330,1.330
1,8:56,2,6,CAR 40,0,0,"Baker Mayfield pass complete short right to Christian McCaffrey for no gain (tackle by Jeremiah Owusu-Koramoah and Anthony Walker). Penalty on Ian Thomas: Offensive Holding, 10 yards (accepted) (no play)",1.330,-0.020
1,8:16,2,16,CAR 30,0,0,Chuba Hubbard up the middle for 3 yards (tackle by Jeremiah Owusu-Koramoah and Grant Delpit),-0.020,-0.300
1,7:31,3,13,CAR 33,0,0,"Baker Mayfield aborted snap, recovered by Baker Mayfield at CAR-29 Baker Mayfield for -1 yards (tackle by Myles Garrett)",-0.300,-1.240
1,6:50,4,14,CAR 32,0,0,"Johnny Hekker punts 39 yards, returned by Demetric Felton for 6 yards (tackle by Sam Franklin)",-1.240,-1.270
1,6:45,1,10,CLE 35,0,0,"Nick Chubb right tackle for no gain (tackle by Yetur Gross-Matos). Penalty on Wyatt Teller: Offensive Holding, 10 yards (accepted) (no play)",1.270,0.610
1,6:12,1,20,CLE 25,0,0,Nick Chubb left tackle for no gain (tackle by Xavier Woods),0.610,-0.630
1,5:47,2,20,CLE 25,0,0,Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 15 yards (tackle by Jaycee Horn),-0.630,0.700
1,5:07,3,5,CLE 40,0,0,"Jacoby Brissett pass incomplete deep left intended for Kareem Hunt. Penalty on Jaycee Horn: Defensive Holding, 5 yards (accepted) (no play)",0.700,1.930
1,4:58,1,10,CLE 45,0,0,Jacoby Brissett scrambles right guard for 2 yards (tackle by Phil Hoskins),1.930,1.650
1,4:15,2,8,CLE 47,0,0,Nick Chubb right tackle for 4 yards (tackle by Jeremy Chinn),1.650,1.490
1,3:37,3,4,CAR 49,0,0,Kareem Hunt left tackle for 6 yards (tackle by C.J. Henderson and Xavier Woods),1.490,2.720
1,2:58,1,10,CAR 43,0,0,Jacoby Brissett pass complete short right to Amari Cooper for 2 yards (tackle by Myles Hartsfield and Jaycee Horn),2.720,2.450
1,2:16,2,8,CAR 41,0,0,Jacoby Brissett pass incomplete short right,2.450,1.750
1,2:07,3,8,CAR 41,0,0,Jacoby Brissett pass incomplete intended for Amari Cooper (defended by Xavier Woods),1.750,0.530
1,2:01,4,8,CAR 41,0,0,Corey Bojorquez punts 36 yards out of bounds,0.530,0.380
1,1:53,1,10,CAR 5,0,0,Baker Mayfield pass complete to D.J. Moore for 5 yards (tackle by Greg Newsome),-0.380,-0.420
1,1:17,2,5,CAR 10,0,0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Jadeveon Clowney),-0.420,-0.840
1,1:11,3,5,CAR 10,0,0,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",-0.840,-1.420
1,1:11,3,10,CAR 5,0,0,"Baker Mayfield pass incomplete short right intended for Tommy Tremble. Penalty on Taven Bryan: Roughing the Passer, 15 yards (accepted) (no play)",-1.420,0.280
1,1:06,1,10,CAR 20,0,0,"Baker Mayfield aborted snap, recovered by Baker Mayfield at CAR-18 and returned for 2 yards Baker Mayfield pass complete to Robbie Anderson for 3 yards (tackle by Martin Emerson)",0.280,0.140
1,0:40,2,7,CAR 23,0,0,Baker Mayfield pass incomplete deep right intended for Robbie Anderson,0.140,-0.560
1,0:16,3,7,CAR 23,0,0,Baker Mayfield sacked by and John Johnson for -8 yards and Ronnie Harrison for -8 yards,-0.560,-2.490
Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,22,CAR 8,0,0,"Johnny Hekker punts 48 yards, recovered by Herb Miller at CLE-44 and returned for 48 yards (tackle by Stantley Thomas-Oliver)",-2.490,-1.860
2,14:52,1,10,CLE 44,0,0,Kareem Hunt right tackle for 2 yards (tackle by Frankie Luvu and Derrick Brown),1.860,1.590
2,14:10,2,8,CLE 46,0,0,Jacoby Brissett pass incomplete short right intended for Anthony Schwartz (defended by Cory Littleton),1.590,0.890
2,14:07,3,8,CLE 46,0,0,Jacoby Brissett pass incomplete short left intended for Amari Cooper (defended by C.J. Henderson),0.890,-0.320
2,14:01,4,8,CLE 46,0,0,"Corey Bojorquez punts 46 yards, fair catch by Andre Roberts at CAR-8",-0.320,0.380
2,13:54,1,10,CAR 8,0,0,Baker Mayfield pass complete short right to Robbie Anderson for 8 yards (tackle by Martin Emerson),-0.380,-0.090
2,13:21,2,2,CAR 16,0,0,Christian McCaffrey up the middle for 4 yards (tackle by Alex Wright and Jeremiah Owusu-Koramoah),-0.090,0.280
2,12:42,1,10,CAR 20,0,0,Baker Mayfield pass incomplete short right intended for Shi Smith (defended by Alex Wright),0.280,-0.270
2,12:37,2,10,CAR 20,0,0,Baker Mayfield pass incomplete short left intended for Ian Thomas (defended by Perrion Winfrey),-0.270,-0.960
2,12:33,3,10,CAR 20,0,0,Baker Mayfield pass deep middle intended for Shi Smith is intercepted by Grant Delpit at CAR-38 and returned for -4 yards (tackle by Shi Smith),-0.960,-2.790
2,12:26,1,10,CAR 42,0,0,Jacoby Brissett scrambles left tackle for 2 yards (tackle by Brian Burns),2.790,2.510
2,11:44,2,8,CAR 40,0,0,Nick Chubb left end for 5 yards (tackle by Cory Littleton),2.510,2.480
2,11:03,3,3,CAR 35,0,0,"Jacoby Brissett pass deep left is intercepted by Xavier Woods in end zone and returned for no gain. Penalty on C.J. Henderson: Defensive Pass Interference, 34 yards (accepted) (no play)",2.480,6.970
2,10:53,1,1,CAR 1,6,0,"Jacoby Brissett pass complete short right to Kareem Hunt for 1 yard, touchdown",6.970,7.000
2,10:49,,,CAR 15,7,0,Cade York kicks extra point good,0.000,0.000
2,10:49,,,CLE 35,7,0,"Cade York kicks off 65 yards, touchback.",0.000,0.610
2,10:49,1,10,CAR 25,7,0,Baker Mayfield sacked by and Tommy Togiai for -9 yards and Jadeveon Clowney for -9 yards,0.610,-1.290
2,10:07,2,19,CAR 16,7,0,Baker Mayfield pass incomplete short right,-1.290,-2.140
2,10:02,3,19,CAR 16,7,0,Baker Mayfield pass complete short middle to Robbie Anderson for 12 yards (tackle by Martin Emerson),-2.140,-1.500
2,9:31,4,7,CAR 28,7,0,"Johnny Hekker punts 58 yards, returned by Demetric Felton for 8 yards (tackle by Sean Chandler and Giovanni Ricci)",-1.500,-0.410
2,9:19,1,10,CLE 22,7,0,Jacoby Brissett sacked by Damien Wilson for -9 yards,0.410,-1.430
2,8:32,2,19,CLE 13,7,0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 10 yards (tackle by Donte Jackson),-1.430,-0.690
2,7:49,3,9,CLE 23,7,0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 15 yards (tackle by Donte Jackson),-0.690,1.470
2,7:05,1,10,CLE 38,7,0,Nick Chubb left end for 8 yards (tackle by Brian Burns),1.470,2.000
2,6:17,2,2,CLE 46,7,0,Jacoby Brissett pass incomplete deep left intended for Harrison Bryant (defended by Myles Hartsfield),2.000,1.290
2,6:10,3,2,CLE 46,7,0,Nick Chubb left tackle for 25 yards (tackle by Jeremy Chinn),1.290,3.640
2,5:30,1,10,CAR 29,7,0,Anthony Schwartz right end for 5 yards (tackle by Jeremy Chinn),3.640,3.780
2,4:53,2,5,CAR 24,13,0,"Kareem Hunt up the middle for 24 yards, touchdown",3.780,7.000
2,4:46,,,CAR 15,14,0,Cade York kicks extra point good,0.000,0.000
2,4:46,,,CLE 35,14,0,"Cade York kicks off 65 yards, touchback.",0.000,0.610
