Unnamed: 0,CLE,CAR
First Downs,23,15
Rush-Yds-TDs,39-217-1,19-54-2
Cmp-Att-Yd-TD-INT,18-34-147-1-0,16-27-235-1-1
Sacked-Yards,1-9,4-28
Net Pass Yards,138,207
Total Yards,355,261
Fumbles-Lost,1-0,5-0
Turnovers,0,1
Penalties-Yards,9-71,8-96
Third Down Conv.,8-18,4-11
Fourth Down Conv.,1-2,0-0
Time of Possession,38:26,21:34
