Unnamed: 0,CLE,NYJ
First Downs,18,14
Rush-Yds-TDs,21-55-0,20-66-0
Cmp-Att-Yd-TD-INT,32-48-294-2-0,19-27-183-2-1
Sacked-Yards,2-15,1-8
Net Pass Yards,279,175
Total Yards,334,241
Fumbles-Lost,2-0,4-2
Turnovers,0,3
Penalties-Yards,7-45,6-40
Third Down Conv.,9-19,3-9
Fourth Down Conv.,1-1,0-0
Time of Possession,37:54,22:06
