Quarter,Time,Down,ToGo,Location,ARI,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYJ 25,0,0,Joe Flacco pass incomplete short right intended for Jeff Smith,0.610,0.060
1,14:55,2,10,NYJ 25,0,0,Le'Veon Bell left tackle for 2 yards (tackle by Byron Murphy),0.060,-0.360
1,14:25,3,8,NYJ 27,0,0,Joe Flacco pass complete short right to Jamison Crowder for 7 yards (tackle by Byron Murphy),-0.360,-1.110
1,13:48,4,1,NYJ 34,0,0,"Braden Mann punts 54 yards, returned by Christian Kirk for 5 yards (tackle by Matthias Farley)",-1.110,0.060
1,13:36,1,10,ARI 17,0,0,Kenyan Drake left end for 1 yard (tackle by Jordan Jenkins),-0.060,-0.420
1,13:06,2,9,ARI 18,0,0,Kenyan Drake right guard for 4 yards (tackle by Neville Hewitt and John Franklin-Myers),-0.420,-0.620
1,12:32,3,5,ARI 22,0,0,Kyler Murray pass incomplete deep right intended for Christian Kirk (defended by Avery Williamson) (defended by Bradley McDougald),-0.620,-1.900
1,12:22,4,5,ARI 22,0,0,Andy Lee punts 51 yards downed by Trent Sherfield,-1.900,-0.740
1,12:07,1,10,NYJ 27,0,0,Joe Flacco pass complete short left to Jeff Smith for 4 yards,0.740,0.740
1,11:43,2,6,NYJ 31,0,0,Joe Flacco pass complete short right to Chris Hogan for 4 yards (tackle by Patrick Peterson),0.740,0.560
1,10:59,3,2,NYJ 35,0,0,Joe Flacco pass incomplete short right intended for Jeff Smith,0.560,-1.040
1,10:56,4,2,NYJ 35,0,0,Braden Mann punts 54 yards downed by Javelin Guidry,-1.040,0.370
1,10:46,1,10,ARI 11,0,0,Kyler Murray pass complete short left to Darrell Daniels for 6 yards (tackle by Lamar Jackson),-0.370,-0.160
1,10:20,2,4,ARI 17,0,0,Kyler Murray pass complete short left to Christian Kirk for 8 yards (tackle by Avery Williamson),-0.160,0.610
1,9:45,1,10,ARI 25,0,0,Kenyan Drake left guard for no gain (tackle by Quinnen Williams and John Franklin-Myers),0.610,0.060
1,9:15,2,10,ARI 25,0,0,Kyler Murray up the middle for 16 yards (tackle by Brian Poole),0.060,1.660
1,8:42,1,10,ARI 41,0,0,Kyler Murray pass complete short right to Christian Kirk for 21 yards (tackle by Pierre Desir),1.660,3.050
1,8:24,1,10,NYJ 38,0,0,Kenyan Drake right guard for 3 yards (tackle by Avery Williamson and Neville Hewitt),3.050,2.910
1,7:51,2,7,NYJ 35,0,0,Kyler Murray pass complete short right to Andy Isabella for 6 yards (tackle by Pierre Desir),2.910,3.010
1,7:40,3,1,NYJ 29,6,0,"Chase Edmonds right guard for 29 yards, touchdown",3.010,7.000
1,7:33,,,NYJ 15,7,0,Zane Gonzalez kicks extra point good,0.000,0.000
1,7:33,,,ARI 35,7,0,"Zane Gonzalez kicks off 57 yards, muffed catch by La'Mical Perine returned by La'Mical Perine for 4 yards (tackle by Jonathan Ward and Charles Washington)",0.000,-0.350
1,7:28,1,10,NYJ 12,7,0,Le'Veon Bell left guard for 9 yards (tackle by De'Vondre Campbell),-0.350,0.420
1,6:51,2,1,NYJ 21,7,0,Le'Veon Bell left tackle for 4 yards (tackle by Deionte Thompson),0.420,0.610
1,6:13,1,10,NYJ 25,7,0,Le'Veon Bell left end for no gain (tackle by Kylie Fitts),0.610,0.060
1,5:32,2,10,NYJ 25,7,0,Le'Veon Bell right guard for 2 yards (tackle by Jordan Hicks),0.060,-0.360
1,4:56,3,8,NYJ 27,7,0,Joe Flacco pass incomplete short middle intended for Jamison Crowder,-0.360,-1.570
1,4:52,4,8,NYJ 27,7,0,"Braden Mann punts 42 yards, returned by Christian Kirk for 3 yards (tackle by Matthias Farley)",-1.570,-1.200
1,4:43,1,10,ARI 34,7,0,Kyler Murray pass complete short middle to Larry Fitzgerald for 12 yards (tackle by Pierre Desir),1.200,1.990
1,4:25,1,10,ARI 46,7,0,Kenyan Drake right end for -1 yards (tackle by Neville Hewitt and Marcus Maye),1.990,1.320
1,3:51,2,11,ARI 45,7,0,Kyler Murray pass complete short left to DeAndre Hopkins for 15 yards,1.320,2.920
1,3:27,1,10,NYJ 40,7,0,Kyler Murray pass incomplete short left intended for Chase Edmonds,2.920,2.370
1,3:22,2,10,NYJ 40,7,0,"Kyler Murray up the middle for 2 yards (tackle by Marcus Maye). Penalty on Kelvin Beachum: Offensive Holding, 10 yards (no play)",2.370,1.020
1,2:55,2,20,ARI 50,7,0,Kyler Murray pass complete short right to Chase Edmonds for 6 yards (tackle by John Franklin-Myers and Brian Poole),1.020,1.160
1,2:11,3,14,NYJ 44,7,0,Kyler Murray pass incomplete deep right,1.160,0.330
1,2:02,4,14,NYJ 44,7,0,"Andy Lee punts 36 yards, fair catch by Braxton Berrios at NYJ-8",0.330,0.380
1,1:55,1,10,NYJ 8,7,0,Joe Flacco pass complete short middle to Jamison Crowder for 12 yards (tackle by Byron Murphy),-0.380,0.280
1,1:24,1,10,NYJ 20,7,0,Frank Gore left end for 4 yards (tackle by De'Vondre Campbell),0.280,0.270
1,0:53,2,6,NYJ 24,7,0,"Joe Flacco pass incomplete short right. Penalty on Deionte Thompson: Illegal Contact, 5 yards (no play)",0.270,0.870
1,0:46,1,10,NYJ 29,7,0,Frank Gore right tackle for 11 yards (tackle by Deionte Thompson),0.870,1.600
1,0:05,1,10,NYJ 40,7,0,Frank Gore up the middle for 2 yards (tackle by Budda Baker),1.600,1.320
Quarter,Time,Down,ToGo,Location,ARI,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,NYJ 42,7,0,Joe Flacco up the middle for 1 yard (tackle by Rashard Lawrence),1.320,0.760
2,14:21,3,7,NYJ 43,7,0,Joe Flacco up the middle for 9 yards (tackle by Jordan Hicks),0.760,2.390
2,13:50,1,10,ARI 48,7,0,"Joe Flacco pass incomplete short middle intended for Frank Gore (defended by Jordan Phillips). Penalty on Budda Baker: Illegal Contact, 5 yards (no play)",2.390,2.720
2,13:45,1,10,ARI 43,7,0,Frank Gore left guard for 3 yards (tackle by Zach Allen),2.720,2.580
2,13:00,2,7,ARI 40,7,0,Joe Flacco pass complete short right to Le'Veon Bell for 7 yards (tackle by Jordan Phillips),2.580,3.380
2,12:24,1,10,ARI 33,7,0,Le'Veon Bell up the middle for 7 yards (tackle by Jordan Hicks),3.380,3.780
2,11:43,2,3,ARI 26,7,0,Frank Gore left guard for 4 yards (tackle by Jordan Phillips),3.780,4.110
2,11:05,1,10,ARI 22,7,0,Frank Gore right guard for 4 yards (tackle by Chandler Jones),4.110,4.130
2,10:30,2,6,ARI 18,7,0,Joe Flacco pass complete short right to Trevon Wesco for 5 yards (tackle by Budda Baker),4.130,4.390
2,9:49,3,1,ARI 13,7,0,Trevon Wesco up the middle for no gain (tackle by Budda Baker),4.390,2.720
2,9:05,4,1,ARI 13,7,0,Le'Veon Bell up the middle for no gain (tackle by De'Vondre Campbell and Budda Baker),2.720,0.320
2,8:58,1,10,ARI 13,7,0,Kyler Murray pass complete short right to Christian Kirk for 15 yards (tackle by Ashtyn Davis and Pierre Desir),-0.320,0.810
2,8:27,1,10,ARI 28,7,0,Kenyan Drake up the middle for 4 yards (tackle by Avery Williamson),0.810,0.800
2,8:02,2,6,ARI 32,7,0,Kyler Murray pass incomplete short right intended for Larry Fitzgerald,0.800,0.100
2,7:58,3,6,ARI 32,7,0,Kyler Murray pass short right (defended by Neville Hewitt) intended for Christian Kirk is intercepted by Avery Williamson at ARI-31 and returned for 21 yards,0.100,-4.910
2,7:48,1,10,ARI 10,7,0,"Penalty on NYJ: Delay of Game, 5 yards (no play)",4.910,4.370
2,7:48,1,15,ARI 15,7,0,Le'Veon Bell right guard for 7 yards (tackle by Patrick Peterson),4.370,4.570
2,7:10,2,8,ARI 8,7,0,Joe Flacco pass incomplete short right intended for Jeff Smith,4.570,3.580
2,7:08,3,8,ARI 8,7,0,Joe Flacco pass incomplete short right intended for Jeff Smith,3.580,2.950
2,7:04,4,8,ARI 8,7,3,Sam Ficken 26 yard field goal good,2.950,3.000
2,7:01,,,NYJ 35,7,3,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
2,7:01,1,10,ARI 25,7,3,Kyler Murray right end for 10 yards (tackle by Pierre Desir),0.610,1.270
2,6:38,1,10,ARI 35,7,3,Kenyan Drake up the middle for 3 yards (tackle by Tarell Basham and Henry Anderson),1.270,1.130
2,5:58,2,7,ARI 38,7,3,Kyler Murray pass complete short middle to Larry Fitzgerald for 9 yards (tackle by Jordan Jenkins),1.130,2.060
2,5:39,1,10,ARI 47,7,3,Kyler Murray pass incomplete short right intended for Andy Isabella,2.060,1.520
2,5:36,2,10,ARI 47,7,3,"Kenyan Drake right guard for 4 yards (tackle by Folorunso Fatukasi and Quinnen Williams). Penalty on D.J. Humphries: Illegal Formation, 5 yards (no play)",1.520,0.840
2,5:15,2,15,ARI 42,7,3,Kyler Murray pass incomplete deep right intended for Larry Fitzgerald,0.840,0.170
2,5:09,3,15,ARI 42,7,3,Kyler Murray pass complete deep right to Andy Isabella for 24 yards (tackle by Bradley McDougald). Penalty on Tarell Basham: Defensive Offside (Declined),0.170,3.310
2,4:47,1,10,NYJ 34,7,3,Kyler Murray pass complete deep right to Christian Kirk for 24 yards (tackle by Pierre Desir),3.310,4.910
2,4:22,1,10,NYJ 10,7,3,Kyler Murray left guard for 3 yards (tackle by Folorunso Fatukasi),4.910,4.760
2,3:38,2,7,NYJ 7,7,3,"Kyler Murray pass incomplete short middle intended for Dan Arnold. Penalty on Bradley McDougald: Defensive Holding, 4 yards (no play)",4.760,6.510
2,3:30,1,3,NYJ 3,7,3,Kenyan Drake right tackle for 1 yard (tackle by Pierre Desir),6.510,5.720
2,2:46,2,2,NYJ 2,13,3,"Kyler Murray left tackle for 2 yards, touchdown",5.720,7.000
2,2:41,,,NYJ 15,14,3,Zane Gonzalez kicks extra point good,0.000,0.000
2,2:41,,,ARI 35,14,3,"Zane Gonzalez kicks off 68 yards, returned by La'Mical Perine for 18 yards (tackle by Isaiah Simmons)",0.000,-0.220
2,2:37,1,10,NYJ 15,14,3,Le'Veon Bell right end for 13 yards (tackle by De'Vondre Campbell),-0.220,0.810
2,2:12,1,10,NYJ 28,14,3,Joe Flacco pass complete short middle to Jamison Crowder for 4 yards (tackle by De'Vondre Campbell),0.810,0.800
