Quarter,Time,Tm,Detail,ARI,NYJ
1.0,7:33,Cardinals,Chase Edmonds 29 yard rush (Zane Gonzalez kick),7,0
2.0,7:01,Jets,Sam Ficken 26 yard field goal,7,3
,2:41,Cardinals,Kyler Murray 2 yard rush (Zane Gonzalez kick),14,3
,0:03,Cardinals,Zane Gonzalez 47 yard field goal,17,3
3.0,5:51,Jets,Jamison Crowder 11 yard pass from Joe Flacco (Sam Ficken kick),17,10
,0:15,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),24,10
4.0,8:35,Cardinals,DeAndre Hopkins 37 yard pass from Kyler Murray (pass failed),30,10
