Unnamed: 0,SFO,BAL
First Downs,10,15
Rush-Yds-TDs,30-106-0,29-117-2
Cmp-Att-Yd-TD-INT,17-36-158-0-4,14-25-177-2-1
Sacked-Yards,0-0,1-12
Net Pass Yards,158,165
Total Yards,264,282
Fumbles-Lost,0-0,3-1
Turnovers,4,2
Penalties-Yards,6-46,4-25
Third Down Conv.,4-15,5-14
Fourth Down Conv.,0-2,1-1
Time of Possession,32:39,27:21
