Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
1,5:30,3,7,SFO 4,3,7,Jeff Garcia pass incomplete intended for Terrell Owens,-1.070,-2.490
1,5:22,4,7,SFO 4,3,7,"Bill LaFleur punts 46 yards, fair catch by Lamont Brightful",-2.490,-2.260
1,5:14,1,10,BAL 50,3,7,Anthony Wright pass complete to Todd Heap for 9 yards (tackle by Derek Smith),2.260,2.930
1,4:44,2,1,SFO 41,3,7,"Penalty on Orlando Brown: False Start, 5 yards (no play)",2.930,2.250
1,4:17,2,6,SFO 46,3,7,"Penalty on Bennie Anderson: False Start, 5 yards (no play)",2.250,1.580
1,4:01,2,11,BAL 49,3,7,Anthony Wright pass incomplete intended for Todd Heap,1.580,0.890
1,3:52,3,11,BAL 49,3,7,Anthony Wright pass incomplete intended for Chester Taylor (defended by Derek Smith),0.890,-0.130
1,3:47,4,11,BAL 49,3,7,"Dave Zastudil punts 42 yards, fair catch by Jimmy Williams",-0.130,0.380
1,3:39,1,10,SFO 9,3,7,Kevan Barlow left guard for 6 yards (tackle by Ray Lewis and Will Demps),-0.380,-0.280
1,3:04,2,4,SFO 15,3,7,Jeff Garcia pass complete to Terrell Owens for 8 yards (tackle by Ed Hartwell),-0.280,0.480
1,2:27,1,10,SFO 23,3,7,Jeff Garcia pass complete to Fred Beasley for 32 yards (tackle by Marques Douglas),0.480,2.590
1,1:39,1,10,BAL 45,3,7,Kevan Barlow right guard for 4 yards (tackle by Kelly Gregg),2.590,2.580
1,1:00,2,6,BAL 41,3,7,Kevan Barlow up the middle for 1 yard (tackle by Ma'ake Kemoeatu and Kelly Gregg),2.580,2.010
1,0:19,3,5,BAL 40,3,7,"Penalty on Jed Weaver: False Start, 5 yards (no play)",2.010,1.360
Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,BAL 45,3,7,Jeff Garcia pass incomplete intended for Garrison Hearst (defended by Adalius Thomas),1.360,0.270
2,14:55,4,10,BAL 45,3,7,Bill LaFleur punts 33 yards,0.270,0.350
2,14:45,1,10,BAL 12,3,7,Jamal Lewis left end for -1 yards (tackle by Saleem Rasheed),-0.350,-0.850
2,14:12,2,11,BAL 11,3,7,Anthony Wright pass complete to Travis Taylor for 10 yards (tackle by Ahmed Plummer),-0.850,-0.370
2,13:30,3,1,BAL 21,3,7,Jamal Lewis left guard for 3 yards (tackle by Ahmed Plummer and Andre Carter),-0.370,0.540
2,12:54,1,10,BAL 24,3,7,Jamal Lewis left tackle for 3 yards (tackle by Jason Webster),0.540,0.400
2,12:15,2,7,BAL 27,3,7,Anthony Wright pass complete to Travis Taylor for 4 yards,0.400,0.230
2,11:48,3,3,BAL 31,3,7,Anthony Wright pass complete to Travis Taylor for 7 yards (tackle by Ahmed Plummer),0.230,1.470
2,11:01,1,10,BAL 38,3,7,Jamal Lewis left tackle for 3 yards (tackle by Derek Smith and Sean Moran),1.470,1.330
2,10:25,2,7,BAL 41,3,7,Jamal Lewis left tackle for 2 yards (tackle by Derek Smith and Saleem Rasheed),1.330,0.890
2,9:42,3,5,BAL 43,3,7,"Anthony Wright sacked by John Engelberger for -12 yards. Anthony Wright fumbles (forced by John Engelberger), recovered by Orlando Brown at BAL-31",0.890,-1.310
2,9:02,4,17,BAL 31,3,7,"Dave Zastudil punts 43 yards, returned by Jimmy Williams for no gain",-1.310,-0.670
2,8:46,1,10,SFO 26,3,7,Jeff Garcia pass complete to Jed Weaver for 5 yards (tackle by Will Demps),0.670,0.810
2,8:24,2,5,SFO 31,3,7,Garrison Hearst up the middle for 3 yards (tackle by Ray Lewis),0.810,0.500
2,7:49,,,,3,7,Timeout #2 by San Francisco 49ers,0.000,0.500
2,7:49,3,2,SFO 34,3,7,Jeff Garcia pass complete to Aaron Walker for 7 yards (tackle by Ray Lewis),0.500,1.660
2,7:20,1,10,SFO 41,3,7,Garrison Hearst right tackle for -2 yards (tackle by Adalius Thomas and Marques Douglas),1.660,0.850
2,6:33,2,12,SFO 39,3,7,"Penalty on Jeff Garcia: Delay of Game, 5 yards (no play)",0.850,0.180
2,6:10,2,17,SFO 34,3,7,"Jeff Garcia pass complete to Fred Beasley for 9 yards (tackle by Peter Boulware). Penalty on Peter Boulware: Defensive Offside, 5 yards (no play)",0.180,0.850
2,5:43,2,12,SFO 39,3,7,Garrison Hearst up the middle for 2 yards (tackle by Adalius Thomas and Riddick Parker),0.850,0.430
2,4:59,3,10,SFO 41,3,7,Jeff Garcia pass incomplete intended for Terrell Owens,0.430,-0.650
2,4:50,4,10,SFO 41,3,7,Bill LaFleur punts 27 yards,-0.650,-1.070
2,4:42,1,10,BAL 32,3,7,"Anthony Wright for no gain. Anthony Wright fumbles, recovered by John Engelberger at BAL-30 (tackle by Bennie Anderson)",1.070,-3.580
2,4:36,1,10,BAL 30,3,7,Jeff Garcia pass complete to Jed Weaver for 9 yards (tackle by Ed Hartwell),3.580,4.250
2,4:11,2,1,BAL 21,3,7,Kevan Barlow up the middle for -1 yards (tackle by Ed Hartwell),4.250,3.400
2,3:29,3,2,BAL 22,3,7,Jeff Garcia pass incomplete intended for Terrell Owens (defended by Gary Baxter),3.400,2.120
2,3:25,4,2,BAL 22,6,7,Todd Peterson 40 yard field goal good,2.120,3.000
2,,,,SFO 30,6,7,"Todd Peterson kicks off 64 yards, returned by Lamont Brightful for 75 yards (tackle by Tony Parrish)",0.000,4.310
2,3:09,1,10,SFO 19,6,7,Jamal Lewis right tackle for -1 yards (tackle by Saleem Rasheed and Julian Peterson),4.310,3.630
2,2:35,2,11,SFO 20,6,7,Anthony Wright pass incomplete intended for Travis Taylor (defended by Ahmed Plummer),3.630,2.940
2,2:25,3,11,SFO 20,6,7,Anthony Wright pass complete to Todd Heap for 10 yards (tackle by Andre Carter),2.940,2.910
2,2:00,4,1,SFO 10,6,10,Matt Stover 28 yard field goal good,2.910,3.000
2,,,,BAL 30,6,10,"Wade Richey kicks off 63 yards, returned by Cedrick Wilson for 16 yards (tackle by Raymond Walls)",0.000,-0.480
2,1:50,1,10,SFO 23,6,10,Jeff Garcia pass complete to Garrison Hearst for -4 yards (tackle by Chad Williams),0.480,-0.670
2,1:40,,,,6,10,Timeout #1 by Baltimore Ravens,0.000,-0.670
2,1:40,2,14,SFO 19,6,10,Jeff Garcia pass complete to Terrell Owens for 9 yards (tackle by Chad Williams),-0.670,-0.100
2,1:33,3,5,SFO 28,6,10,Jeff Garcia pass incomplete intended for Cedrick Wilson (defended by Gary Baxter),-0.100,-1.500
2,1:30,4,5,SFO 28,6,10,"Bill LaFleur punts 46 yards, returned by Lamont Brightful for 10 yards (tackle by Sean Moran). Penalty on Terry Jackson: Face Mask (15 Yards), 15 yards",-1.500,-2.320
2,1:18,1,10,SFO 49,6,10,Anthony Wright pass complete to Todd Heap for 11 yards (tackle by Tony Parrish),2.320,3.050
2,0:58,1,10,SFO 38,6,16,"Anthony Wright pass complete to Marcus Robinson for 38 yards, touchdown. Penalty on Jason Webster: Illegal Contact (Declined)",3.050,7.000
2,,,,SFO 2,6,17,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,6,17,"Wade Richey kicks off 70 yards, touchback",0.000,-0.280
2,0:46,1,10,SFO 20,6,17,Garrison Hearst right end for 7 yards (tackle by Corey Fuller),0.280,0.680
2,0:41,2,3,SFO 27,6,23,"Jeff Garcia pass incomplete intended for Cedrick Wilson is intercepted by Ray Lewis at SFO-29 and returned for 29 yards, touchdown",0.680,-7.000
2,,,,SFO 2,6,24,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,6,24,"Wade Richey kicks off 67 yards, returned by Cedrick Wilson for 30 yards (tackle by Raymond Walls)",0.000,-1.140
2,0:24,1,10,SFO 33,6,24,Garrison Hearst right guard for 1 yard (tackle by Kelly Gregg),1.140,0.730
Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 30,6,24,"Todd Peterson kicks off 46 yards, returned by Adalius Thomas for 21 yards (tackle by Rashad Holman)",0.000,1.930
3,14:54,1,10,BAL 45,6,24,Jamal Lewis up the middle for 1 yard (tackle by Travis Kirschke and Saleem Rasheed),1.930,1.520
3,14:21,2,9,BAL 46,6,24,Jamal Lewis right guard for no gain (tackle by Travis Kirschke and John Keith),1.520,0.830
3,13:44,3,9,BAL 46,6,24,Anthony Wright pass complete to Alan Ricard for 7 yards (tackle by Ahmed Plummer),0.830,0.130
3,13:02,4,2,SFO 47,6,24,"Dave Zastudil punts 36 yards, fair catch by Jimmy Williams",0.130,0.370
3,12:55,1,10,SFO 11,6,24,Garrison Hearst right tackle for 6 yards (tackle by Ray Lewis and Will Demps),-0.370,-0.160
3,12:23,2,4,SFO 17,6,24,Jeff Garcia pass complete to Fred Beasley for 7 yards (tackle by Ray Lewis),-0.160,0.540
3,11:44,1,10,SFO 24,6,24,Garrison Hearst up the middle for 13 yards (tackle by Ed Reed and Ray Lewis),0.540,1.400
3,11:05,1,10,SFO 37,6,24,Garrison Hearst right tackle for no gain (tackle by Adalius Thomas),1.400,0.860
3,10:28,2,10,SFO 37,6,24,Jeff Garcia pass complete to Fred Beasley for 3 yards (tackle by Peter Boulware),0.860,0.560
3,9:59,3,7,SFO 40,6,24,Jeff Garcia pass complete to Kevan Barlow for 9 yards (tackle by Ed Reed),0.560,2.190
3,9:19,1,10,SFO 49,6,24,Kevan Barlow left tackle for 1 yard (tackle by Jarret Johnson and Peter Boulware),2.190,1.780
3,8:40,2,9,BAL 50,6,24,Jeff Garcia pass incomplete intended for Aaron Walker (defended by Will Demps),1.780,1.090
3,8:29,3,9,BAL 50,6,24,Jeff Garcia pass complete to Garrison Hearst for 7 yards (tackle by Ray Lewis),1.090,0.400
3,7:47,4,2,BAL 43,6,24,"Bill LaFleur punts 37 yards, fair catch by Lamont Brightful",0.400,0.380
3,7:38,1,10,BAL 6,6,24,Anthony Wright pass incomplete intended for Marcus Robinson (defended by Ahmed Plummer),-0.380,-0.780
3,7:33,2,10,BAL 6,6,24,Anthony Wright pass incomplete intended for Marcus Robinson,-0.780,-1.420
3,7:29,3,10,BAL 6,6,24,Anthony Wright up the middle for 9 yards (tackle by Derek Smith),-1.420,-2.440
3,6:55,4,1,BAL 15,6,24,"Dave Zastudil punts 49 yards, returned by Jimmy Williams for -1 yards (tackle by Musa Smith)",-2.440,-1.270
3,6:40,1,10,SFO 35,6,24,Jeff Garcia pass complete to Jed Weaver for 5 yards (tackle by Gary Baxter),1.270,1.400
3,6:07,2,5,SFO 40,6,24,Kevan Barlow up the middle for 4 yards (tackle by Kelly Gregg and Ed Hartwell),1.400,1.220
3,5:22,3,1,SFO 44,6,24,Kevan Barlow up the middle for 4 yards (tackle by Ed Hartwell and Ray Lewis),1.220,2.130
3,4:45,1,10,SFO 48,6,24,Jeff Garcia pass complete to Jed Weaver for 8 yards (tackle by Ray Lewis),2.130,2.660
3,4:08,2,2,BAL 44,6,24,Jeff Garcia pass incomplete intended for Brandon Lloyd,2.660,1.950
3,3:58,3,2,BAL 44,6,24,Kevan Barlow right guard for no gain (tackle by Ray Lewis and Riddick Parker),1.950,0.330
3,3:16,4,2,BAL 44,6,24,Fred Beasley left guard for 1 yard (tackle by Ray Lewis and Peter Boulware),0.330,-1.800
3,3:11,1,10,BAL 43,6,24,Anthony Wright for 17 yards (tackle by Zack Bronson),1.800,2.920
3,2:45,1,10,SFO 40,6,24,Jamal Lewis left end for -2 yards (tackle by Derek Smith),2.920,2.100
3,2:08,2,12,SFO 42,6,24,Anthony Wright pass incomplete intended for Todd Heap,2.100,1.420
3,1:58,3,12,SFO 42,6,24,Anthony Wright pass complete to Chester Taylor for 13 yards (tackle by Derek Smith),1.420,3.640
3,1:20,1,10,SFO 29,6,24,"Jamal Lewis right guard for 3 yards. Penalty on Edwin Mulitalo: Offensive Holding, 10 yards (no play)",3.640,2.980
3,1:01,1,20,SFO 39,6,24,Anthony Wright pass incomplete intended for Marcus Robinson (defended by Ahmed Plummer),2.980,1.750
3,0:49,2,20,SFO 39,6,24,Jamal Lewis left guard for 4 yards (tackle by Chidi Ahanotu),1.750,1.620
3,0:17,3,16,SFO 35,6,24,Anthony Wright pass complete to Terry Jones for 6 yards (tackle by Derek Smith),1.620,1.500
Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,10,SFO 29,6,27,Matt Stover 47 yard field goal good,1.500,3.000
4,,,,BAL 30,6,27,"Wade Richey kicks off 77 yards, touchback",0.000,-0.280
4,14:55,1,10,SFO 20,6,27,Jeff Garcia pass incomplete intended for Tai Streets,0.280,-0.270
4,14:51,2,10,SFO 20,6,27,Jeff Garcia pass incomplete intended for Terrell Owens,-0.270,-0.960
4,14:43,3,10,SFO 20,6,27,Jeff Garcia pass incomplete intended for Kevan Barlow is intercepted by Gary Baxter at SFO-28 and returned for 7 yards,-0.960,-4.170
4,14:34,1,10,SFO 21,6,27,Anthony Wright pass complete to Alan Ricard for 15 yards,4.170,5.830
4,13:55,1,6,SFO 6,6,33,"Anthony Wright pass complete to Terry Jones for 6 yards, touchdown",5.830,7.000
4,,,,SFO 2,6,34,Matt Stover kicks extra point good,0.000,0.000
4,,,,BAL 30,6,34,"Wade Richey kicks off 64 yards, returned by Cedrick Wilson for 21 yards (tackle by Adalius Thomas)",0.000,-0.740
4,13:40,1,10,SFO 27,6,34,Kevan Barlow right tackle for 3 yards (tackle by Ray Lewis),0.740,0.600
4,13:20,2,7,SFO 30,6,34,"Jeff Garcia pass incomplete intended for Cedrick Wilson is intercepted by Will Demps at SFO-41 and returned for 3 yards (tackle by Jed Weaver). Penalty on Marques Douglas: Personal Foul (Offsetting), Penalty on Derrick Deese: Unnecessary Roughness (Offsetting)",0.600,-3.050
4,13:11,1,10,SFO 38,6,34,Jamal Lewis left end for 14 yards (tackle by Ahmed Plummer and Travis Kirschke),3.050,3.970
4,12:37,1,10,SFO 24,6,34,Anthony Wright pass incomplete intended for Travis Taylor,3.970,3.430
4,12:26,2,10,SFO 24,6,34,Jamal Lewis up the middle for 1 yard (tackle by Bryant Young and Derek Smith),3.430,2.870
4,11:49,3,9,SFO 23,6,34,Anthony Wright pass incomplete intended for Todd Heap (defended by Tony Parrish),2.870,1.930
4,11:41,4,9,SFO 23,6,37,Matt Stover 41 yard field goal good,1.930,3.000
4,,,,BAL 30,6,37,"Wade Richey kicks off 67 yards, returned by Cedrick Wilson for 16 yards (tackle by Adalius Thomas)",0.000,-0.150
4,11:32,1,10,SFO 19,6,37,"Jamal Robertson for 9 yards. Penalty on Kyle Kosier: Offensive Holding, 9 yards (no play)",0.150,-0.720
4,11:10,1,19,SFO 10,6,37,Tim Rattay pass complete to Terrell Owens for 6 yards (tackle by Ray Lewis),-0.720,-0.870
4,10:35,2,13,SFO 16,6,37,Jamal Robertson right tackle for -2 yards (tackle by Chad Williams and Ray Lewis),-0.870,-1.920
4,9:53,3,15,SFO 14,6,37,Tim Rattay pass complete to Brandon Lloyd for 32 yards (tackle by Raymond Walls). Penalty on Terrell Suggs: Illegal Use of Hands (Declined),-1.920,1.990
4,9:27,1,10,SFO 46,6,37,Tim Rattay pass incomplete intended for Fred Beasley,1.990,1.450
4,9:20,2,10,SFO 46,6,37,Jamal Robertson up the middle for 4 yards (tackle by Riddick Parker and Adalius Thomas),1.450,1.290
4,8:45,3,6,BAL 50,6,37,"Penalty on Derrick Deese: False Start, 5 yards (no play)",1.290,0.630
4,8:20,3,11,SFO 45,6,37,Tim Rattay pass complete to Cedrick Wilson for 8 yards (tackle by Chad Williams),0.630,0.130
4,7:40,4,3,BAL 47,6,37,Tim Rattay pass incomplete intended for Brandon Lloyd (defended by Raymond Walls),0.130,-2.130
4,7:34,1,10,BAL 48,6,37,Jamal Lewis right end for 5 yards (tackle by John Keith),2.130,2.260
4,6:53,2,5,SFO 47,6,37,Anthony Wright pass incomplete intended for Todd Heap,2.260,1.550
4,6:40,3,5,SFO 47,6,37,Jamal Lewis up the middle for 2 yards (tackle by Chidi Ahanotu and Derek Smith),1.550,0.270
4,6:02,4,3,SFO 45,6,37,"Dave Zastudil punts 45 yards, touchback",0.270,-0.280
4,5:48,1,10,SFO 20,6,37,Tim Rattay pass incomplete intended for Cedrick Wilson,0.280,-0.270
4,5:45,2,10,SFO 20,6,37,Jamal Robertson right end for 4 yards (tackle by Ray Lewis and Peter Boulware),-0.270,-0.430
4,5:08,3,6,SFO 24,6,37,Tim Rattay pass incomplete intended for Cedrick Wilson (defended by Adalius Thomas). Penalty on Jamal Robertson: Offensive Holding (Declined),-0.430,-1.770
4,5:01,4,6,SFO 24,6,37,"Bill LaFleur punts 40 yards, returned by Lamont Brightful for 12 yards (tackle by Dwaine Carpenter)",-1.770,-2.130
4,4:50,1,10,BAL 48,6,37,Musa Smith left end for 3 yards (tackle by Rashad Holman),2.130,1.990
4,4:12,2,7,SFO 49,6,37,Musa Smith right end for 2 yards (tackle by Anthony Adams),1.990,1.550
4,3:27,3,5,SFO 47,6,37,"Anthony Wright pass complete to Marcus Robinson for 33 yards (tackle by Dwaine Carpenter). Penalty on Julian Peterson: Roughing the Passer, 7 yards",1.550,5.600
4,3:07,1,7,SFO 7,6,37,"Musa Smith right tackle for 1 yard (tackle by Saleem Rasheed). Musa Smith fumbles (forced by Saleem Rasheed), recovered by Travis Taylor at SFO-6",5.600,4.570
4,2:22,2,8,SFO 8,6,37,Musa Smith up the middle for 2 yards (tackle by Travis Kirschke and Saleem Rasheed),4.570,4.040
4,2:00,3,6,SFO 6,6,37,Alan Ricard up the middle for 4 yards (tackle by Tony Parrish and Zack Bronson),4.040,3.250
4,1:21,4,2,SFO 2,6,43,"Musa Smith left end for 2 yards, touchdown",3.250,7.000
4,,,,SFO 2,6,44,Matt Stover kicks extra point good,0.000,0.000
4,,,,BAL 30,6,44,"Wade Richey kicks off 48 yards, returned by Brock Gutierrez for 4 yards (tackle by Ovie Mughelli)",0.000,-0.670
4,1:11,1,10,SFO 26,6,44,Jamal Robertson right tackle for 1 yard (tackle by Bart Scott and Terrell Suggs),0.670,0.270
4,0:34,2,9,SFO 27,6,44,Jamal Robertson right guard for 2 yards (tackle by Bart Scott),0.270,-0.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
