Unnamed: 0,MIA,BUF
First Downs,6,18
Rush-Yds-TDs,12-14-0,51-203-1
Cmp-Att-Yd-TD-INT,12-33-135-0-2,15-25-193-0-1
Sacked-Yards,7-46,1-6
Net Pass Yards,89,187
Total Yards,103,390
Fumbles-Lost,2-0,3-0
Turnovers,2,1
Penalties-Yards,6-37,4-31
Third Down Conv.,2-14,7-19
Fourth Down Conv.,0-1,0-0
Time of Possession,23:29,36:31
