#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:01,BUF 21,6,1:39,15,Punt
2,1,8:28,BUF 5,6,1:46,68,Field Goal
3,1,5:38,BUF 19,3,1:28,9,Punt
4,1,3:05,BUF 43,9,4:47,57,Touchdown
5,2,10:33,BUF 14,8,3:55,45,Interception
6,2,1:12,BUF 20,3,0:27,2,Punt
7,2,0:02,BUF 20,1,0:02,-1,End of Half
8,3,15:00,BUF 20,6,2:58,28,Punt
9,3,10:28,BUF 18,3,1:52,5,Punt
10,3,6:17,BUF 5,19,9:16,92,Field Goal
11,4,10:31,MIA 48,7,3:48,44,Field Goal
12,4,6:11,BUF 49,3,0:30,3,Punt
13,4,4:44,MIA 17,4,2:18,9,Field Goal
14,4,1:45,BUF 34,3,1:45,-2,End of Game
