Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Phil Dawson kicks off 55 yards, returned by Pharoh Cooper for 21 yards (tackle by Budda Baker)",0.000,-1.000
,,,,,,,"challenged the ruling, and the play was upheld.",,
1,14:54,1,10,LAR 31,0,0,Todd Gurley middle for 11 yards (tackle by Antoine Bethea),1.000,1.730
1,14:22,1,10,LAR 42,0,0,Jared Goff pass complete deep left to Cooper Kupp for 25 yards (tackle by Budda Baker),1.730,3.380
1,13:48,1,10,ARI 33,0,0,Todd Gurley right end for -3 yards (tackle by Josh Bynes),3.380,2.430
1,12:59,2,13,ARI 36,0,0,"Penalty on Jared Goff: Delay of Game, 5 yards (no play)",2.430,1.760
1,12:33,2,18,ARI 41,0,0,Jared Goff pass incomplete short left intended for Gerald Everett (defended by Olsen Pierre),1.760,1.090
1,12:27,3,18,ARI 41,0,0,Jared Goff pass complete short right to Josh Reynolds for 3 yards (tackle by Haason Reddick),1.090,0.720
1,11:47,4,15,ARI 38,3,0,Greg Zuerlein 56 yard field goal good,0.720,3.000
1,11:41,,,LAR 35,3,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,11:41,1,10,ARI 25,3,0,Blaine Gabbert pass incomplete deep right intended for JJ Nelson is intercepted by Lamarcus Joyner at LAR-31 and returned for 46 yards,0.610,-4.040
1,11:21,1,10,ARI 23,3,0,Jared Goff pass complete short middle to Todd Gurley for 3 yards (tackle by Josh Bynes),4.040,3.900
1,10:38,2,7,ARI 20,3,0,Todd Gurley left end for no gain (tackle by Josh Bynes),3.900,3.200
1,9:53,3,7,ARI 20,3,0,Jared Goff pass complete short right to Cooper Kupp for 10 yards (tackle by Budda Baker),3.200,4.910
1,9:22,1,10,ARI 10,3,0,Jared Goff pass complete short right to Gerald Everett for 6 yards (tackle by Budda Baker),4.910,5.340
1,8:49,2,4,ARI 4,3,0,Jared Goff pass incomplete short right intended for Josh Reynolds,5.340,0.000
1,8:42,,,,,,Timeout #1 by Los Angeles Rams,0.000,-4.490
1,8:42,3,4,ARI 4,3,0,Jared Goff pass complete short left to Josh Reynolds for 3 yards (tackle by Tramon Williams),4.490,3.550
1,7:57,4,1,ARI 1,9,0,"Jared Goff pass complete short right to Gerald Everett for 1 yard, touchdown",3.550,7.000
1,7:51,,,ARI 15,9,0,Greg Zuerlein kicks extra point no good,0.000,-1.000
1,7:51,,,LAR 35,9,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,7:51,1,10,ARI 25,9,0,Kerwynn Williams middle for 4 yards (tackle by Samson Ebukam),0.610,0.600
1,7:19,2,6,ARI 29,9,0,Blaine Gabbert pass complete short right to Larry Fitzgerald for no gain,0.600,-0.100
1,6:39,3,6,ARI 29,9,0,Blaine Gabbert left end for 4 yards (tackle by Trumaine Johnson),-0.100,-1.180
1,6:04,4,2,ARI 33,9,0,"Andy Lee punts 47 yards, returned by Pharoh Cooper for 17 yards (tackle by Jaron Brown)",-1.180,-1.400
1,5:51,1,10,LAR 37,9,0,Jared Goff pass complete short middle to Sammy Watkins for 13 yards (tackle by Patrick Peterson),1.400,2.260
1,5:08,1,10,,9,0,"Penalty on Jared Goff: False Start, 5 yards (no play)",2.260,1.930
1,4:46,1,15,LAR 45,9,0,Jared Goff pass incomplete deep left intended for Cooper Kupp,1.930,1.040
1,4:40,2,15,LAR 45,9,0,Jared Goff pass complete deep right to Cooper Kupp for 20 yards (tackle by Budda Baker),1.040,3.250
1,3:56,1,10,ARI 35,9,0,Jared Goff pass incomplete short right intended for Tavon Austin,3.250,2.700
1,3:50,2,10,ARI 35,9,0,"Jared Goff pass incomplete short right intended for Todd Gurley. Penalty on Patrick Peterson: Defensive Holding, 5 yards (no play)",2.700,3.580
1,3:45,1,10,ARI 30,9,0,Jared Goff pass incomplete short right intended for Todd Gurley is intercepted by Kareem Martin at ARI-33 and returned for 7 yards,3.580,-1.600
1,3:40,1,10,ARI 40,9,0,D.J. Foster middle for 1 yard (tackle by Michael Brockers),1.600,1.190
1,3:02,2,9,ARI 41,9,0,Blaine Gabbert pass incomplete short left intended for Ricky Seals-Jones (defended by John Johnson),1.190,0.500
1,2:57,3,9,ARI 41,15,0,"Blaine Gabbert pass incomplete short left intended for D.J. Foster is intercepted by Alec Ogletree at ARI-41 and returned for 41 yards, touchdown",0.500,-7.000
1,,,,ARI 15,16,0,Greg Zuerlein kicks extra point good,,
1,2:45,,,LAR 35,16,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,2:45,1,10,ARI 25,16,0,Blaine Gabbert sacked by Ethan Westbrooks for -5 yards. Penalty on Jared Veldheer: Offensive Holding (Declined),0.610,-0.610
1,2:21,2,15,ARI 20,16,0,Blaine Gabbert pass complete short middle to D.J. Foster for 4 yards (tackle by Alec Ogletree and Ethan Westbrooks),-0.610,-0.760
1,1:36,3,11,ARI 24,16,0,Blaine Gabbert pass complete short middle to Ricky Seals-Jones for 17 yards (tackle by Mark Barron),-0.760,1.660
1,0:55,1,10,ARI 41,16,0,Kerwynn Williams middle for 3 yards (tackle by Samson Ebukam),1.660,1.530
1,0:21,2,7,ARI 44,16,0,Kerwynn Williams middle for 3 yards (tackle by Aaron Donald),1.530,1.220
Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,ARI 47,16,0,Blaine Gabbert pass incomplete short right intended for D.J. Foster,1.220,-0.260
2,14:56,4,4,ARI 47,16,0,"Andy Lee punts 53 yards, touchback",-0.260,-0.280
2,14:46,1,10,LAR 20,16,0,Todd Gurley left tackle for 5 yards (tackle by Kareem Martin),0.280,0.410
2,14:04,2,5,LAR 25,16,0,Jared Goff pass incomplete short right intended for Josh Reynolds,0.410,-0.300
2,13:59,3,5,LAR 25,16,0,Jared Goff pass incomplete deep left intended for Sammy Watkins,-0.300,-1.700
2,13:52,4,5,LAR 25,16,0,"Johnny Hekker punts 42 yards, fair catch by Brittan Golden",-1.700,-1.140
2,13:45,1,10,ARI 33,16,0,Blaine Gabbert left tackle for 5 yards (tackle by Samson Ebukam),1.140,1.270
2,13:03,2,5,ARI 38,16,0,Kerwynn Williams left tackle for 7 yards (tackle by John Johnson),1.270,1.930
2,12:20,1,10,ARI 45,16,0,Kerwynn Williams middle for 10 yards (tackle by John Johnson),1.930,2.590
2,11:42,1,10,LAR 45,16,0,Kerwynn Williams middle for 14 yards (tackle by Lamarcus Joyner),2.590,3.510
2,11:01,1,10,LAR 31,16,0,"Blaine Gabbert pass complete short right to Larry Fitzgerald for 2 yards (tackle by Trumaine Johnson). Penalty on Kayvon Webster: Defensive Holding, 5 yards (no play)",3.510,3.840
2,10:31,1,10,LAR 26,16,0,Kerwynn Williams left tackle for 9 yards (tackle by Lamarcus Joyner),3.840,4.640
2,9:53,2,1,LAR 17,16,0,Kerwynn Williams middle for 7 yards (tackle by Morgan Fox),4.640,4.910
2,9:11,1,10,LAR 10,16,0,Blaine Gabbert pass complete short left to Larry Fitzgerald for 6 yards (tackle by Lamarcus Joyner),4.910,5.340
2,8:26,2,4,LAR 4,16,0,Elijhaa Penny middle for 3 yards (tackle by Mark Barron),5.340,5.170
2,7:44,3,1,LAR 1,16,6,"Elijhaa Penny middle for 1 yard, touchdown",5.170,7.000
2,7:38,,,LAR 15,16,7,Phil Dawson kicks extra point good,0.000,0.000
2,7:38,,,ARI 35,16,7,"Phil Dawson kicks off 69 yards, muffed catch by Pharoh Cooper, recovered by Pharoh Cooper at LA-1, and returned for 13 yards",0.000,0.280
2,7:34,1,10,LAR 14,16,7,Tavon Austin right end for 3 yards (tackle by Tramon Williams),-0.280,-0.370
2,6:54,2,7,LAR 17,16,7,Jared Goff pass complete short right to Tyler Higbee for 6 yards (tackle by Josh Bynes),-0.370,-0.320
2,6:08,3,1,LAR 23,16,7,Jared Goff pass incomplete deep right intended for Gerald Everett (defended by Budda Baker),-0.320,-1.830
2,6:02,4,1,LAR 23,16,7,"Johnny Hekker punts 57 yards, returned by Patrick Peterson for 10 yards (tackle by Carlos Thompson)",-1.830,-0.940
2,5:53,1,10,ARI 30,16,7,Kerwynn Williams middle for 25 yards (tackle by John Johnson),0.940,2.590
2,5:10,1,10,LAR 45,16,7,Kerwynn Williams middle for 3 yards (tackle by Ethan Westbrooks),2.590,2.450
2,4:36,2,7,LAR 42,16,7,Blaine Gabbert pass incomplete deep left intended for Ricky Seals-Jones,2.450,1.750
2,4:29,3,7,LAR 42,16,7,Blaine Gabbert pass complete deep left to JJ Nelson for 26 yards (tackle by Kayvon Webster). Penalty on Kayvon Webster: Defensive Pass Interference (Declined),1.750,4.510
2,4:12,1,10,LAR 16,16,7,Kerwynn Williams right end for 1 yard (tackle by Trumaine Johnson),4.510,4.050
2,3:30,2,9,LAR 15,16,13,"Blaine Gabbert pass complete short right to Larry Fitzgerald for 15 yards, touchdown",4.050,7.000
2,3:25,,,LAR 15,16,13,"Phil Dawson kicks extra point no good, blocked by Tyrunn Walker",0.000,-1.000
2,3:25,,,ARI 35,16,13,"Phil Dawson kicks off 50 yards, returned by Mike Thomas for 15 yards (tackle by Tyrann Mathieu). Penalty on Marqui Christian: Offensive Holding, 10 yards",0.000,-0.280
2,3:18,1,10,LAR 20,16,13,Todd Gurley right end for 6 yards (tackle by Karlos Dansby),0.280,0.540
2,2:39,2,4,LAR 26,16,13,Todd Gurley right end for 14 yards (tackle by Tyrann Mathieu),0.540,1.600
2,2:06,1,10,LAR 40,16,13,Jared Goff pass complete short left to Todd Gurley for 23 yards (tackle by Josh Bynes),1.600,3.120
2,1:56,1,10,ARI 37,16,13,"Penalty on Xavier Williams: Encroachment, 5 yards (no play)",3.120,3.850
2,1:56,1,5,ARI 32,16,13,Tavon Austin middle for 1 yard (tackle by Chandler Jones),3.850,3.380
2,1:24,2,4,ARI 31,16,13,Jared Goff pass complete short left to Todd Gurley for 18 yards (tackle by Budda Baker),3.380,4.710
2,0:41,1,10,ARI 13,16,13,Todd Gurley middle for 8 yards (tackle by Tramon Williams),4.710,5.540
2,0:14,2,2,ARI 5,16,13,Todd Gurley middle for 1 yard (tackle by Josh Bynes),5.540,5.010
2,0:09,3,1,ARI 4,16,13,Jared Goff middle for 2 yards (tackle by Karlos Dansby),5.010,0.000
