Unnamed: 0,LAR,ARI
First Downs,18,19
Rush-Yds-TDs,24-90-0,24-118-1
Cmp-Att-Yd-TD-INT,21-31-220-2-1,18-32-221-1-2
Sacked-Yards,1-7,7-34
Net Pass Yards,213,187
Total Yards,303,305
Fumbles-Lost,1-0,1-0
Turnovers,1,2
Penalties-Yards,7-36,4-25
Third Down Conv.,3-11,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,28:58,31:02
