Quarter,Time,Tm,Detail,LAR,ARI
1.0,11:41,Rams,Greg Zuerlein 56 yard field goal,3,0
,7:51,Rams,Gerald Everett 1 yard pass from Jared Goff (Greg Zuerlein kick failed),9,0
,2:45,Rams,Alec Ogletree 41 yard interception return (Greg Zuerlein kick),16,0
2.0,7:38,Cardinals,Elijhaa Penny 1 yard rush (Phil Dawson kick),16,7
,3:25,Cardinals,Larry Fitzgerald 15 yard pass from Blaine Gabbert (Phil Dawson kick failed),16,13
,0:00,Rams,Greg Zuerlein 20 yard field goal,19,13
3.0,5:07,Rams,Sammy Watkins 11 yard pass from Jared Goff (Greg Zuerlein kick),26,13
4.0,14:55,Cardinals,Phil Dawson 54 yard field goal,26,16
,6:18,Rams,Greg Zuerlein 24 yard field goal,29,16
,1:55,Rams,Greg Zuerlein 41 yard field goal,32,16
