Unnamed: 0,IND,DEN
First Downs,23,19
Rush-Yds-TDs,28-99-1,20-88-0
Cmp-Att-Yd-TD-INT,27-43-265-2-2,26-46-211-1-0
Sacked-Yards,0-0,2-11
Net Pass Yards,265,200
Total Yards,364,288
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,10-67,2-8
Third Down Conv.,5-13,4-16
Fourth Down Conv.,0-0,1-2
Time of Possession,34:01,25:59
