Quarter,Time,Tm,Detail,IND,DEN
1.0,10:00,Broncos,Demaryius Thomas 1 yard pass from Peyton Manning (Connor Barth kick),0,7
2.0,14:14,Colts,Dan Herron 6 yard rush (Adam Vinatieri kick),7,7
,7:23,Colts,Dwayne Allen 3 yard pass from Andrew Luck (Adam Vinatieri kick),14,7
,0:02,Broncos,Connor Barth 45 yard field goal,14,10
3.0,8:21,Colts,Hakeem Nicks 15 yard pass from Andrew Luck (Adam Vinatieri kick),21,10
4.0,13:50,Broncos,Connor Barth 41 yard field goal,21,13
,4:06,Colts,Adam Vinatieri 30 yard field goal,24,13
