Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,IND 20,0,0,Andrew Luck pass complete short middle to Dan Herron for 8 yards (tackle by Steven Johnson),0.280,0.810
1,14:29,2,2,IND 28,0,0,Andrew Luck pass incomplete short left intended for Coby Fleener,0.810,0.100
1,14:24,3,2,IND 28,0,0,Andrew Luck up the middle for 1 yard (tackle by DeMarcus Ware),0.100,-1.440
1,13:44,4,1,IND 29,0,0,"Pat McAfee punts 39 yards, out of bounds",-1.440,-1.070
1,13:37,1,10,DEN 32,0,0,C.J. Anderson up the middle for 5 yards (tackle by Arthur Jones),1.070,1.200
1,13:08,2,5,DEN 37,0,0,C.J. Anderson right tackle for no gain (tackle by Josh Chapman),1.200,0.500
1,12:21,3,5,DEN 37,0,0,"Peyton Manning pass complete short middle to Emmanuel Sanders for 3 yards (tackle by D'Qwell Jackson). Penalty on Arthur Jones: Roughing the Passer, 15 yards",0.500,2.590
1,11:59,1,10,IND 45,0,0,C.J. Anderson up the middle for 9 yards (tackle by D'Qwell Jackson),2.590,3.260
1,11:22,2,1,IND 36,0,0,C.J. Anderson up the middle for 2 yards (tackle by D'Qwell Jackson),3.260,3.310
1,10:40,1,10,IND 34,0,0,Peyton Manning pass complete deep left to Julius Thomas for 32 yards (tackle by LaRon Landry),3.310,6.740
1,10:09,1,2,IND 2,0,0,"Peyton Manning pass incomplete short right intended for Julius Thomas. Penalty on Mike Adams: Defensive Holding, 1 yards (no play)",6.740,6.970
1,10:04,1,1,IND 1,0,6,"Peyton Manning pass complete short left to Demaryius Thomas for 1 yard, touchdown",6.970,7.000
1,10:04,,,IND 2,0,7,Connor Barth kicks extra point good,0.000,0.000
1,10:04,,,DEN 35,0,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,10:00,1,10,IND 20,0,7,Andrew Luck pass complete short middle to Dan Herron for 4 yards (tackle by Brandon Marshall),0.280,0.270
1,9:19,2,6,IND 24,0,7,Andrew Luck pass complete short right to Coby Fleener for 3 yards (tackle by Aqib Talib),0.270,-0.030
1,8:51,3,3,IND 27,0,7,Andrew Luck pass complete short left to Dwayne Allen for 18 yards (tackle by Chris Harris),-0.030,1.930
1,8:14,1,10,IND 45,0,7,Andrew Luck pass complete short middle to Dan Herron for 2 yards (tackle by T.J. Ward),1.930,1.650
1,7:38,2,8,IND 47,0,7,Andrew Luck pass complete short middle to Hakeem Nicks for 9 yards (tackle by Bradley Roby),1.650,2.650
1,6:52,1,10,DEN 44,0,7,Andrew Luck pass incomplete short left intended for Zurlon Tipton,2.650,2.110
1,6:47,2,10,DEN 44,0,7,Andrew Luck pass complete short left to Dan Herron for -2 yards (tackle by Brandon Marshall),2.110,1.160
1,6:02,3,12,DEN 46,0,7,Andrew Luck pass incomplete short left intended for Jack Doyle,1.160,0.200
1,5:59,4,12,DEN 46,0,7,Pat McAfee punts 42 yards. Penalty on Jeremy Stewart: Running Into the Kicker (Declined),0.200,0.380
1,5:47,1,10,DEN 4,0,7,C.J. Anderson up the middle for 22 yards (tackle by Vontae Davis),-0.380,0.670
1,5:14,1,10,DEN 26,0,7,C.J. Anderson left tackle for -2 yards (tackle by Erik Walden),0.670,-0.140
1,4:38,2,12,DEN 24,0,7,Peyton Manning pass incomplete deep left intended for Emmanuel Sanders (defended by Vontae Davis),-0.140,-0.820
1,4:33,3,12,DEN 24,0,7,Peyton Manning pass incomplete deep right intended for Demaryius Thomas,-0.820,-1.770
1,4:28,4,12,DEN 24,0,7,"Britton Colquitt punts 48 yards, returned by Josh Cribbs for -1 yards (tackle by Omar Bolden)",-1.770,-0.740
1,4:19,1,10,IND 27,0,7,Dan Herron left tackle for 1 yard (tackle by Brandon Marshall and Malik Jackson),0.740,0.330
