Unnamed: 0,JAX,LAC
First Downs,15,29
Rush-Yds-TDs,27-140-1,32-135-2
Cmp-Att-Yd-TD-INT,14-27-173-2-0,28-44-351-3-0
Sacked-Yards,5-19,1-2
Net Pass Yards,154,349
Total Yards,294,484
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,6-55,3-35
Third Down Conv.,6-15,6-14
Fourth Down Conv.,1-4,0-0
Time of Possession,25:29,34:31
