Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
1,2:39,2,10,JAX 44,0,3,"Justin Herbert pass incomplete short right intended for Jalen Guyton. Penalty on Tre Herndon: Defensive Holding, 5 yards (no play)",2.110,2.980
1,2:35,1,10,JAX 39,0,3,Joshua Kelley left tackle for 9 yards (tackle by Joe Schobert),2.980,3.660
1,1:59,2,1,JAX 30,0,3,Joshua Kelley right guard for 2 yards (tackle by Kamalei Correa),3.660,3.710
1,1:20,1,10,JAX 28,0,3,"Joshua Kelley right tackle for no gain (tackle by Dawuane Smoot and Quincy Williams). Penalty on Joe Reed: Illegal Motion, 5 yards (no play)",3.710,3.380
1,0:58,1,15,JAX 33,0,3,Justin Herbert pass incomplete deep left intended for Virgil Green (defended by Quincy Williams),3.380,2.490
1,0:52,2,15,JAX 33,0,3,Justin Herbert pass complete deep left to Keenan Allen for 26 yards (tackle by C.J. Henderson),2.490,5.600
1,0:10,1,7,JAX 7,0,9,"Joe Reed right end for 7 yards, touchdown",5.600,7.000
1,0:05,,,JAX 15,0,9,Michael Badgley kicks extra point no good wide left,0.000,-1.000
1,0:05,,,LAC 35,0,9,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
1,0:05,1,10,JAX 25,0,9,James Robinson left guard for 5 yards (tackle by Jerry Tillery),0.610,0.740
Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,JAX 30,0,9,James Robinson up the middle for 3 yards (tackle by Linval Joseph),0.740,0.430
2,14:20,3,2,JAX 33,0,9,Gardner Minshew sacked by Uchenna Nwosu for -5 yards,0.430,-1.500
2,13:44,4,7,JAX 28,0,9,"Logan Cooke punts 40 yards, returned by Desmond King for 6 yards (tackle by Bruce Miller)",-1.500,-1.470
2,13:33,1,10,LAC 38,0,9,Justin Jackson right tackle for -3 yards (tackle by Taven Bryan),1.470,0.520
2,13:01,2,13,LAC 35,0,9,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by Brandon Watson),0.520,0.630
2,12:23,3,7,LAC 41,0,9,Justin Herbert pass complete short middle to Keenan Allen for 9 yards (tackle by C.J. Henderson),0.630,2.260
2,11:45,1,10,LAC 50,0,9,Joshua Kelley left end for 2 yards (tackle by Quincy Williams and Doug Costin),2.260,1.980
2,11:06,2,8,JAX 48,0,9,"Justin Herbert pass complete short right to Hunter Henry for 11 yards (tackle by Quincy Williams). Penalty on Josh Jones: Lowering the Head to Initiate Contact, 15 yards",1.980,4.110
2,10:40,1,10,JAX 22,0,15,"Justin Herbert pass complete deep right to Donald Parham for 22 yards, touchdown",4.110,7.000
2,10:34,,,JAX 15,0,16,Michael Badgley kicks extra point good,0.000,0.000
2,10:34,,,LAC 35,0,16,"Ty Long kicks off 65 yards, returned by Dede Westbrook for 22 yards (tackle by Stephen Anderson)",0.000,0.410
2,10:28,1,10,JAX 22,0,16,Gardner Minshew pass complete deep right to DJ Chark for 26 yards (tackle by Rayshawn Jenkins),0.410,2.130
2,9:49,1,10,JAX 48,0,16,James Robinson up the middle for 4 yards (tackle by Kenneth Murray),2.130,2.120
2,9:11,2,6,LAC 48,0,16,Gardner Minshew pass incomplete short middle intended for Keelan Cole (defended by Kenneth Murray),2.120,1.420
2,9:07,3,6,LAC 48,0,16,Gardner Minshew pass complete short middle to Laviska Shenault for 36 yards (tackle by Rayshawn Jenkins),1.420,4.780
2,8:20,1,10,LAC 12,0,16,James Robinson up the middle for 8 yards (tackle by Nasir Adderley),4.780,5.600
2,7:48,2,2,LAC 4,6,16,"James Robinson up the middle for 4 yards, touchdown",5.600,7.000
2,7:46,,,LAC 2,8,16,"Two Point Attempt: James Robinson rushes, conversion succeeds.",1.000,1.000
2,7:46,,,JAX 35,8,16,"Logan Cooke kicks off 65 yards, returned by Joe Reed for 13 yards (tackle by Doug Middleton and Devine Ozigbo)",0.000,-0.320
2,7:41,1,10,LAC 13,8,16,Tyron Johnson left end for 4 yards (tackle by Dawuane Smoot),-0.320,-0.300
2,7:01,2,6,LAC 17,8,16,Justin Herbert pass incomplete short right intended for Keenan Allen,-0.300,-0.940
2,6:57,3,6,LAC 17,8,16,Justin Herbert pass incomplete short left intended for Hunter Henry (defended by Josh Allen),-0.940,-2.320
2,6:53,4,6,LAC 17,8,16,"Ty Long punts 56 yards, returned by Dede Westbrook for 13 yards (tackle by Gabe Nabers)",-2.320,-1.600
2,6:40,1,10,JAX 40,8,16,Gardner Minshew pass complete short right to James O'Shaughnessy for 22 yards (tackle by Casey Hayward),1.600,3.050
2,6:16,1,10,LAC 38,8,16,James Robinson up the middle for 4 yards (tackle by Kyzir White and Linval Joseph),3.050,3.050
2,5:42,2,6,LAC 34,8,16,Gardner Minshew pass incomplete short right,3.050,2.340
2,5:38,3,6,LAC 34,8,16,Gardner Minshew pass complete short left to James Robinson for 5 yards (tackle by Desmond King),2.340,1.620
2,5:00,4,1,LAC 29,8,16,James Robinson left end for -2 yards (tackle by Joey Bosa),1.620,-1.000
2,4:55,1,10,LAC 31,8,16,Justin Herbert pass incomplete deep left,1.000,0.460
2,4:48,2,10,LAC 31,8,16,Justin Herbert pass complete short left to Hunter Henry for 5 yards (tackle by Josh Jones),0.460,0.430
2,4:06,3,5,LAC 36,8,16,Justin Herbert pass incomplete short right intended for Hunter Henry,0.430,-0.980
2,4:02,4,5,LAC 36,8,16,"Ty Long punts 41 yards, returned by Dede Westbrook for 10 yards (tackle by Uchenna Nwosu)",-0.980,-1.140
2,3:52,1,10,JAX 33,8,16,James Robinson up the middle for 14 yards (tackle by Rayshawn Jenkins and Desmond King),1.140,2.060
2,3:14,1,10,JAX 47,8,16,James Robinson right end for 13 yards (tackle by Rayshawn Jenkins),2.060,2.920
2,2:37,1,10,LAC 40,8,16,James Robinson right guard for 3 yards (tackle by Damion Square and Justin Jones),2.920,2.780
2,2:00,2,7,LAC 37,8,16,Gardner Minshew pass complete short right to James O'Shaughnessy for 4 yards (tackle by Kyzir White),2.780,2.610
2,1:51,3,3,LAC 33,8,16,James Robinson up the middle for 10 yards (tackle by Rayshawn Jenkins),2.610,4.040
2,1:13,1,10,LAC 23,8,16,Gardner Minshew pass complete short right to James Robinson for 1 yard (tackle by Kyzir White and Casey Hayward),4.040,3.630
2,0:47,2,9,LAC 22,8,16,Gardner Minshew pass incomplete short right intended for James Robinson,3.630,2.940
2,0:41,3,9,LAC 22,8,16,Gardner Minshew pass complete short left to Collin Johnson for 13 yards (tackle by Rayshawn Jenkins),2.940,5.140
2,0:35,1,9,LAC 9,8,16,Gardner Minshew pass incomplete short middle,5.140,4.380
2,0:31,2,9,LAC 9,8,16,Gardner Minshew sacked by Desmond King for no gain,4.380,3.360
2,0:18,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:18,3,9,LAC 9,14,16,"Gardner Minshew pass complete short right to James Robinson for 9 yards, touchdown",3.360,7.000
2,0:11,,,LAC 2,14,16,"Two Point Attempt: Gardner Minshew pass incomplete intended for James O'Shaughnessy, conversion fails",1.000,-1.000
2,0:11,,,JAX 35,14,16,"Logan Cooke kicks off 25 yards, out of bounds",0.000,1.600
2,0:11,1,10,LAC 40,14,16,Justin Herbert pass incomplete deep left intended for Mike Williams,1.600,1.050
2,0:05,2,10,LAC 40,14,16,Justin Herbert kneels for -1 yards,1.050,0.230
Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,14,16,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,14,16,Joshua Kelley right tackle for no gain (tackle by DaVon Hamilton),0.610,0.060
3,14:39,2,10,LAC 25,14,16,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by C.J. Henderson and Joe Schobert),0.060,0.560
3,14:04,3,1,LAC 34,14,16,Joshua Kelley left guard for no gain (tackle by Quincy Williams and DaVon Hamilton),0.560,-1.110
3,13:30,4,1,LAC 34,20,16,"Ty Long punts blocked by Daniel Thomas, recovered by Daniel Thomas, touchdown",-1.110,-7.000
3,13:21,,,LAC 15,21,16,Josh Lambo kicks extra point good,0.000,0.000
3,13:21,,,JAX 35,21,16,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,13:21,1,10,LAC 25,21,16,Justin Herbert pass complete short left to Justin Jackson for 9 yards (tackle by Joe Schobert and Quincy Williams),0.610,1.280
3,12:51,2,1,LAC 34,21,16,Justin Herbert pass complete short middle to Jalen Guyton for 14 yards (tackle by Josh Jones),1.280,2.130
3,12:15,1,10,LAC 48,21,16,Justin Jackson up the middle for 11 yards (tackle by Brandon Watson),2.130,2.850
3,11:42,1,10,JAX 41,21,16,Justin Herbert up the middle for 12 yards (tackle by Josh Jones),2.850,3.640
3,11:09,1,10,JAX 29,21,16,Justin Jackson up the middle for -1 yards (tackle by DaVon Hamilton),3.640,2.970
3,10:31,2,11,JAX 30,21,16,Justin Herbert pass incomplete short right intended for Keenan Allen,2.970,2.280
3,10:27,3,11,JAX 30,21,16,Justin Herbert pass incomplete deep right intended for Mike Williams,2.280,1.410
3,10:23,4,11,JAX 30,21,16,Michael Badgley 48 yard field goal no good,1.410,-1.470
3,10:18,1,10,JAX 38,21,16,James Robinson right end for -1 yards (tackle by Linval Joseph),1.470,0.790
3,9:44,2,11,JAX 37,21,16,Gardner Minshew up the middle for 10 yards (tackle by Kyzir White and Denzel Perryman),0.790,1.420
3,9:07,3,1,JAX 47,21,16,James Robinson left tackle for -1 yards (tackle by Kyzir White and Linval Joseph),1.420,-0.320
3,8:29,4,2,JAX 46,21,16,Gardner Minshew right end for 1 yard (tackle by Rayshawn Jenkins),-0.320,-2.460
3,8:21,1,10,JAX 47,21,16,Joshua Kelley up the middle for 1 yard (tackle by Tre Herndon and DaVon Hamilton),2.460,2.050
3,7:43,2,9,JAX 46,21,16,Justin Herbert pass incomplete short left intended for Jalen Guyton,2.050,1.350
3,7:38,3,9,JAX 46,21,16,Justin Herbert pass complete short left to Keenan Allen for 11 yards (tackle by Josh Jones and C.J. Henderson),1.350,3.250
3,7:07,1,10,JAX 35,21,16,Tyron Johnson right end for 6 yards (tackle by Joe Schobert),3.250,3.510
3,6:26,2,4,JAX 29,21,16,Justin Herbert sacked by and Taven Bryan for -2 yards and Dawuane Smoot for -2 yards,3.510,2.540
3,5:40,3,6,JAX 31,21,16,"Justin Herbert pass incomplete deep right intended for Justin Jackson. Penalty on Brandon Watson: Defensive Holding, 5 yards (no play)",2.540,3.840
3,5:34,1,10,JAX 26,21,22,"Justin Herbert pass complete deep left to Virgil Green for 26 yards, touchdown",3.840,7.000
3,5:25,,,JAX 2,21,22,"Two Point Attempt: Justin Herbert rushes, conversion fails.",1.000,-1.000
3,5:25,,,LAC 35,21,22,"Ty Long kicks off 65 yards, returned by Dede Westbrook for 26 yards (tackle by Nick Vigil)",0.000,0.670
3,5:19,1,10,JAX 26,21,22,James Robinson up the middle for 5 yards (tackle by Damion Square),0.670,0.810
3,4:45,2,5,JAX 31,21,22,"Gardner Minshew up the middle for 10 yards (tackle by Nasir Adderley). Penalty on Andrew Norwell: Offensive Holding, 10 yards (no play)",0.810,-0.550
3,4:30,2,15,JAX 21,21,22,"Gardner Minshew pass complete short right to Keelan Cole for 12 yards. Penalty on Jerry Tillery: Roughing the Passer, 15 yards",-0.550,2.130
3,4:07,1,10,JAX 48,21,22,"Gardner Minshew pass complete short right to James O'Shaughnessy for 6 yards (tackle by Denzel Perryman). Penalty on Denzel Perryman: Unnecessary Roughness, 15 yards",2.130,3.510
3,3:48,1,10,LAC 31,21,22,Gardner Minshew pass complete short left to James Robinson for 3 yards (tackle by Kenneth Murray),3.510,3.370
3,3:06,2,7,LAC 28,21,22,Gardner Minshew pass incomplete short right intended for DJ Chark,3.370,2.680
3,3:00,3,7,LAC 28,27,22,"Gardner Minshew pass complete deep left to Chris Conley for 28 yards, touchdown",2.680,7.000
3,2:54,,,LAC 2,29,22,"Two Point Attempt: Gardner Minshew pass complete to Ben Ellefson, conversion succeeds",1.000,1.000
3,2:54,,,JAX 35,29,22,"Logan Cooke kicks off 61 yards, returned by Joe Reed for 16 yards (tackle by Dare Ogunbowale and Doug Middleton)",0.000,0.280
3,2:49,1,10,LAC 20,29,22,Justin Herbert pass complete short right to Justin Jackson for 10 yards (tackle by Tre Herndon),0.280,0.940
3,2:06,1,10,LAC 30,29,28,"Justin Herbert pass complete deep right to Jalen Guyton for 70 yards, touchdown",0.940,7.000
3,1:56,,,JAX 15,29,29,Michael Badgley kicks extra point good,0.000,0.000
3,1:56,,,LAC 35,29,29,"Ty Long kicks off 64 yards, returned by Dede Westbrook for 22 yards (tackle by Tevaughn Campbell and Malik Jefferson). Dede Westbrook fumbles (forced by Tevaughn Campbell), recovered by Troymaine Pope at JAC-19",0.000,-4.310
3,1:47,1,10,JAX 19,29,29,Justin Herbert pass complete short right to Joshua Kelley for 8 yards (tackle by Brandon Watson),4.310,5.140
3,1:11,2,2,JAX 11,29,29,Joshua Kelley left guard for 8 yards (tackle by Brandon Watson and Josh Jones),5.140,6.510
3,0:48,1,3,JAX 3,29,29,Joshua Kelley right end for -2 yards (tackle by Joe Schobert and Tre Herndon),6.510,5.150
3,0:12,2,5,JAX 5,29,35,"Justin Herbert right end for 5 yards, touchdown",5.150,7.000
3,0:05,,,JAX 15,29,36,Michael Badgley kicks extra point good,0.000,0.000
3,0:05,,,LAC 35,29,36,"Ty Long kicks off 66 yards, returned by Dede Westbrook for 19 yards (tackle by Emeke Egbule)",0.000,0.040
Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 18,29,36,James Robinson left tackle for 22 yards (tackle by Nasir Adderley),0.040,1.600
4,14:25,1,10,JAX 40,29,36,James Robinson up the middle for 1 yard (tackle by Joey Bosa),1.600,1.190
4,13:50,2,9,JAX 41,29,36,Gardner Minshew up the middle for 8 yards (tackle by Rayshawn Jenkins),1.190,1.550
4,13:17,3,1,JAX 49,29,36,James Robinson up the middle for 4 yards (tackle by Kenneth Murray),1.550,2.460
4,12:43,1,10,LAC 47,29,36,James Robinson up the middle for 3 yards (tackle by Denzel Perryman),2.460,2.320
4,11:59,2,7,LAC 44,29,36,Gardner Minshew sacked by and Kyzir White for -9 yards and Isaac Rochell for -9 yards,2.320,0.430
4,11:16,3,16,JAX 47,29,36,Gardner Minshew pass incomplete short left intended for James Robinson,0.430,-0.260
4,11:09,4,16,JAX 47,29,36,Logan Cooke punts 43 yards out of bounds,-0.260,0.380
4,11:02,1,10,LAC 10,29,36,Justin Herbert pass incomplete short left intended for Justin Jackson,-0.380,-0.780
4,10:58,2,10,LAC 10,29,36,Justin Herbert pass complete short middle to Hunter Henry for 7 yards (tackle by Josh Jones and Joe Schobert),-0.780,-0.600
4,10:37,3,3,LAC 17,29,36,Justin Herbert up the middle for 14 yards (tackle by Daniel Thomas),-0.600,1.000
4,10:04,1,10,LAC 31,29,36,Joshua Kelley left tackle for 2 yards (tackle by DaVon Hamilton),1.000,0.730
4,9:27,2,8,LAC 33,29,36,Justin Herbert pass complete short left to Keenan Allen for 14 yards (tackle by Joe Schobert and C.J. Henderson),0.730,2.060
4,8:56,1,10,LAC 47,29,36,Justin Herbert pass complete short right to Joshua Kelley for 10 yards (tackle by DaVon Hamilton),2.060,2.720
4,8:25,1,10,JAX 43,29,36,"Justin Herbert pass complete short right to Joshua Kelley for 3 yards (tackle by Josiah Scott). Penalty on Dawuane Smoot: Roughing the Passer, 15 yards",2.720,3.910
4,7:51,1,10,JAX 25,29,36,Justin Jackson left guard for 3 yards (tackle by K'Lavon Chaisson),3.910,3.770
4,7:14,2,7,JAX 22,29,36,Justin Herbert pass complete short left to Keenan Allen for 5 yards (tackle by Quincy Williams),3.770,3.850
4,6:33,3,2,JAX 17,29,36,Justin Herbert pass incomplete short right intended for Gabe Nabers,3.850,2.440
4,6:30,4,2,JAX 17,29,39,Michael Badgley 35 yard field goal good,2.440,3.000
4,6:26,,,LAC 35,29,39,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
4,6:26,1,10,JAX 25,29,39,James Robinson left guard for 4 yards (tackle by Linval Joseph),0.610,0.600
4,6:01,2,6,JAX 29,29,39,Gardner Minshew pass incomplete short left,0.600,-0.100
4,5:54,3,6,JAX 29,29,39,Gardner Minshew pass complete short right to Laviska Shenault for 4 yards (tackle by Desmond King),-0.100,-1.180
4,5:14,4,2,JAX 33,29,39,Gardner Minshew pass complete short left to Laviska Shenault for 4 yards (tackle by Nasir Adderley),-1.180,1.400
4,4:45,1,10,JAX 37,29,39,Gardner Minshew pass incomplete deep left intended for Chris Conley,1.400,0.860
4,4:39,2,10,JAX 37,29,39,Gardner Minshew left end for 2 yards (tackle by Kyzir White),0.860,0.430
4,4:07,3,8,JAX 39,29,39,Gardner Minshew pass incomplete deep right intended for DJ Chark,0.430,-0.780
4,4:02,4,8,JAX 39,29,39,Gardner Minshew pass incomplete deep right intended for DJ Chark,-0.780,-2.980
4,3:56,1,10,JAX 39,29,39,Joshua Kelley up the middle for 2 yards (tackle by DaVon Hamilton and Doug Costin),2.980,2.710
4,3:52,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,3:52,2,8,JAX 37,29,39,Joshua Kelley right guard for 3 yards (tackle by Brandon Watson and Doug Costin),2.710,2.410
4,3:47,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,3:47,3,5,JAX 34,29,39,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by C.J. Henderson),2.410,3.840
4,2:57,1,10,JAX 26,29,39,Justin Jackson left end for 2 yards (tackle by Adam Gotsis and Kamalei Correa),3.840,3.570
4,2:52,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,2:52,2,8,JAX 24,29,39,Justin Herbert left end for 7 yards (tackle by Tre Herndon),3.570,3.950
4,2:25,3,1,JAX 17,29,39,Joshua Kelley right tackle for 2 yards (tackle by Quincy Williams and DaVon Hamilton),3.950,4.580
4,2:00,1,10,JAX 15,29,39,Justin Herbert kneels for -1 yards,4.580,3.810
4,1:21,2,11,JAX 16,29,39,Justin Herbert kneels for -1 yards,3.810,2.980
4,0:42,3,12,JAX 17,29,39,Justin Herbert kneels for no gain,2.980,2.310
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
