Quarter,Time,Tm,Detail,DET,ATL
1.0,7:50,Falcons,Jay Feely 23 yard field goal,0,3
2.0,6:06,Falcons,Jay Feely 23 yard field goal,0,6
,0:17,Falcons,Quentin McCord 20 yard pass from Michael Vick (Jay Feely kick),0,13
3.0,10:56,Falcons,Jay Feely 36 yard field goal,0,16
,7:20,Falcons,Jay Feely 20 yard field goal,0,19
4.0,13:31,Falcons,Jay Feely 39 yard field goal,0,22
,9:53,Lions,James Stewart 1 yard pass from Mike McMahon (Bill Schroeder pass from Mike McMahon),8,22
,9:31,Lions,Aveion Cason 15 yard pass from Mike McMahon (Jason Hanson kick),15,22
,3:49,Falcons,Warrick Dunn 3 yard rush (Jay Feely kick),15,29
,1:51,Falcons,Brian Finneran 34 yard pass from Michael Vick (Jay Feely kick),15,36
