Unnamed: 0,DET,ATL
First Downs,12,27
Rush-Yds-TDs,21-87-0,41-197-1
Cmp-Att-Yd-TD-INT,11-33-149-2-3,20-38-337-2-1
Sacked-Yards,3-28,1-1
Net Pass Yards,121,336
Total Yards,208,533
Fumbles-Lost,0-0,1-1
Turnovers,3,2
Penalties-Yards,9-86,7-55
Third Down Conv.,4-14,6-16
Fourth Down Conv.,1-2,1-1
Time of Possession,21:42,38:18
