Unnamed: 0,TAM,ATL
First Downs,14,18
Rush-Yds-TDs,23-68-0,39-205-2
Cmp-Att-Yd-TD-INT,19-26-174-2-1,8-16-147-1-1
Sacked-Yards,7-49,5-27
Net Pass Yards,125,120
Total Yards,193,325
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,13-83,6-45
Third Down Conv.,2-11,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,29:31,30:29
