Quarter,Time,Tm,Detail,TAM,ATL
1.0,11:24,Falcons,Jay Feely 33 yard field goal,0,3
,5:22,Falcons,T.J. Duckett 2 yard rush (Jay Feely kick),0,10
2.0,10:25,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick),0,17
,5:43,Buccaneers,Michael Clayton 25 yard pass from Brian Griese (Martin Gramatica kick),7,17
3.0,9:35,Buccaneers,Ken Dilger 22 yard pass from Brian Griese (Martin Gramatica kick),14,17
4.0,9:49,Falcons,Alge Crumpler 49 yard pass from Michael Vick (Jay Feely kick),14,24
