Quarter,Time,Tm,Detail,CHI,OAK
1.0,11:11,Raiders,Sebastian Janikowski 40 yard field goal,0,3
,4:20,Raiders,Sebastian Janikowski 47 yard field goal,0,6
2.0,4:41,Bears,Johnny Knox 29 yard pass from Caleb Hanie (Robbie Gould kick),7,6
,2:56,Raiders,Sebastian Janikowski 42 yard field goal,7,9
,0:02,Raiders,Sebastian Janikowski 19 yard field goal,7,12
3.0,11:08,Raiders,Sebastian Janikowski 37 yard field goal,7,15
,0:22,Raiders,Sebastian Janikowski 44 yard field goal,7,18
4.0,10:51,Bears,Robbie Gould 50 yard field goal,10,18
,7:17,Bears,Robbie Gould 53 yard field goal,13,18
,3:47,Raiders,Michael Bush 3 yard rush (Sebastian Janikowski kick),13,25
,2:11,Bears,Kellen Davis 9 yard pass from Caleb Hanie (Robbie Gould kick),20,25
