Unnamed: 0,CHI,OAK
First Downs,18,17
Rush-Yds-TDs,27-172-0,27-73-1
Cmp-Att-Yd-TD-INT,18-36-254-2-3,21-37-301-0-1
Sacked-Yards,4-25,4-33
Net Pass Yards,229,268
Total Yards,401,341
Fumbles-Lost,0-0,0-0
Turnovers,3,1
Penalties-Yards,7-61,6-44
Third Down Conv.,6-14,3-15
Fourth Down Conv.,0-0,1-1
Time of Possession,29:58,30:02
