Quarter,Time,Down,ToGo,Location,CHI,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 63 yards, returned by Johnny Knox for 26 yards (tackle by Michael Mitchell). Penalty on Craig Steltz: Offensive Holding, 10 yards",0.000,0.040
1,14:54,1,10,CHI 18,0,0,Matt Forte left tackle for 1 yard (tackle by John Henderson),0.040,-0.320
1,14:15,2,9,CHI 19,0,0,Caleb Hanie pass complete short right to Roy E. Williams for 5 yards (tackle by Stanford Routt),-0.320,-0.400
1,13:38,3,4,CHI 24,0,0,Caleb Hanie pass incomplete short middle intended for Earl Bennett (defended by Tommy Kelly),-0.400,-1.770
1,13:34,4,4,CHI 24,0,0,"Adam Podlesh punts 47 yards, fair catch by Bryan McCann",-1.770,-0.870
1,13:26,1,10,OAK 29,0,0,Carson Palmer pass complete deep middle to Darrius Heyward-Bey for 19 yards (tackle by Major Wright),0.870,2.130
1,12:49,1,10,OAK 48,0,0,Carson Palmer pass complete deep left to Brandon Myers for 24 yards (tackle by Chris Conte and Charles Tillman),2.130,3.710
1,12:08,1,10,CHI 28,0,0,Michael Bush left end for 6 yards (tackle by Matt Toeaina),3.710,3.980
1,11:26,2,4,CHI 22,0,0,Carson Palmer pass incomplete deep left intended for Marcel Reece,3.980,3.270
1,11:20,3,4,CHI 22,0,0,Carson Palmer pass incomplete short left intended for Darrius Heyward-Bey,3.270,2.070
1,11:16,4,4,CHI 22,0,3,Sebastian Janikowski 40 yard field goal good,2.070,3.000
1,,,,OAK 35,0,3,"Sebastian Janikowski kicks off 70 yards, returned by Johnny Knox for 28 yards (tackle by Darryl Blackstock)",0.000,0.480
1,11:05,1,10,CHI 23,0,3,Matt Forte right end for -3 yards (tackle by Aaron Curry),0.480,-0.470
1,10:29,2,13,CHI 20,0,3,Caleb Hanie pass complete short left to Roy E. Williams for 10 yards (tackle by Lito Sheppard),-0.470,0.170
1,9:52,3,3,CHI 30,0,3,Caleb Hanie pass incomplete short left intended for Johnny Knox,0.170,-1.370
1,9:46,4,3,CHI 30,0,3,"Adam Podlesh punts 46 yards, returned by Bryan McCann for 1 yard (tackle by Zackary Bowman)",-1.370,-0.610
1,9:35,1,10,OAK 25,0,3,Marcel Reece up the middle for 3 yards (tackle by Julius Peppers),0.610,0.470
1,9:02,2,7,OAK 28,0,3,Michael Bush left tackle for 1 yard (tackle by Matt Toeaina),0.470,-0.100
1,8:18,3,6,OAK 29,0,3,Carson Palmer pass incomplete short middle intended for Chaz Schilens,-0.100,-1.440
1,8:13,4,6,OAK 29,0,3,"Shane Lechler punts 45 yards, returned by Devin Hester for no gain. Penalty on Zackary Bowman: Offensive Holding, 10 yards",-1.440,0.140
1,8:02,1,10,CHI 16,0,3,Matt Forte right end for 1 yard (tackle by Desmond Bryant),-0.140,-0.510
1,7:28,2,9,CHI 17,0,3,"Caleb Hanie left tackle for 17 yards (tackle by Kamerion Wimbley). Penalty on Tyler Clutts: Personal Foul, 15 yards",-0.510,0.150
1,7:03,1,10,CHI 19,0,3,"Penalty on J'Marcus Webb: False Start, 5 yards (no play)",0.150,-0.390
1,6:38,1,15,CHI 14,0,3,Caleb Hanie pass incomplete deep right intended for Matt Forte is intercepted by Stanford Routt at CHI-33 and returned for 2 yards (tackle by Matt Forte),-0.390,-3.510
1,6:28,1,10,CHI 31,0,3,Carson Palmer pass complete short left to Darrius Heyward-Bey for 7 yards (tackle by Charles Tillman),3.510,3.910
1,6:11,2,3,CHI 24,0,3,Michael Bush right tackle for 4 yards (tackle by Nick Roach),3.910,4.240
1,5:35,1,10,CHI 20,0,3,Michael Bush left end for 2 yards (tackle by Brian Urlacher),4.240,3.960
1,4:55,2,8,CHI 18,0,3,Carson Palmer pass incomplete deep middle intended for Kevin Boss (defended by Major Wright),3.960,3.220
1,4:50,3,8,CHI 18,0,3,Carson Palmer sacked by Julius Peppers for -11 yards,3.220,1.500
1,4:26,4,19,CHI 29,0,6,Sebastian Janikowski 47 yard field goal good,1.500,3.000
1,,,,OAK 35,0,6,"Sebastian Janikowski kicks off 65 yards, returned by Devin Hester for 18 yards (tackle by Matt Giordano)",0.000,0.040
1,4:12,1,10,CHI 18,0,6,Caleb Hanie pass incomplete short left intended for Johnny Knox,0.040,-0.490
1,4:09,2,10,CHI 18,0,6,Matt Forte right guard for 33 yards (tackle by Michael Huff),-0.490,2.320
1,3:36,1,10,OAK 49,0,6,Caleb Hanie right end for 1 yard (tackle by Aaron Curry),2.320,1.920
1,3:07,2,9,OAK 48,0,6,Caleb Hanie pass complete short left to Matt Forte for 10 yards (tackle by John Henderson),1.920,3.050
1,2:33,1,10,OAK 38,0,6,Marion Barber right end for 3 yards (tackle by Tyvon Branch),3.050,2.910
1,2:01,2,7,OAK 35,0,6,Caleb Hanie sacked by Rolando McClain for -8 yards,2.910,1.160
1,1:36,3,15,OAK 43,0,6,Caleb Hanie pass incomplete deep middle intended for Matt Forte is intercepted by Michael Huff at OAK-19 and returned for 24 yards (tackle by Dane Sanzenbacher),1.160,-1.800
1,1:22,1,10,OAK 43,0,6,Michael Bush left tackle for 2 yards (tackle by Corey Wootton),1.800,1.520
1,0:48,2,8,OAK 45,0,6,Carson Palmer pass complete short left to Marcel Reece for 1 yard (tackle by Nick Roach),1.520,0.960
1,0:19,3,7,OAK 46,0,6,Carson Palmer pass complete short right to Kevin Boss for 8 yards (tackle by Lance Briggs),0.960,2.520
Quarter,Time,Down,ToGo,Location,CHI,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 46,0,6,Carson Palmer sacked by Amobi Okoye for -9 yards,2.520,0.760
2,14:25,2,19,OAK 45,0,6,Carson Palmer pass incomplete deep left intended for Louis Murphy,0.760,0.100
2,14:19,3,19,OAK 45,0,6,Carson Palmer pass complete short right to Michael Bush for 8 yards (tackle by Lance Briggs),0.100,0.130
2,13:57,4,11,CHI 47,0,6,Shane Lechler punts 44 yards,0.130,0.380
2,13:49,1,10,CHI 3,0,6,Matt Forte right tackle for 4 yards (tackle by Lamarr Houston),-0.380,-0.490
2,13:11,2,6,CHI 7,0,6,Matt Forte right tackle for 1 yard (tackle by Rolando McClain),-0.490,-0.840
2,12:28,,,,0,6,Timeout #1 by Chicago Bears,0.000,-0.840
2,12:28,3,5,CHI 8,0,6,Caleb Hanie pass incomplete,-0.840,-2.490
2,12:22,4,5,CHI 8,0,6,"Adam Podlesh punts 42 yards, fair catch by T.J. Houshmandzadeh",-2.490,-2.260
2,12:14,1,10,,0,6,Michael Bush left tackle for 3 yards (tackle by Matt Toeaina),2.260,2.120
