Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,CHI,23,113,1,7,63,2.7,50,2.2,5,4.6
Tarik Cohen,CHI,4,20,0,1,20,5.0,0,0.0,0,
Ryan Nall,CHI,2,8,0,1,3,1.5,5,2.5,0,
Cordarrelle Patterson,CHI,2,14,0,1,6,3.0,8,4.0,0,
Mitchell Trubisky,CHI,2,1,0,0,1,0.5,0,0.0,0,
Allen Robinson,CHI,1,2,0,0,2,2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mike Boone,MIN,17,148,1,5,34,2.0,114,6.7,1,17.0
Ameer Abdullah,MIN,6,22,0,1,9,1.5,13,2.2,2,3.0
C.J. Ham,MIN,2,4,0,1,4,2.0,0,0.0,0,
Sean Mannion,MIN,1,0,0,0,0,0.0,0,0.0,0,
