Quarter,Time,Tm,Detail,CHI,MIN
1.0,7:41,Bears,Eddy Pineiro 26 yard field goal,3,0
,0:44,Bears,Eddy Pineiro 33 yard field goal,6,0
2.0,9:17,Vikings,Dan Bailey 37 yard field goal,6,3
,6:03,Bears,"Safety, Mike Boone tackled in end zone by Nick Kwiatkoski",8,3
,1:51,Bears,Eddy Pineiro 34 yard field goal,11,3
,0:00,Vikings,Dan Bailey 38 yard field goal,11,6
3.0,9:49,Bears,David Montgomery 14 yard rush (Eddy Pineiro kick),18,6
4.0,14:13,Vikings,Mike Boone 1 yard rush (Dan Bailey kick),18,13
,8:54,Vikings,Dan Bailey 39 yard field goal,18,16
,4:53,Vikings,Dan Bailey 34 yard field goal,18,19
,0:10,Bears,Eddy Pineiro 22 yard field goal,21,19
