Unnamed: 0,CHI,MIN
First Downs,24,14
Rush-Yds-TDs,34-158-1,26-174-1
Cmp-Att-Yd-TD-INT,26-37-207-0-0,12-21-126-0-2
Sacked-Yards,4-28,0-0
Net Pass Yards,179,126
Total Yards,337,300
Fumbles-Lost,2-1,1-1
Turnovers,1,3
Penalties-Yards,3-34,3-40
Third Down Conv.,7-16,4-9
Fourth Down Conv.,1-2,0-0
Time of Possession,37:40,22:20
