Quarter,Time,Down,ToGo,Location,IND,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 59 yards, returned by Brandon Tate for 27 yards (tackle by Jermaine Grace)",0.000,-1.140
1,14:52,1,10,BUF 33,0,0,LeSean McCoy middle for 2 yards (tackle by T.J. Green),1.140,0.860
1,14:21,2,8,BUF 35,0,0,Nathan Peterman pass incomplete short left intended for Kelvin Benjamin,0.860,0.170
1,14:17,3,8,BUF 35,0,0,LeSean McCoy left tackle for 10 yards (tackle by Matthias Farley),0.170,1.930
1,13:38,1,10,BUF 45,0,0,LeSean McCoy left guard for -1 yards (tackle by Antonio Morrison),1.930,1.250
1,13:03,2,11,BUF 44,0,0,LeSean McCoy right guard for 4 yards (tackle by Matthias Farley),1.250,1.090
1,12:23,3,7,BUF 48,0,0,Nathan Peterman left guard for 7 yards (tackle by Margus Hunt),1.090,2.590
1,11:38,1,10,IND 45,0,0,Travaris Cadet right guard for 1 yard (tackle by Jonathan Bostic and Al Woods),2.590,2.180
1,10:58,2,9,IND 44,0,0,"Nathan Peterman for no gain. Nathan Peterman fumbles, recovered by Nathan Peterman at IND-47",2.180,1.090
1,10:19,3,12,IND 47,0,0,Nathan Peterman pass complete short left to Kelvin Benjamin for 9 yards (tackle by Nate Hairston),1.090,0.000
1,9:49,,,,,,Timeout #1 by Indianapolis Colts,0.000,0.000
1,9:49,,,,,,Timeout #1 by Buffalo Bills,0.000,-0.720
1,9:49,4,3,IND 38,0,0,Joe Webb pass incomplete short right intended for Charles Clay (defended by T.J. Green),0.720,-1.470
1,9:43,1,10,IND 38,0,0,Frank Gore left guard for 4 yards (tackle by Jordan Poyer),1.470,1.460
1,9:11,2,6,IND 42,0,0,Frank Gore middle for 2 yards (tackle by Kyle Williams),1.460,1.020
1,8:32,3,4,IND 44,0,0,Frank Gore right guard for 6 yards (tackle by E.J. Gaines),1.020,2.260
1,7:54,1,10,,0,0,Frank Gore middle for 2 yards (tackle by Adolphus Washington and Kyle Williams),2.260,1.980
1,7:17,2,8,BUF 48,0,0,Frank Gore left guard for 4 yards (tackle by Preston Brown and Jerry Hughes),1.980,1.820
1,6:38,3,4,BUF 44,0,0,Frank Gore right guard for 1 yard (tackle by Matt Milano and E.J. Gaines),1.820,0.400
1,5:53,4,3,BUF 43,0,0,Frank Gore right guard for 5 yards (tackle by Matt Milano),0.400,3.050
1,5:15,1,10,BUF 38,0,0,Marlon Mack left guard for 20 yards (tackle by Micah Hyde),3.050,4.370
1,4:38,1,10,BUF 18,0,0,Marlon Mack right tackle for -3 yards (tackle by Preston Brown),4.370,3.420
1,3:55,2,13,BUF 21,0,0,Frank Gore middle for 7 yards (tackle by Micah Hyde),3.420,3.630
1,3:14,3,6,BUF 14,0,0,Frank Gore right guard for -1 yards (tackle by Preston Brown),3.630,2.440
1,2:25,4,7,BUF 15,0,0,Adam Vinatieri 33 yard field goal no good,2.440,-0.480
1,2:21,1,10,BUF 23,0,0,LeSean McCoy left guard for 5 yards (tackle by Barkevious Mingo),0.480,0.610
1,1:39,2,5,BUF 28,0,0,LeSean McCoy middle for 4 yards (tackle by Tarell Basham and Clayton Geathers),0.610,0.430
1,0:56,3,1,BUF 32,0,0,LeSean McCoy right tackle for 2 yards (tackle by Grover Stewart and Jonathan Bostic),0.430,1.200
Quarter,Time,Down,ToGo,Location,IND,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 34,0,0,LeSean McCoy right tackle for 7 yards (tackle by Matthias Farley),1.200,1.600
2,14:22,2,3,BUF 41,0,0,LeSean McCoy left guard for no gain (tackle by Matthias Farley),1.600,0.890
2,13:40,3,3,BUF 41,0,0,Mike Tolbert middle for 1 yard (tackle by Johnathan Hankins and Al Woods),0.890,-0.590
2,12:54,4,2,BUF 42,0,0,Colton Schmidt punts 43 yards,-0.590,0.220
2,12:44,1,10,IND 15,0,0,Frank Gore middle for no gain (tackle by Jerry Hughes),-0.220,-0.710
2,12:13,2,10,IND 15,0,0,Frank Gore left guard for 4 yards (tackle by Kyle Williams and Ryan Davis),-0.710,-0.880
2,11:35,3,6,IND 19,0,0,Frank Gore middle for 1 yard (tackle by Micah Hyde),-0.880,-2.030
2,10:51,4,5,IND 20,0,0,Rigoberto Sanchez punts 35 yards,-2.030,-1.930
2,10:43,1,10,BUF 45,0,0,LeSean McCoy right end for 5 yards (tackle by Barkevious Mingo),1.930,2.060
2,10:22,2,5,,0,0,LeSean McCoy right guard for 9 yards,2.060,2.850
2,9:40,1,10,IND 41,0,0,Mike Tolbert middle for 1 yard (tackle by T.J. Green),2.850,2.440
2,9:07,2,9,IND 40,0,0,Mike Tolbert middle for 2 yards (tackle by Antonio Morrison),2.440,2.020
2,8:25,3,7,IND 38,0,0,Nathan Peterman pass incomplete short left intended for Kelvin Benjamin (defended by Quincy Wilson),2.020,0.720
2,8:21,4,7,IND 38,0,0,Nathan Peterman pass incomplete short right intended for Kelvin Benjamin,0.720,-1.470
2,8:15,1,10,IND 38,0,0,Frank Gore middle for 9 yards (tackle by Cedric Thornton),1.470,2.140
2,7:36,2,1,IND 47,0,0,Frank Gore left guard for 2 yards (tackle by Eddie Yarbrough),2.140,2.190
2,6:54,1,10,IND 49,0,0,Frank Gore middle for 3 yards (tackle by Jordan Poyer and Eddie Yarbrough),2.190,2.050
2,6:13,2,7,BUF 48,0,0,Jacoby Brissett pass complete short right to Marlon Mack for 11 yards (tackle by Matt Milano),2.050,3.120
2,5:36,1,10,BUF 37,0,0,Frank Gore right guard for no gain (tackle by Preston Brown),3.120,2.570
2,4:59,2,10,BUF 37,0,0,Marlon Mack middle for no gain (tackle by Adolphus Washington and Jordan Poyer),2.570,1.880
2,4:19,3,10,BUF 37,0,0,Marlon Mack left end for 5 yards (tackle by E.J. Gaines),1.880,0.000
2,3:41,,,,,,Timeout #2 by Indianapolis Colts,0.000,-1.260
2,3:41,4,5,BUF 32,0,0,Rigoberto Sanchez punts 30 yards,1.260,0.380
2,3:33,1,10,BUF 2,0,0,Nathan Peterman middle for 1 yard (tackle by Grover Stewart),-0.380,-0.710
2,2:59,2,9,BUF 3,0,0,LeSean McCoy middle for 2 yards (tackle by Grover Stewart and Al Woods),-0.710,-1.070
2,2:21,3,7,BUF 5,0,0,Nathan Peterman pass incomplete short right intended for Charles Clay,-1.070,-2.490
2,2:16,4,7,BUF 5,0,0,Colton Schmidt punts 40 yards,-2.490,-2.590
2,2:07,1,10,BUF 45,0,0,"Jacoby Brissett pass incomplete. Penalty on Jacoby Brissett: Intentional Grounding, 10 yards",2.590,0.690
2,2:00,2,20,IND 45,0,0,Frank Gore left tackle for 4 yards (tackle by Preston Brown),0.690,0.000
2,1:54,,,,,,Timeout #2 by Buffalo Bills,0.000,-0.560
2,1:54,3,16,IND 49,0,0,Frank Gore left tackle for 4 yards (tackle by Matt Milano),0.560,0.000
2,1:50,,,,,,Timeout #3 by Buffalo Bills,0.000,-0.130
2,1:49,4,12,BUF 47,0,0,"Rigoberto Sanchez punts 47 yards, touchback",0.130,-0.280
2,1:42,1,10,BUF 20,0,0,LeSean McCoy middle for no gain (tackle by Margus Hunt and Al Woods),0.280,0.000
2,1:36,,,,,,Timeout #3 by Indianapolis Colts,0.000,0.270
2,1:36,2,10,BUF 20,0,0,LeSean McCoy right tackle for 23 yards,-0.270,1.800
2,1:27,1,10,BUF 43,0,0,LeSean McCoy left guard for 25 yards (tackle by Darius Butler),1.800,3.450
2,0:58,1,10,IND 32,0,0,Mike Tolbert right tackle for 3 yards,3.450,3.310
2,0:38,2,7,IND 29,0,0,Nathan Peterman spiked the ball,3.310,2.610
2,0:38,3,7,IND 29,0,0,Nathan Peterman pass complete deep right to Kelvin Benjamin for 21 yards,2.610,5.370
2,0:31,1,8,IND 8,0,6,"Nathan Peterman pass complete short right to Kelvin Benjamin for 8 yards, touchdown",5.370,7.000
2,0:27,,,IND 15,0,7,Steven Hauschka kicks extra point good,0.000,0.000
2,0:27,,,BUF 35,0,7,"Steven Hauschka kicks off 54 yards, returned by Josh Ferguson for 14 yards (tackle by Shamarko Thomas)",0.000,-0.610
2,0:22,1,10,IND 25,0,7,Jacoby Brissett kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,IND,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,0,7,"Steven Hauschka kicks off 45 yards, returned by Josh Ferguson for 20 yards (tackle by Deon Lacey)",0.000,-1.600
3,14:53,1,10,IND 40,0,7,Frank Gore left guard for 3 yards (tackle by Jordan Poyer),1.600,1.460
3,14:24,2,7,IND 43,0,7,Frank Gore left guard for 2 yards (tackle by Eddie Yarbrough),1.460,1.030
3,13:47,3,5,IND 45,0,7,Frank Gore middle for no gain (tackle by Adolphus Washington and Matt Milano),1.030,-0.390
3,13:13,4,5,IND 45,0,7,Rigoberto Sanchez punts 47 yards,-0.390,0.380
3,13:03,1,10,BUF 8,0,7,LeSean McCoy right guard for -1 yards (tackle by Johnathan Hankins),-0.380,-0.850
