Unnamed: 0,IND,BUF
First Downs,16,14
Rush-Yds-TDs,46-163-0,51-227-1
Cmp-Att-Yd-TD-INT,11-22-69-1-0,7-16-92-1-1
Sacked-Yards,1-5,0-0
Net Pass Yards,64,92
Total Yards,227,319
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,2-20,2-10
Third Down Conv.,4-16,10-18
Fourth Down Conv.,3-4,0-2
Time of Possession,36:02,32:25
