Quarter,Time,Tm,Detail,MIN,SFO
1.0,14:46,Vikings,Kevin Williams 18 yard interception return (Ryan Longwell kick),7,0
,5:08,Vikings,Ryan Longwell 48 yard field goal,10,0
2.0,14:14,Vikings,Robert Ferguson 19 yard pass from Tarvaris Jackson (Ryan Longwell kick),17,0
,7:16,Vikings,Ryan Longwell 46 yard field goal,20,0
,5:52,Vikings,Chester Taylor 84 yard rush (Ryan Longwell kick),27,0
3.0,7:06,49ers,Arnaz Battle 5 yard pass from Shaun Hill (Joe Nedney kick),27,7
