Unnamed: 0,MIN,SFO
First Downs,11,17
Rush-Yds-TDs,31-117-1,20-73-0
Cmp-Att-Yd-TD-INT,16-25-163-1-0,29-46-226-1-1
Sacked-Yards,0-0,3-17
Net Pass Yards,163,209
Total Yards,280,282
Fumbles-Lost,1-1,6-4
Turnovers,1,5
Penalties-Yards,3-25,7-35
Third Down Conv.,5-14,8-16
Fourth Down Conv.,0-0,1-2
Time of Possession,28:13,31:47
