Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 62 yards, returned by Bobby Rainey for 25 yards (tackle by Kemal Ishmael)",0.000,-0.810
1,14:53,1,10,TAM 28,0,0,Doug Martin middle for 4 yards (tackle by Philip Wheeler),0.810,0.800
1,14:18,2,6,TAM 32,0,0,Doug Martin left tackle for 14 yards (tackle by Ricardo Allen),0.800,1.990
1,13:43,1,10,TAM 46,0,0,Doug Martin right tackle for 5 yards (tackle by Philip Wheeler),1.990,2.130
1,13:07,2,5,ATL 49,0,0,Doug Martin right guard for 5 yards (tackle by Ra'Shede Hageman),2.130,2.650
1,12:30,1,10,ATL 44,0,0,Doug Martin left tackle for 1 yard (tackle by Kroy Biermann),2.650,2.250
1,11:54,2,9,ATL 43,0,0,Doug Martin right end for -3 yards (tackle by Paul Worrilow),2.250,1.160
1,11:17,3,12,ATL 46,0,0,Jameis Winston pass complete short right to Cameron Brate for 5 yards (tackle by Justin Durant),1.160,0.530
1,10:41,4,7,ATL 41,0,0,"Jake Schum punts 41 yards, touchback",0.530,-0.280
1,10:31,1,10,ATL 20,0,0,Matt Ryan pass complete short right to Julio Jones for 12 yards (tackle by Sterling Moore),0.280,1.070
1,9:59,1,10,ATL 32,0,0,Devonta Freeman left tackle for 1 yard (tackle by Henry Melton),1.070,0.660
1,9:23,2,9,ATL 33,0,0,Devonta Freeman left end for 2 yards (tackle by Jude Adjei-Barimah),0.660,0.230
1,8:39,3,7,ATL 35,0,0,Matt Ryan pass complete short left to Patrick DiMarco for 9 yards (tackle by Sterling Moore),0.230,1.860
1,7:59,1,10,ATL 44,0,0,Matt Ryan pass incomplete deep left intended for Jacob Tamme,1.860,1.320
1,7:51,2,10,ATL 44,0,0,Matt Ryan pass incomplete deep left intended for Julio Jones,1.320,0.630
1,7:45,3,10,ATL 44,0,0,Matt Ryan pass incomplete short middle intended for Justin Hardy (defended by Alterraun Verner),0.630,-0.460
1,7:40,4,10,ATL 44,0,0,"Matthew Bosher punts 46 yards, returned by Bobby Rainey for 13 yards (tackle by Robenson Therezie)",-0.460,-0.480
1,7:29,1,10,TAM 23,0,0,Jameis Winston pass complete short left to Austin Seferian-Jenkins for 15 yards (tackle by William Moore),0.480,1.470
1,6:52,1,10,TAM 38,0,0,Jameis Winston pass incomplete short left intended for Doug Martin,1.470,0.920
1,6:46,2,10,TAM 38,0,0,Doug Martin left guard for 8 yards (tackle by Paul Worrilow),0.920,1.290
1,6:10,3,2,TAM 46,0,0,Doug Martin left end for 3 yards (tackle by Robenson Therezie and Adrian Clayborn),1.290,2.190
1,5:30,1,10,TAM 49,0,0,Jameis Winston pass incomplete deep left intended for Mike Evans (defended by Robert Alford),2.190,1.650
1,5:23,2,10,TAM 49,0,0,Jameis Winston pass complete short left to Charles Sims for 18 yards (tackle by Jalen Collins),1.650,3.380
1,4:50,1,10,ATL 33,0,0,"Doug Martin right guard for 14 yards (tackle by Desmond Trufant). Penalty on TAM: Illegal Shift, 5 yards (no play)",3.380,3.050
1,4:26,1,15,ATL 38,0,0,"Jameis Winston pass complete short left to Charles Sims for 6 yards (tackle by Justin Durant). Penalty on Demar Dotson: Illegal Formation, 5 yards (no play)",3.050,2.720
1,4:12,1,20,ATL 43,0,0,Jameis Winston pass complete short right to Mike Evans for 14 yards (tackle by Desmond Trufant),2.720,3.380
1,3:43,2,6,ATL 29,0,0,Charles Sims left guard for 5 yards (tackle by Robenson Therezie),3.380,3.340
1,3:01,3,1,ATL 24,0,0,Doug Martin right guard for 2 yards (tackle by Tyson Jackson),3.340,4.110
1,2:13,1,10,ATL 22,0,0,Jameis Winston pass incomplete short right intended for Austin Seferian-Jenkins,4.110,3.560
1,2:08,2,10,ATL 22,0,0,"Doug Martin right tackle for 9 yards (tackle by Philip Wheeler). Penalty on Philip Wheeler: Face Mask (15 Yards), 7 yards",3.560,5.830
1,1:48,1,6,ATL 6,0,0,Doug Martin left guard for 1 yard (tackle by Philip Wheeler),5.830,5.150
1,1:08,2,5,ATL 5,0,6,"Jameis Winston right end for 5 yards, touchdown",5.150,7.000
1,1:08,,,ATL 5,0,7,Connor Barth kicks extra point good,0.000,0.000
1,1:08,,,TAM 35,0,7,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,1:01,1,10,ATL 20,0,7,Matt Ryan pass complete short middle to Justin Hardy for 11 yards (tackle by Kwon Alexander),0.280,1.000
1,0:28,1,10,ATL 31,0,7,Devonta Freeman left end for 9 yards (tackle by Major Wright),1.000,1.680
1,0:01,2,1,ATL 40,0,7,Devonta Freeman right tackle for no gain (tackle by Kwon Alexander),1.680,0.960
Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,ATL 40,0,7,Devonta Freeman middle for 3 yards (tackle by Henry Melton),0.960,1.800
2,14:32,1,10,ATL 43,0,7,Matt Ryan pass complete short right to Julio Jones for 12 yards (tackle by Sterling Moore),1.800,2.590
2,14:13,1,10,TAM 45,0,7,Matt Ryan pass complete short middle to Devonta Freeman for 5 yards (tackle by Lavonte David and Alterraun Verner),2.590,2.720
2,13:47,2,5,TAM 40,0,7,Matt Ryan pass incomplete short left intended for Devonta Freeman,2.720,2.010
2,13:41,3,5,TAM 40,0,7,Devonta Freeman left end for 14 yards (tackle by Alterraun Verner),2.010,3.840
2,13:06,1,10,TAM 26,0,7,"Devonta Freeman right guard for 2 yards (tackle by Kwon Alexander). Penalty on Akeem Spence: Illegal Use of Hands, 5 yards",3.840,4.310
2,12:43,1,10,TAM 19,0,7,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by Tony McDaniel),4.310,3.750
2,12:39,2,10,TAM 19,0,7,Matt Ryan pass complete short left to Julio Jones for 4 yards (tackle by Sterling Moore),3.750,3.580
2,11:56,3,6,TAM 15,0,7,Matt Ryan pass complete short middle to Julio Jones for 9 yards (tackle by Kwon Alexander),3.580,5.830
2,11:10,1,6,TAM 6,0,7,Devonta Freeman middle for 1 yard (tackle by Danny Lansanah and William Gholston),5.830,5.150
2,10:31,2,5,TAM 5,0,7,Matt Ryan pass incomplete short right intended for Roddy White,5.150,4.260
2,10:22,3,5,TAM 5,0,7,Matt Ryan sacked by William Gholston for -5 yards,4.260,2.760
2,9:41,4,10,TAM 10,3,7,Shayne Graham 28 yard field goal good,2.760,3.000
2,9:41,,,ATL 35,3,7,"Matthew Bosher kicks off 63 yards, returned by Bobby Rainey for 24 yards (tackle by Levine Toilolo). Penalty on Adarius Glanton: Offensive Holding, 8 yards",0.000,0.380
2,9:30,1,10,TAM 8,3,7,Doug Martin left guard for 3 yards (tackle by Grady Jarrett),-0.380,-0.560
2,8:57,2,7,TAM 11,3,7,Jameis Winston pass complete short right to Mike Evans for 10 yards (tackle by William Moore and Desmond Trufant),-0.560,0.340
2,8:20,1,10,TAM 21,3,7,Doug Martin right tackle for 2 yards (tackle by Jonathan Babineaux and Kemal Ishmael),0.340,0.070
2,7:44,2,8,TAM 23,3,7,"Penalty on Cameron Brate: False Start, 5 yards (no play)",0.070,-0.700
2,7:26,2,13,TAM 18,3,7,Jameis Winston pass complete short right to Doug Martin for 5 yards (tackle by Justin Durant),-0.700,-0.630
2,6:49,3,8,TAM 23,3,7,Jameis Winston pass complete short left to Vincent Jackson for 36 yards (tackle by Ricardo Allen),-0.630,2.850
2,6:02,1,10,ATL 41,3,7,Jameis Winston pass incomplete deep left intended for Austin Seferian-Jenkins,2.850,2.310
2,5:56,2,10,ATL 41,3,7,Doug Martin right tackle for -3 yards (tackle by Jonathan Babineaux),2.310,1.220
2,5:22,3,13,ATL 44,3,7,Doug Martin middle for 4 yards (tackle by Paul Worrilow and Desmond Trufant),1.220,0.590
2,5:06,4,9,ATL 40,3,7,Jake Schum punts 32 yards,0.590,0.380
2,4:55,1,10,ATL 8,3,7,Matt Ryan pass incomplete deep right intended for Julio Jones (defended by Bradley McDougald),-0.380,-0.780
2,4:48,2,10,ATL 8,3,7,Matt Ryan sacked by William Gholston for -1 yards,-0.780,-1.540
2,4:08,3,11,ATL 7,3,7,Matt Ryan pass complete short right to Justin Hardy for 23 yards (tackle by Chris Conte),-1.540,0.940
2,3:35,1,10,ATL 30,3,7,Matt Ryan pass complete short right to Devonta Freeman for 8 yards (tackle by Jude Adjei-Barimah and Lavonte David),0.940,1.470
2,3:09,2,2,ATL 38,3,7,Matt Ryan pass complete short left to Jacob Tamme for 7 yards (tackle by Keith Tandy),1.470,1.930
