Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
2,12:29,1,10,CHI 42,7,0,Ka'Deem Carey left guard for 1 yard (tackle by Brandon Marshall),1.730,1.320
2,11:48,2,9,CHI 43,7,0,Jay Cutler pass complete deep right to Marquess Wilson for 29 yards (tackle by T.J. Ward),1.320,3.710
2,11:29,1,10,DEN 28,7,0,Ka'Deem Carey left tackle for no gain (tackle by Danny Trevathan),3.710,3.170
2,10:48,2,10,DEN 28,7,0,Jay Cutler pass incomplete deep middle intended for Martellus Bennett (defended by T.J. Ward),3.170,2.480
2,10:43,3,10,DEN 28,7,0,Jay Cutler pass incomplete deep left intended for Jeremy Langford,2.480,1.590
2,10:37,4,10,DEN 28,7,3,Robbie Gould 46 yard field goal good,1.590,3.000
2,10:37,,,CHI 35,7,3,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
2,10:32,1,10,DEN 20,7,3,Brock Osweiler pass complete short middle to Vernon Davis for 4 yards (tackle by Shea McClellin),0.280,0.270
2,9:59,2,6,DEN 24,7,3,Ronnie Hillman left tackle for 5 yards (tackle by Willie Young),0.270,0.270
2,9:25,2,6,DEN 24,7,3,Timeout #1 by Denver Broncos,0.270,0.230
2,9:25,3,1,DEN 29,7,3,"Penalty on Ryan Harris: False Start, 5 yards (no play)",0.230,-0.430
2,9:25,3,6,DEN 24,7,3,Brock Osweiler pass incomplete deep middle intended for Owen Daniels,-0.430,-1.770
2,9:21,4,6,DEN 24,7,3,Britton Colquitt punts 45 yards,-1.770,-1.000
2,9:10,1,10,CHI 31,7,3,Ka'Deem Carey left tackle for 5 yards (tackle by Danny Trevathan),1.000,1.140
2,8:38,2,5,CHI 36,7,3,Ka'Deem Carey right guard for 2 yards (tackle by Danny Trevathan),1.140,0.700
2,8:18,3,3,CHI 38,7,3,Jay Cutler pass complete deep right to Josh Bellamy for 38 yards (tackle by Chris Harris),0.700,3.970
2,7:43,1,10,DEN 24,7,3,Ka'Deem Carey right guard for no gain (tackle by T.J. Ward),3.970,3.430
2,7:07,2,10,DEN 24,7,3,Jay Cutler pass complete short left to Josh Bellamy for 5 yards (tackle by Corey Nelson),3.430,3.410
2,6:21,3,5,DEN 19,7,3,Jay Cutler pass incomplete short right intended for Zach Miller,3.410,2.240
2,6:18,4,5,DEN 19,7,6,Robbie Gould 37 yard field goal good,2.240,3.000
2,6:18,,,CHI 35,7,6,"Robbie Gould kicks off 64 yards, returned by Omar Bolden for 2 yards (tackle by Sherrick McManis)",0.000,0.380
2,6:09,1,10,DEN 3,7,6,Ronnie Hillman right guard for 2 yards (tackle by Bruce Gaston),-0.380,-0.630
2,5:31,2,8,DEN 5,7,6,Brock Osweiler pass incomplete short right intended for Demaryius Thomas,-0.630,-1.190
2,5:25,3,8,DEN 5,7,6,Brock Osweiler pass incomplete deep left intended for Demaryius Thomas,-1.190,-2.490
2,5:19,4,8,DEN 5,7,6,"Britton Colquitt punts 44 yards, fair catch by Marc Mariani",-2.490,-2.320
2,5:11,1,10,DEN 49,7,6,Jeremy Langford left guard for 1 yard (tackle by Sylvester Williams),2.320,1.920
2,4:32,2,9,DEN 48,7,6,Jay Cutler pass incomplete deep left intended for Zach Miller (defended by Darius Kilgo),1.920,1.220
2,4:28,3,9,DEN 48,7,6,Jay Cutler pass complete short left to Cameron Meredith for 6 yards (tackle by David Bruton),1.220,0.460
2,3:47,4,3,DEN 42,7,6,"Pat O'Donnell punts 30 yards, fair catch by Omar Bolden",0.460,0.350
2,3:40,1,10,DEN 12,7,6,Brock Osweiler pass complete short right to Ronnie Hillman for 2 yards (tackle by Shea McClellin),-0.350,-0.610
2,3:01,2,8,DEN 14,7,6,Ronnie Hillman right end for 11 yards (tackle by Sam Acho),-0.610,0.610
2,2:22,1,10,DEN 25,7,6,Brock Osweiler pass complete short left to Owen Daniels for 10 yards (tackle by Adrian Amos),0.610,1.270
2,2:00,1,10,DEN 35,7,6,Brock Osweiler pass complete short right to Vernon Davis for 15 yards (tackle by Adrian Amos). Penalty on Christian Jones: Defensive Holding (Declined),1.270,2.260
2,1:54,1,10,,7,6,Brock Osweiler pass complete short left to Demaryius Thomas for 3 yards (tackle by Adrian Amos),2.260,2.120
2,1:45,2,7,CHI 47,7,6,Brock Osweiler pass complete short middle to Owen Daniels for 12 yards (tackle by Shea McClellin and Sam Acho),2.120,3.250
2,1:08,1,10,CHI 35,7,6,Ronnie Hillman right tackle for 2 yards (tackle by Lamarr Houston),3.250,2.970
2,0:37,2,8,CHI 33,7,6,Brock Osweiler pass complete short left to Cody Latimer for 12 yards (tackle by Kyle Fuller),2.970,4.170
2,0:31,1,10,CHI 21,7,6,Brock Osweiler pass complete short left to C.J. Anderson for 1 yard (tackle by Jonathan Anderson),4.170,3.760
2,0:24,2,9,CHI 20,7,6,Brock Osweiler right end for 5 yards,3.760,3.760
2,0:16,2,9,CHI 20,7,6,Timeout #2 by Denver Broncos,3.760,3.810
2,0:16,3,4,CHI 15,7,6,Brock Osweiler pass complete short middle to Vernon Davis for 9 yards (tackle by Adrian Amos),3.810,3.810
2,0:09,3,4,CHI 15,7,6,Timeout #3 by Denver Broncos,3.810,5.830
2,0:09,1,6,CHI 6,7,6,Brock Osweiler pass incomplete short left intended for Demaryius Thomas,5.830,4.950
2,0:04,2,6,CHI 6,10,6,Brandon McManus 24 yard field goal good,4.950,3.000
Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,10,6,"Robbie Gould kicks off 66 yards, returned by Omar Bolden for 19 yards (tackle by Sherrick McManis)",0.000,0.040
3,14:54,1,10,DEN 18,10,6,Brock Osweiler pass complete short right to Owen Daniels for 31 yards (tackle by Kyle Fuller),0.040,2.190
3,14:14,1,10,DEN 49,10,6,Brock Osweiler sacked by Adrian Amos for -7 yards,2.190,0.700
3,13:36,2,17,DEN 42,10,6,Ronnie Hillman right tackle for 7 yards (tackle by Christian Jones),0.700,0.960
3,12:54,3,10,DEN 49,10,6,Brock Osweiler sacked by Chris Prosinski for 0 yards,0.960,-0.130
3,12:09,4,10,DEN 49,10,6,"Britton Colquitt punts 42 yards, fair catch by Marc Mariani",-0.130,0.380
3,12:01,1,10,CHI 9,10,6,Jeremy Langford right guard for 4 yards (tackle by Brandon Marshall),-0.380,-0.480
3,11:25,2,6,CHI 13,10,6,Jay Cutler pass incomplete short right intended for Martellus Bennett,-0.480,-0.950
3,11:20,3,6,CHI 13,10,6,Jay Cutler pass complete short left to Jeremy Langford for 5 yards (tackle by T.J. Ward),-0.950,-2.240
3,10:37,4,1,CHI 18,10,6,"Pat O'Donnell punts 34 yards, out of bounds",-2.240,-2.130
3,10:31,1,10,DEN 48,10,6,Ronnie Hillman right end for 6 yards (tackle by Shea McClellin),2.130,2.390
3,9:51,2,4,CHI 46,10,6,Ronnie Hillman left tackle for 3 yards (tackle by Mitch Unrein),2.390,2.080
3,9:16,3,1,CHI 43,10,6,Brock Osweiler pass incomplete short right intended for Demaryius Thomas (defended by Kyle Fuller),2.080,0.400
3,9:13,4,1,CHI 43,10,6,"Britton Colquitt punts 33 yards, fair catch by Marc Mariani",0.400,0.380
3,9:05,1,10,CHI 10,10,6,Jay Cutler right end for 6 yards (tackle by Shaquil Barrett),-0.380,-0.230
3,8:27,2,4,CHI 16,10,6,Ka'Deem Carey left guard for 5 yards (tackle by Brandon Marshall),-0.230,0.340
3,7:59,1,10,CHI 21,10,6,Jay Cutler pass incomplete deep middle intended for Marquess Wilson is intercepted by Danny Trevathan at CHI-39 and returned for 14 yards,0.340,-3.910
3,7:48,1,10,CHI 25,10,6,Ronnie Hillman right end for 7 yards (tackle by Kyle Fuller),3.910,4.370
3,7:15,2,3,CHI 18,10,6,Ronnie Hillman right tackle for 7 yards (tackle by Shea McClellin),4.370,4.840
3,6:35,1,10,CHI 11,10,6,Ronnie Hillman right guard for 1 yard (tackle by Jarvis Jenkins),4.840,4.320
3,5:55,2,9,CHI 10,10,6,C.J. Anderson right end for no gain (tackle by Lamarr Houston),4.320,3.300
3,5:15,3,9,CHI 10,10,6,Brock Osweiler pass complete short middle to Jordan Norwood for 8 yards (tackle by Adrian Amos),3.300,3.300
3,4:27,3,9,CHI 10,10,6,Timeout #1 by Denver Broncos,3.300,3.250
3,4:27,4,1,CHI 2,10,6,Ronnie Hillman left end for no gain (tackle by Christian Jones),3.250,0.380
3,4:22,1,10,CHI 2,10,6,Jeremy Langford left tackle for 3 yards (tackle by Shane Ray and Danny Trevathan),-0.380,-0.560
3,3:46,2,7,CHI 5,10,6,Jay Cutler pass complete short left to Zach Miller for 6 yards (tackle by Von Miller),-0.560,-0.370
3,2:58,3,1,CHI 11,10,6,"Penalty on Shane Ray: Defensive Offside, 5 yards (no play)",-0.370,-0.140
3,2:37,1,10,CHI 16,10,6,Jeremy Langford right guard for 5 yards (tackle by Danny Trevathan),-0.140,0.150
3,2:08,2,5,CHI 21,10,6,"Jay Cutler pass incomplete deep right intended for Martellus Bennett. Penalty on Brandon Marshall: Defensive Pass Interference, 29 yards (no play)",0.150,2.260
3,2:02,1,10,,10,6,Jay Cutler pass complete short middle to Marquess Wilson for 29 yards (tackle by Brandon Marshall),2.260,4.170
3,1:45,1,10,DEN 21,10,6,Jeremy Langford right tackle for 2 yards (tackle by Brandon Marshall),4.170,3.900
3,1:05,2,8,DEN 19,10,6,Jay Cutler pass incomplete short right intended for Jeremy Langford (defended by Shaquil Barrett),3.900,3.180
3,1:00,3,8,DEN 19,10,6,Jay Cutler pass incomplete deep left intended for Marquess Wilson (defended by Bradley Roby),3.180,2.180
3,0:54,4,8,DEN 19,10,9,Robbie Gould 37 yard field goal good,2.180,3.000
3,0:54,,,CHI 35,10,9,"Robbie Gould kicks off 60 yards, returned by Omar Bolden for 24 yards (tackle by Harold Jones-Quartey)",0.000,-0.870
3,0:43,1,10,DEN 29,10,9,Brock Osweiler pass complete short left to Vernon Davis for 11 yards (tackle by Willie Young),0.870,1.600
3,0:08,1,10,DEN 40,10,9,Ronnie Hillman left end for 3 yards (tackle by Christian Jones and Willie Young),1.600,1.460
Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,DEN 43,10,9,Brock Osweiler pass incomplete short right intended for Demaryius Thomas,1.460,0.760
4,14:55,3,7,DEN 43,10,9,Brock Osweiler pass complete short right to C.J. Anderson for 12 yards (tackle by Chris Prosinski),0.760,2.590
4,14:18,1,10,CHI 45,10,9,C.J. Anderson right end for 6 yards (tackle by Sam Acho),2.590,2.850
4,13:40,2,4,CHI 39,10,9,Brock Osweiler pass complete short left to Owen Daniels for 16 yards (tackle by Adrian Amos),2.850,4.040
4,13:10,1,10,CHI 23,10,9,Ronnie Hillman left tackle for 11 yards (tackle by Christian Jones),4.040,4.780
4,12:35,1,10,CHI 12,10,9,Ronnie Hillman left end for 2 yards (tackle by Pernell McPhee),4.780,4.450
4,11:53,2,8,CHI 10,10,9,Brock Osweiler pass incomplete short right intended for Cody Latimer,4.450,3.480
4,11:47,3,8,CHI 10,16,9,"Brock Osweiler pass complete short middle to Cody Latimer for 10 yards, touchdown",3.480,7.000
4,11:47,,,CHI 10,17,9,Brandon McManus kicks extra point good,0.000,0.000
4,11:47,,,DEN 35,17,9,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
4,11:42,1,10,CHI 20,17,9,"Jay Cutler right guard for 18 yards (tackle by Aqib Talib). Penalty on T.J. Ward: Unnecessary Roughness, 15 yards",0.280,2.460
4,11:17,1,10,DEN 47,17,9,Jay Cutler pass complete deep right to Marquess Wilson for 40 yards (tackle by Chris Harris),2.460,5.600
4,10:47,1,7,DEN 7,17,9,Jay Cutler pass complete short right to Jeremy Langford for 3 yards (tackle by Brandon Marshall),5.600,5.340
4,10:18,2,4,DEN 4,17,9,Jay Cutler pass incomplete short right intended for Martellus Bennett (defended by Darian Stewart),5.340,4.490
4,10:14,3,4,DEN 4,17,9,Jay Cutler pass incomplete short right intended for Marquess Wilson,4.490,3.030
4,10:10,4,4,DEN 4,17,9,Jay Cutler pass incomplete short right intended for Jeremy Langford (defended by Aqib Talib),3.030,0.380
4,10:03,1,10,DEN 4,17,9,C.J. Anderson left guard for 5 yards (tackle by Christian Jones),-0.380,-0.420
4,9:26,2,5,DEN 9,17,9,C.J. Anderson left tackle for 4 yards (tackle by Jarvis Jenkins),-0.420,-0.370
4,8:44,3,1,DEN 13,17,9,C.J. Anderson left tackle for 15 yards (tackle by Kyle Fuller),-0.370,0.810
4,8:05,1,10,DEN 28,17,9,Ronnie Hillman right end for 1 yard (tackle by Chris Prosinski and Eddie Goldman),0.810,0.400
4,7:27,2,9,DEN 29,17,9,Brock Osweiler pass complete short right to Vernon Davis for 18 yards (tackle by Chris Prosinski),0.400,2.060
4,6:41,1,10,DEN 47,17,9,Ronnie Hillman right guard for 4 yards (tackle by Will Sutton and Christian Jones),2.060,2.060
4,5:59,2,6,CHI 49,17,9,Cody Latimer right end for 5 yards (tackle by Christian Jones),2.060,2.020
4,5:18,3,1,CHI 44,17,9,C.J. Anderson left guard for no gain (tackle by Shea McClellin and Sam Acho),2.020,0.330
4,5:18,4,1,CHI 44,17,9,"Penalty on Brock Osweiler: Delay of Game, 5 yards (no play)",0.330,0.000
4,4:30,4,6,CHI 49,17,9,"Britton Colquitt punts 25 yards, fair catch by Marc Mariani",0.000,-0.540
4,4:23,1,10,CHI 24,17,9,Jeremy Langford left end for -2 yards (tackle by Derek Wolfe),0.540,-0.270
4,3:48,2,12,CHI 22,17,9,Jay Cutler pass complete short middle to Josh Bellamy for 2 yards (tackle by Bradley Roby),-0.270,-0.690
4,3:15,3,10,CHI 24,17,9,Jay Cutler pass complete short right to Martellus Bennett for 17 yards (tackle by Aqib Talib),-0.690,1.660
4,2:42,1,10,CHI 41,17,9,Jay Cutler pass incomplete deep right intended for Martellus Bennett (defended by Darian Stewart),1.660,1.120
4,2:37,2,10,CHI 41,17,9,"Jay Cutler pass incomplete deep right intended for Martellus Bennett. Penalty on Aqib Talib: Defensive Pass Interference, 26 yards (no play)",1.120,3.380
4,2:30,1,10,DEN 33,17,9,"Jay Cutler sacked by Von Miller for -7 yards. Jay Cutler fumbles (forced by Von Miller), recovered by Malik Jackson at DEN-35 (tackle by Matt Slauson)",3.380,-1.140
4,2:23,1,10,DEN 33,17,9,C.J. Anderson right end for 3 yards (tackle by Chris Prosinski),1.140,1.140
4,2:17,1,10,DEN 33,17,9,Timeout #1 by Chicago Bears,1.140,1.000
4,2:17,2,7,DEN 36,17,9,C.J. Anderson left end for no gain (tackle by Mitch Unrein),1.000,1.000
4,2:12,2,7,DEN 36,17,9,Timeout #2 by Chicago Bears,1.000,0.300
4,2:12,3,7,DEN 36,17,9,Brock Osweiler sacked by Willie Young for -9 yards,0.300,-1.570
4,2:00,4,16,DEN 27,17,9,"Britton Colquitt punts 42 yards, returned by Marc Mariani for 4 yards (tackle by David Bruton)",-1.570,-1.270
4,1:49,1,10,CHI 35,17,9,Jay Cutler pass complete deep right to Zach Miller for 20 yards (tackle by David Bruton),1.270,2.590
4,1:23,1,10,DEN 45,17,9,Jay Cutler pass complete short right to Josh Bellamy for 12 yards (tackle by Aqib Talib),2.590,3.380
4,1:02,1,10,DEN 33,17,9,Jay Cutler pass complete short left to Marquess Wilson for 4 yards,3.380,3.380
4,0:58,2,6,DEN 29,17,9,"Jay Cutler pass incomplete deep left intended for Martellus Bennett. Penalty on Bradley Roby: Defensive Pass Interference, 18 yards (no play)",3.380,4.840
4,0:53,1,10,DEN 11,17,9,Jay Cutler pass complete short left to Jeremy Langford for 9 yards (tackle by Danny Trevathan),4.840,5.850
4,0:33,2,1,DEN 2,17,9,Jay Cutler pass incomplete short middle intended for Josh Bellamy (defended by Bradley Roby),5.850,5.120
4,0:29,3,1,DEN 2,17,15,"Jeremy Langford right guard for 2 yards, touchdown",5.120,7.000
4,0:29,3,,DEN 2,17,15,"Two Point Attempt: Jeremy Langford right guard, conversion fails",5.120,-1.000
4,0:29,,,CHI 35,17,15,"Robbie Gould kicks onside 10 yards, recovered by Demaryius Thomas",0.000,-2.590
4,0:23,1,10,CHI 45,17,15,Brock Osweiler kneels for -1 yards,2.590,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
