Unnamed: 0,NWE,WAS
First Downs,22,25
Rush-Yds-TDs,20-79-0,34-170-0
Cmp-Att-Yd-TD-INT,22-37-357-3-1,20-33-301-3-1
Sacked-Yards,1-5,2-8
Net Pass Yards,352,293
Total Yards,431,463
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,4-47,8-73
Third Down Conv.,5-11,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,23:51,36:09
