Quarter,Time,Tm,Detail,NWE,WAS
1.0,12:06,Patriots,Vince Wilfork fumble recovery in end zone (Stephen Gostkowski kick),7,0
,6:42,Redskins,Graham Gano 24 yard field goal,7,3
,5:49,Patriots,Rob Gronkowski 11 yard pass from Tom Brady (Stephen Gostkowski kick),14,3
,1:20,Redskins,Jabar Gaffney 9 yard pass from Rex Grossman (Graham Gano kick),14,10
2.0,14:49,Redskins,Santana Moss 49 yard pass from Brandon Banks (Graham Gano kick),14,17
,8:54,Patriots,Stephen Gostkowski 23 yard field goal,17,17
,2:13,Redskins,Graham Gano 25 yard field goal,17,20
,0:00,Patriots,Stephen Gostkowski 24 yard field goal,20,20
3.0,12:05,Patriots,Rob Gronkowski 37 yard pass from Tom Brady (Stephen Gostkowski kick),27,20
,6:58,Redskins,David Anderson 6 yard pass from Rex Grossman (Graham Gano kick),27,27
,4:26,Patriots,Wes Welker 24 yard pass from Tom Brady (Stephen Gostkowski kick),34,27
