Unnamed: 0,TAM,WAS
First Downs,12,14
Rush-Yds-TDs,30-129-0,35-125-0
Cmp-Att-Yd-TD-INT,13-22-106-1-1,12-22-170-2-3
Sacked-Yards,3-6,3-18
Net Pass Yards,100,152
Total Yards,229,277
Fumbles-Lost,1-1,2-1
Turnovers,2,4
Penalties-Yards,5-40,4-40
Third Down Conv.,2-13,4-14
Fourth Down Conv.,0-0,1-2
Time of Possession,31:04,28:56
