Quarter,Time,Tm,Detail,TAM,WAS
1.0,13:00,Buccaneers,Antonio Bryant 8 yard pass from Josh Johnson (Mike Nugent kick),7,0
2.0,0:00,Buccaneers,Mike Nugent 37 yard field goal,10,0
3.0,10:36,Redskins,Shaun Suisham 42 yard field goal,10,3
,3:32,Redskins,Chris Cooley 17 yard pass from Jason Campbell (Shaun Suisham kick failed),10,9
,1:22,Redskins,Santana Moss 59 yard pass from Jason Campbell (Shaun Suisham kick),10,16
4.0,4:25,Buccaneers,Mike Nugent 22 yard field goal,13,16
