Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
1,3:24,1,15,SFO 27,0,3,Kyle Williams left end for 6 yards (tackle by Arthur Moats),0.740,0.660
1,2:58,2,9,SFO 33,0,3,"Alex Smith pass complete short right to Michael Crabtree for 41 yards (tackle by Jairus Byrd). Penalty on Frank Gore: Chop Block, 15 yards (no play)",0.660,-1.470
1,2:27,2,24,SFO 18,0,3,Alex Smith pass incomplete short left intended for Kendall Hunter,-1.470,-2.270
1,2:23,3,24,SFO 18,0,3,Alex Smith pass complete short middle to Michael Crabtree for 16 yards (tackle by Bryan Scott and Aaron Williams),-2.270,-1.110
1,1:40,4,8,SFO 34,0,3,Andy Lee punts 54 yards,-1.110,0.350
1,1:30,1,10,BUF 12,0,3,C.J. Spiller up the middle for 4 yards (tackle by Navorro Bowman),-0.350,-0.370
1,0:50,2,6,BUF 16,0,3,Ryan Fitzpatrick pass complete short left to Donald Jones for 8 yards (tackle by Carlos Rogers and Navorro Bowman),-0.370,0.540
1,0:03,1,10,BUF 24,0,3,Ryan Fitzpatrick pass complete short left to Steve Johnson for 14 yards (tackle by Tarell Brown),0.540,1.470
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 38,0,3,C.J. Spiller up the middle for 2 yards (tackle by Navorro Bowman),1.470,1.190
2,14:24,2,8,BUF 40,0,3,Ryan Fitzpatrick pass complete short left to Scott Chandler for 3 yards (tackle by Patrick Willis),1.190,0.890
2,13:41,3,5,BUF 43,0,3,Ryan Fitzpatrick pass complete short right to T.J. Graham for 9 yards (tackle by Dashon Goldson and Chris Culliver),0.890,2.390
2,13:01,1,10,SFO 48,0,3,Ryan Fitzpatrick pass complete deep right to Scott Chandler for 20 yards (tackle by Donte Whitner),2.390,3.710
2,12:18,1,10,SFO 28,0,3,C.J. Spiller right tackle for 12 yards (tackle by Donte Whitner),3.710,4.510
2,11:41,1,10,SFO 16,0,3,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,4.510,3.900
2,11:36,2,10,SFO 16,0,3,Ryan Fitzpatrick pass complete short left to Steve Johnson for 8 yards (tackle by Tarell Brown and Carlos Rogers),3.900,4.620
2,10:54,3,2,SFO 8,0,3,Ryan Fitzpatrick pass incomplete short middle intended for Donald Jones,4.620,2.990
2,10:50,4,2,SFO 8,0,3,"Penalty on Alex Carrington: False Start, 5 yards (no play)",2.990,2.570
2,10:50,4,7,SFO 13,3,3,Rian Lindell 31 yard field goal good,2.570,3.000
2,10:46,,,BUF 35,3,3,"John Potter kicks off 67 yards, returned by Kyle Williams for 28 yards (tackle by Brad Smith)",0.000,0.670
2,10:40,1,10,SFO 26,3,3,"Penalty on Mike Iupati: False Start, 5 yards (no play)",0.670,0.340
2,10:40,1,15,SFO 21,3,3,Alex Smith pass complete short middle to Michael Crabtree for 36 yards (tackle by Stephon Gilmore),0.340,2.720
2,10:02,1,10,BUF 43,3,9,"Alex Smith pass complete deep right to Kyle Williams for 43 yards, touchdown",2.720,7.000
2,10:02,,,BUF 2,3,10,David Akers kicks extra point good,0.000,0.000
2,9:54,,,SFO 35,3,10,"David Akers kicks off 65 yards, touchback",0.000,0.280
2,9:54,1,10,BUF 20,3,10,C.J. Spiller right tackle for 3 yards (tackle by Patrick Willis),0.280,0.140
2,9:13,2,7,BUF 23,3,10,Ryan Fitzpatrick pass complete short right to Steve Johnson for 8 yards (tackle by Chris Culliver),0.140,1.000
2,8:32,1,10,BUF 31,3,10,C.J. Spiller left guard for 5 yards (tackle by Justin Smith),1.000,1.140
2,7:54,2,5,BUF 36,3,10,C.J. Spiller left end for 3 yards (tackle by Dashon Goldson),1.140,0.830
2,7:13,3,2,BUF 39,3,10,Ryan Fitzpatrick pass incomplete deep left intended for C.J. Spiller,0.830,-0.780
2,7:08,4,2,BUF 39,3,10,"Shawn Powell punts 58 yards, out of bounds",-0.780,0.380
2,6:59,1,10,SFO 3,3,10,Frank Gore up the middle for 1 yard (tackle by Mario Williams),-0.380,-0.710
2,6:21,2,9,SFO 4,3,10,Frank Gore left guard for 2 yards (tackle by Nick Barnett),-0.710,-1.070
2,5:39,3,7,SFO 6,3,10,"Kendall Hunter left end for 14 yards (tackle by Stephon Gilmore). Penalty on Delanie Walker: Tripping, 3 yards (no play)",-1.070,-1.420
2,5:13,3,10,SFO 3,3,10,Kendall Hunter up the middle for 12 yards (tackle by Jairus Byrd and Aaron Williams),-1.420,-0.220
2,4:32,1,10,SFO 15,3,10,Kendall Hunter left tackle for 1 yard (tackle by Mark Anderson),-0.220,-0.580
2,3:52,2,9,SFO 16,3,10,Alex Smith pass complete short left to Mario Manningham for no gain,-0.580,-1.250
2,3:10,3,9,SFO 16,3,10,Alex Smith up the middle for 24 yards,-1.250,1.600
2,2:26,1,10,SFO 40,3,10,"Penalty on Kyle Williams: Neutral Zone Infraction, 5 yards (no play)",1.600,2.330
2,2:05,1,5,SFO 45,3,10,Alex Smith pass incomplete short middle intended for Michael Crabtree (defended by Stephon Gilmore),2.330,1.730
2,2:00,2,5,SFO 45,3,10,Alex Smith pass complete short right to Vernon Davis for 17 yards (tackle by Stephon Gilmore),1.730,3.050
2,1:31,1,10,BUF 38,3,10,Alex Smith pass complete short right to Vernon Davis for 1 yard (tackle by Nigel Bradham),3.050,0.000
2,1:26,,,,3,10,Timeout #1 by San Francisco 49ers,0.000,2.640
2,1:26,2,9,BUF 37,3,10,Alex Smith pass complete short middle to Vernon Davis for 11 yards (tackle by Justin Rogers),2.640,3.840
2,0:58,1,10,BUF 26,3,10,Alex Smith pass incomplete short left intended for Vernon Davis,3.840,3.300
2,0:58,2,10,BUF 26,3,10,"Colin Kaepernick left end for 6 yards (tackle by Nick Barnett). Colin Kaepernick fumbles (forced by Nick Barnett), recovered by Marcell Dareus at BUF-17 (tackle by Delanie Walker)",3.300,0.060
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,0:46,1,10,BUF 17,3,10,Ryan Fitzpatrick pass incomplete deep left intended for T.J. Graham,-0.060,-0.580
2,0:40,2,10,BUF 17,3,10,Fred Jackson left guard for 4 yards (tackle by Patrick Willis),-0.580,0.000
2,0:37,,,,3,10,Timeout #2 by San Francisco 49ers,0.000,-0.750
2,0:37,3,6,BUF 21,3,10,"Ryan Fitzpatrick pass complete short left to Scott Chandler for 11 yards (tackle by Patrick Willis). Scott Chandler fumbles (forced by Patrick Willis), recovered by Dashon Goldson at BUF-33 and returned for 5 yards (tackle by Fred Jackson)",-0.750,-3.710
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,0:29,1,10,BUF 28,3,16,"Alex Smith pass complete deep left to Michael Crabtree for 28 yards, touchdown",3.710,7.000
2,0:29,,,BUF 2,3,17,David Akers kicks extra point good,0.000,0.000
2,0:24,,,SFO 35,3,17,"David Akers kicks off 73 yards, touchback",0.000,0.280
2,0:24,1,10,BUF 20,3,17,Ryan Fitzpatrick kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,3,17,"David Akers kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,BUF 20,3,17,Fred Jackson right guard for 7 yards (tackle by Justin Smith),0.280,0.680
3,14:23,2,3,BUF 27,3,17,Fred Jackson up the middle for 4 yards (tackle by Carlos Rogers),0.680,1.000
3,13:45,1,10,BUF 31,3,17,Ryan Fitzpatrick sacked by Ahmad Brooks for -11 yards,1.000,-1.030
3,13:08,2,21,BUF 20,3,17,Ryan Fitzpatrick right end for 2 yards (tackle by Patrick Willis),-1.030,-1.420
3,12:28,3,19,BUF 22,3,17,Ryan Fitzpatrick pass complete short right to Fred Jackson for 5 yards (tackle by Perrish Cox),-1.420,-1.570
3,12:01,4,14,BUF 27,3,17,"Shawn Powell punts 39 yards, returned by Ted Ginn Jr. for no gain",-1.570,-1.200
3,11:50,1,10,SFO 34,3,17,"Penalty on Frank Gore: False Start, 5 yards (no play)",1.200,0.870
3,11:50,1,15,SFO 29,3,17,Alex Smith pass complete deep right to Vernon Davis for 24 yards (tackle by Arthur Moats),0.870,2.460
3,11:22,1,10,BUF 47,3,17,"Colin Kaepernick pass incomplete deep right intended for Vernon Davis (defended by Jairus Byrd). Penalty on SFO: Offensive Holding, 10 yards (no play)",2.460,1.800
3,11:14,1,20,SFO 43,3,17,Alex Smith pass complete short middle to Michael Crabtree for 10 yards (tackle by Jairus Byrd and Aaron Williams),1.800,1.910
3,10:35,2,10,BUF 47,3,17,Frank Gore left tackle for 31 yards (tackle by Marcell Dareus),1.910,4.510
3,10:01,1,10,BUF 16,3,17,Colin Kaepernick left end for 15 yards (tackle by Stephon Gilmore and Jairus Byrd),4.510,6.970
3,10:01,1,1,BUF 1,3,23,"Frank Gore up the middle for 1 yard, touchdown",6.970,7.000
3,10:01,,,BUF 2,3,24,David Akers kicks extra point good,0.000,0.000
3,9:06,,,SFO 35,3,24,"David Akers kicks off 65 yards, touchback",0.000,0.280
3,9:06,1,10,BUF 20,3,24,Ryan Fitzpatrick pass complete short right to Scott Chandler for 6 yards (tackle by Patrick Willis),0.280,0.540
3,8:27,2,4,BUF 26,3,24,Ryan Fitzpatrick pass incomplete short right intended for Scott Chandler,0.540,-0.160
3,8:22,3,4,BUF 26,3,24,Ryan Fitzpatrick pass complete short left to T.J. Graham for 19 yards (tackle by Donte Whitner),-0.160,1.930
3,7:52,1,10,BUF 45,3,24,Brad Smith left end for 35 yards (tackle by Dashon Goldson),1.930,4.240
3,7:10,1,10,SFO 20,3,24,Ryan Fitzpatrick pass incomplete deep right intended for Donald Jones is intercepted by Chris Culliver at SFO-2 and returned for 4 yards (tackle by Donald Jones),4.240,0.380
3,7:00,1,10,SFO 6,3,24,Frank Gore up the middle for 2 yards (tackle by Nigel Bradham),-0.380,-0.630
3,6:22,2,8,SFO 8,3,24,Kendall Hunter left end for 3 yards (tackle by Mark Anderson),-0.630,-0.840
3,5:43,3,5,SFO 11,3,24,Kendall Hunter left guard for 6 yards (tackle by Marcell Dareus),-0.840,-0.060
3,4:58,1,10,SFO 17,3,24,"Penalty on Chris Kelsay: Encroachment, 5 yards (no play)",-0.060,0.810
3,4:40,1,5,SFO 22,3,24,Bruce Miller left guard for 9 yards (tackle by Nigel Bradham),0.810,1.000
3,3:57,1,10,SFO 31,3,24,Alex Smith pass complete short right to Mario Manningham for 7 yards (tackle by Da'Norris Searcy),1.000,1.410
3,3:27,2,3,SFO 38,3,24,Frank Gore left guard for 17 yards (tackle by Da'Norris Searcy),1.410,2.590
3,2:43,1,10,BUF 45,3,24,Alex Smith pass complete short right to Randy Moss for 11 yards (tackle by George Wilson),2.590,3.310
3,2:02,1,10,BUF 34,3,24,Alex Smith pass incomplete short left intended for Mario Manningham,3.310,2.770
3,1:58,2,10,BUF 34,3,24,Anthony Dixon left end for 9 yards (tackle by George Wilson),2.770,0.000
3,1:16,,,,3,24,Timeout #1 by San Francisco 49ers,0.000,3.270
3,1:14,3,1,BUF 25,3,24,Frank Gore up the middle for 4 yards (tackle by Stephon Gilmore),3.270,4.170
3,0:34,1,10,BUF 21,3,24,Alex Smith pass complete short right to Garrett Celek for 4 yards (tackle by Nigel Bradham),4.170,4.200
Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,BUF 17,3,24,Frank Gore up the middle for 7 yards (tackle by Kyle Williams),4.200,4.910
4,14:16,1,10,BUF 10,3,30,"Alex Smith pass complete short right to Mario Manningham for 10 yards, touchdown",4.910,7.000
4,14:16,,,BUF 2,3,31,David Akers kicks extra point good,0.000,0.000
4,14:12,,,SFO 35,3,31,"David Akers kicks off 69 yards, touchback",0.000,0.280
4,14:12,1,10,BUF 20,3,31,Ryan Fitzpatrick pass complete short left to Steve Johnson for 2 yards (tackle by Aldon Smith),0.280,0.000
4,13:31,2,8,BUF 22,3,31,Ryan Fitzpatrick pass incomplete short right intended for Scott Chandler (defended by Navorro Bowman),0.000,-0.690
4,13:26,3,8,BUF 22,3,31,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,-0.690,-1.900
4,13:22,4,8,BUF 22,3,31,"Shawn Powell punts 62 yards, returned by Ted Ginn Jr. for 10 yards (tackle by Garrison Sanborn). Penalty on Corey McIntyre: Illegal Motion (Offsetting), Penalty on C.J. Spillman: Offensive Holding (Offsetting) (no play)",-1.900,-1.900
4,13:09,4,8,BUF 22,3,31,"Shawn Powell punts 56 yards, returned by Ted Ginn Jr. for 11 yards (tackle by Da'Norris Searcy)",-1.900,-1.140
4,13:00,1,10,SFO 33,3,31,Frank Gore up the middle for 10 yards (tackle by George Wilson),1.140,1.800
4,12:15,1,10,SFO 43,3,31,Kendall Hunter left end for 11 yards (tackle by Nigel Bradham),1.800,2.520
4,11:32,1,10,BUF 46,3,31,Alex Smith pass incomplete short right intended for Randy Moss,2.520,1.980
4,11:26,2,10,BUF 46,3,31,Alex Smith pass incomplete deep right intended for Vernon Davis,1.980,1.290
4,11:21,3,10,BUF 46,3,31,Alex Smith up the middle for 8 yards (tackle by Alex Carrington),1.290,0.720
4,10:50,4,2,BUF 38,3,31,Alex Smith left end for 17 yards,0.720,0.000
4,10:00,,,,3,31,Timeout #2 by San Francisco 49ers,0.000,4.170
4,10:00,1,10,BUF 21,3,31,"Colin Kaepernick for no gain. Penalty on Mark Anderson: Neutral Zone Infraction, 5 yards (no play)",4.170,5.080
4,10:00,1,5,BUF 16,3,37,"Colin Kaepernick left end for 16 yards, touchdown",5.080,7.000
4,10:00,,,BUF 2,3,38,David Akers kicks extra point good,0.000,0.000
4,9:55,,,SFO 35,3,38,"David Akers kicks off 65 yards, touchback",0.000,0.280
4,9:52,1,10,BUF 20,3,38,Fred Jackson right tackle for 2 yards (tackle by C.J. Spillman),0.280,0.000
4,9:14,2,8,BUF 22,3,38,Ryan Fitzpatrick pass complete short left to Steve Johnson for no gain,0.000,-0.690
4,8:31,3,8,BUF 22,3,38,Ryan Fitzpatrick pass complete short middle to Donald Jones for 5 yards (tackle by Darcel McBath),-0.690,-1.570
4,7:52,4,3,BUF 27,3,38,"Shawn Powell punts 50 yards, returned by Ted Ginn Jr. for 8 yards (tackle by Brad Smith)",-1.570,-1.000
4,7:40,1,10,SFO 31,3,38,Kendall Hunter up the middle for 5 yards (tackle by Kyle Williams),1.000,1.140
4,7:00,2,5,SFO 36,3,38,Colin Kaepernick right end for 2 yards (tackle by Bryan Scott),1.140,0.700
4,6:30,3,3,SFO 38,3,38,Colin Kaepernick pass complete short right to Kyle Williams for 7 yards (tackle by Terrence McGee),0.700,1.930
4,5:48,1,10,SFO 45,3,38,Kendall Hunter right tackle for 6 yards (tackle by Nigel Bradham),1.930,2.190
4,5:03,2,4,BUF 49,3,38,Kendall Hunter left tackle for 26 yards (tackle by Da'Norris Searcy),2.190,4.040
4,4:14,1,10,BUF 23,3,38,Kendall Hunter up the middle for 3 yards (tackle by Mario Williams),4.040,3.900
4,3:32,2,7,BUF 20,3,38,Kendall Hunter right guard for 5 yards (tackle by George Wilson),3.900,4.050
4,2:54,3,2,BUF 15,3,38,Kendall Hunter up the middle for 3 yards (tackle by Mark Anderson),4.050,4.780
4,2:24,1,10,BUF 12,3,38,Anthony Dixon right end for 5 yards (tackle by Bryan Scott),4.780,5.020
4,2:00,2,5,BUF 7,3,38,Anthony Dixon up the middle for 4 yards (tackle by Chris Kelsay),5.020,5.060
4,1:17,3,1,BUF 3,3,44,"Anthony Dixon right guard for 3 yards, touchdown",5.060,7.000
4,1:17,,,BUF 2,3,45,David Akers kicks extra point good,0.000,0.000
4,1:11,,,SFO 35,3,45,"David Akers kicks off 55 yards, returned by Brad Smith for 28 yards (tackle by Anthony Dixon)",0.000,1.470
4,1:03,1,10,BUF 38,3,45,Fred Jackson left guard for 4 yards (tackle by Ricky Jean-Francois),1.470,1.460
4,0:26,2,6,BUF 42,3,45,Fred Jackson left tackle for 1 yard (tackle by Larry Grant and Demarcus Dobbs),1.460,0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
