Unnamed: 0,BUF,SFO
First Downs,10,29
Rush-Yds-TDs,19-89-0,38-311-3
Cmp-Att-Yd-TD-INT,16-26-126-0-1,19-25-310-3-0
Sacked-Yards,1-11,0-0
Net Pass Yards,115,310
Total Yards,204,621
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,5-30,7-53
Third Down Conv.,2-10,7-11
Fourth Down Conv.,0-0,1-1
Time of Possession,23:46,36:14
