Unnamed: 0,PIT,CLE
First Downs,24,17
Rush-Yds-TDs,30-100-2,17-43-0
Cmp-Att-Yd-TD-INT,21-30-325-3-0,21-43-210-1-3
Sacked-Yards,2-7,4-28
Net Pass Yards,318,182
Total Yards,418,225
Fumbles-Lost,0-0,2-0
Turnovers,0,3
Penalties-Yards,3-25,6-46
Third Down Conv.,8-13,6-17
Fourth Down Conv.,1-1,3-3
Time of Possession,33:14,26:46
