Unnamed: 0,NOR,SFO
First Downs,29,19
Rush-Yds-TDs,42-248-2,17-93-0
Cmp-Att-Yd-TD-INT,28-39-323-3-0,24-39-398-2-1
Sacked-Yards,1-0,1-5
Net Pass Yards,323,393
Total Yards,571,486
Fumbles-Lost,0-0,3-3
Turnovers,0,4
Penalties-Yards,4-40,9-78
Third Down Conv.,11-17,2-9
Fourth Down Conv.,0-0,0-2
Time of Possession,38:53,21:07
