Quarter,Time,Down,ToGo,Location,NOR,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Bradley Pinion kicks off 65 yards, returned by Travaris Cadet for 20 yards (tackle by Rod Streater)",0.000,-0.280
1,14:55,1,10,NOR 20,0,0,Tim Hightower right guard for 3 yards (tackle by Antoine Bethea and Arik Armstead),0.280,0.140
1,14:25,2,7,NOR 23,0,0,"Penalty on SFO: Defensive 12 On-field, 5 yards (no play)",0.140,0.810
1,14:23,2,2,NOR 28,0,0,Tim Hightower left tackle for 5 yards (tackle by Nick Bellore),0.810,1.140
1,13:54,1,10,NOR 33,0,0,"Drew Brees pass complete deep right to Brandin Cooks for 40 yards (tackle by Antoine Bethea). Penalty on Brandin Cooks: Offensive Pass Interference, 10 yards (no play)",1.140,0.480
1,13:28,1,20,NOR 23,0,0,Drew Brees pass incomplete short left intended for Willie Snead,0.480,-0.760
1,13:24,2,20,NOR 23,0,0,Tim Hightower right tackle for 3 yards (tackle by Ronald Blair and Gerald Hodges),-0.760,-1.020
1,12:52,3,17,NOR 26,0,0,"Drew Brees pass complete short left to Michael Thomas for -4 yards (tackle by Tramaine Brock). Penalty on Eli Harold: Defensive Offside, 5 yards (no play)",-1.020,-0.360
1,12:36,3,12,NOR 31,0,0,Drew Brees pass incomplete short left intended for Willie Snead,-0.360,-1.310
1,12:24,4,12,NOR 31,0,0,"Thomas Morstead punts 56 yards, returned by Jeremy Kerley for 11 yards (tackle by Michael Mauti)",-1.310,-0.540
1,12:18,1,10,SFO 24,0,0,Colin Kaepernick pass complete short right to DuJuan Harris for 15 yards (tackle by Jairus Byrd),0.540,1.530
1,11:55,1,10,SFO 39,0,0,DuJuan Harris middle for 7 yards (tackle by Nathan Stupar and Jairus Byrd),1.530,1.930
1,11:29,2,3,SFO 46,0,0,Colin Kaepernick pass complete short left to Quinton Patton for 31 yards (tackle by Nathan Stupar),1.930,4.040
1,10:50,1,10,NOR 23,0,0,"Colin Kaepernick pass incomplete deep right intended for Torrey Smith. Penalty on DuJuan Harris: Offensive Pass Interference, 10 yards (no play)",4.040,3.380
1,10:42,1,20,NOR 33,0,0,Colin Kaepernick middle for 2 yards (tackle by Kenny Vaccaro),3.380,2.420
1,10:10,2,18,NOR 31,0,0,"Penalty on Vance McDonald: False Start, 5 yards (no play)",2.420,1.740
1,9:49,2,23,NOR 36,0,0,Colin Kaepernick pass complete short right to Jeremy Kerley for 5 yards,1.740,1.750
1,9:35,3,18,NOR 31,0,0,Colin Kaepernick pass incomplete short right intended for DuJuan Harris,1.750,1.320
1,9:30,4,18,NOR 31,0,3,Phil Dawson 49 yard field goal good,1.320,3.000
1,9:25,,,SFO 35,0,3,"Bradley Pinion kicks off 67 yards, returned by Travaris Cadet for 19 yards (tackle by Shaun Draughn)",0.000,0.060
1,9:21,1,10,NOR 17,0,3,Drew Brees pass incomplete short right intended for Coby Fleener (defended by Nick Bellore),-0.060,-0.580
1,9:17,2,10,NOR 17,0,3,Tim Hightower right tackle for 5 yards (tackle by Tramaine Brock and Jimmie Ward),-0.580,-0.620
1,8:44,3,5,NOR 22,0,3,Drew Brees pass complete short right to Michael Thomas for 23 yards (tackle by Keith Reaser),-0.620,1.930
1,8:26,1,10,NOR 45,0,3,Tim Hightower right tackle for no gain (tackle by Gerald Hodges),1.930,1.380
1,7:54,2,10,NOR 45,0,3,Tim Hightower left end for 9 yards (tackle by DeForest Buckner),1.380,1.880
1,7:35,3,1,SFO 46,0,3,Drew Brees pass complete deep left to Josh Hill for 32 yards (tackle by Jimmie Ward),1.880,4.650
1,7:09,1,10,SFO 14,0,3,Tim Hightower middle for 3 yards (tackle by Quinton Dial),4.650,4.520
1,6:31,2,7,SFO 11,0,3,Drew Brees pass complete short left to Brandin Cooks for -2 yards (tackle by Tank Carradine),4.520,3.260
1,5:58,3,9,SFO 13,0,3,Drew Brees pass complete short right to Coby Fleener for 9 yards (tackle by Nick Bellore),3.260,6.280
1,5:15,1,4,SFO 4,6,3,"Tim Hightower right guard for 4 yards, touchdown",6.280,7.000
1,5:11,,,SFO 15,7,3,Wil Lutz kicks extra point good,0.000,0.000
1,5:11,,,NOR 35,7,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
1,5:11,1,10,SFO 25,7,3,Colin Kaepernick pass incomplete deep left intended for Quinton Patton,0.610,0.060
1,5:07,2,10,SFO 25,7,3,Colin Kaepernick pass complete short left to Vance McDonald for 14 yards (tackle by Vonn Bell),0.060,1.530
