Unnamed: 0,CLE,PIT
First Downs,16,25
Rush-Yds-TDs,19-61-1,41-159-3
Cmp-Att-Yd-TD-INT,17-34-253-1-1,18-27-223-1-0
Sacked-Yards,2-11,0-0
Net Pass Yards,242,223
Total Yards,303,382
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,9-75,4-30
Third Down Conv.,5-11,6-13
Fourth Down Conv.,1-2,1-2
Time of Possession,23:37,36:23
