Quarter,Time,Tm,Detail,CLE,PIT
1.0,9:53,Browns,Reuben Droughns 5 yard rush (Phil Dawson kick),7,0
2.0,8:20,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),7,7
,2:11,Steelers,Jeff Reed 42 yard field goal,7,10
,0:06,Steelers,Charlie Batch 1 yard rush (Jeff Reed kick),7,17
3.0,13:19,Steelers,Hines Ward 51 yard pass from Antwaan Randle El (Jeff Reed kick),7,24
4.0,14:48,Steelers,Jeff Reed 33 yard field goal,7,27
,4:23,Browns,Leigh Bodden 59 yard blocked field goal return (Phil Dawson kick),14,27
,1:53,Steelers,Verron Haynes 10 yard rush (Jeff Reed kick),14,34
,0:21,Browns,Antonio Bryant 9 yard pass from Trent Dilfer (Phil Dawson kick),21,34
