#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:28,CHI 26,3,1:54,8,Punt
2,1,8:30,WAS 47,5,1:27,18,Field Goal
3,1,6:51,WAS 10,2,0:49,10,Touchdown
4,2,13:44,CHI 21,1,0:17,0,Interception
5,2,13:27,CHI 25,3,1:44,6,Punt
6,2,10:09,CHI 45,3,1:21,5,Punt
7,2,0:27,CHI 36,1,0:27,-1,End of Half
8,3,15:00,CHI 20,12,5:27,64,Missed FG
9,3,8:06,CHI 20,3,1:32,80,Touchdown
10,3,3:19,CHI 11,9,5:35,89,Touchdown
11,4,10:55,CHI 35,6,2:16,34,Field Goal
12,4,6:27,CHI 33,4,2:30,67,Touchdown
13,4,0:45,CHI 38,3,0:45,11,End of Game
