Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,WAS 20,0,0,Alfred Morris left end for 1 yard (tackle by Jonathan Bostic and Shea McClellin),0.280,-0.130
1,14:23,2,9,WAS 21,0,0,Robert Griffin right end for 23 yards (tackle by Tim Jennings),-0.130,1.860
1,13:44,1,10,WAS 44,0,0,Robert Griffin pass complete deep right to Jordan Reed for 38 yards (tackle by Major Wright and Chris Conte),1.860,4.370
1,13:10,1,10,CHI 18,0,0,"Robert Griffin for no gain. Robert Griffin fumbles, recovered by Chris Chester at CHI-35",4.370,1.530
1,12:21,2,27,CHI 35,0,0,Robert Griffin pass complete short middle to Jordan Reed for 15 yards (tackle by Lance Briggs),1.530,2.870
1,11:38,3,12,CHI 20,0,0,Robert Griffin pass incomplete short middle intended for Pierre Garcon,2.870,2.120
1,11:33,4,12,CHI 20,0,3,Kai Forbath 38 yard field goal good,2.120,3.000
1,11:33,,,WAS 35,0,3,"Kai Forbath kicks off 52 yards, returned by Eric Weems for 13 yards (tackle by Darrel Young)",0.000,-0.670
1,11:23,1,10,CHI 26,0,3,Jay Cutler pass incomplete short right intended for Alshon Jeffery,0.670,0.130
1,11:19,2,10,CHI 26,0,3,Matt Forte left end for 1 yard (tackle by Barry Cofield and Perry Riley),0.130,-0.430
1,10:36,3,9,CHI 27,0,3,Jay Cutler pass complete short right to Brandon Marshall for 7 yards (tackle by DeAngelo Hall),-0.430,-1.110
1,9:47,4,2,CHI 34,0,3,Adam Podlesh punts 65 yards,-1.110,0.380
1,9:34,1,10,WAS 1,0,3,Robert Griffin pass incomplete short middle intended for Leonard Hankerson (defended by Lance Briggs),-0.380,-0.780
1,9:30,2,10,WAS 1,0,3,Darrel Young left end for no gain (tackle by Julius Peppers and Jonathan Bostic),-0.780,-0.780
1,8:44,2,10,WAS 1,0,3,Timeout #1 by Washington Redskins,-0.780,-1.420
1,8:44,3,10,WAS 1,0,3,Penalty on Leonard Hankerson: False Start (no play),-1.420,-1.420
1,8:44,3,10,WAS 1,0,3,Robert Griffin pass incomplete short middle intended for Pierre Garcon (defended by Charles Tillman),-1.420,-2.490
1,8:40,4,10,WAS 1,0,3,"Saverio Rocca punts 36 yards, returned by Devin Hester for 7 yards (tackle by Jerome Murphy). Penalty on Joe Anderson: Offensive Holding, 10 yards",-2.490,-2.460
1,8:30,1,10,WAS 47,0,3,Jay Cutler pass complete short middle to Brandon Marshall for 13 yards (tackle by Reed Doughty),2.460,3.310
1,7:52,1,10,WAS 34,0,3,Jay Cutler pass incomplete deep left intended for Martellus Bennett,3.310,2.770
1,7:45,2,10,WAS 34,0,3,Alshon Jeffery left end for 5 yards (tackle by Stephen Bowen),2.770,2.740
1,7:13,3,5,WAS 29,0,3,Jay Cutler pass incomplete short right intended for Earl Bennett (defended by DeAngelo Hall),2.740,1.540
1,7:08,4,5,WAS 29,3,3,Robbie Gould 47 yard field goal good,1.540,3.000
1,7:08,,,CHI 35,3,3,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,7:03,1,10,WAS 20,3,3,Robert Griffin pass incomplete deep middle intended for Leonard Hankerson is intercepted by Charles Tillman at WAS-38 and returned for 28 yards (tackle by Darrel Young),0.280,-4.910
1,6:51,1,10,WAS 10,3,3,Jay Cutler pass complete short middle to Brandon Marshall for 8 yards (tackle by Josh Wilson and Brandon Meriweather),4.910,5.720
1,6:07,2,2,WAS 2,9,3,"Matt Forte right end for 2 yards, touchdown",5.720,7.000
1,6:07,,,WAS 2,10,3,Robbie Gould kicks extra point good,0.000,0.000
1,6:07,,,CHI 35,10,3,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,6:02,1,10,WAS 20,10,3,Alfred Morris left end for 4 yards (tackle by Jonathan Bostic and Charles Tillman),0.280,0.270
1,5:24,2,6,WAS 24,10,3,Robert Griffin left end for 7 yards (tackle by Charles Tillman),0.270,1.000
1,4:48,1,10,WAS 31,10,3,Alfred Morris right end for -2 yards (tackle by Lance Briggs),1.000,0.190
1,4:06,2,12,WAS 29,10,3,Robert Griffin pass complete short right to Jordan Reed for 5 yards (tackle by Lance Briggs),0.190,0.170
1,3:23,3,7,WAS 34,10,3,Robert Griffin pass complete short left to Jordan Reed for 11 yards (tackle by Charles Tillman and Lance Briggs),0.170,1.930
1,2:52,1,10,WAS 45,10,3,Robert Griffin right end for 8 yards (tackle by Jerry Franklin),1.930,2.460
1,2:20,2,2,CHI 47,10,3,Alfred Morris right end for 4 yards (tackle by Julius Peppers),2.460,2.720
1,1:36,1,10,CHI 43,10,3,"Alfred Morris left end for 7 yards (tackle by James Anderson). Penalty on Josh Morgan: Offensive Holding, 10 yards",2.720,2.520
1,1:05,1,13,CHI 46,10,3,Alfred Morris right end for 4 yards (tackle by Landon Cohen),2.520,2.310
1,0:22,2,9,CHI 42,10,3,Robert Griffin left end for 13 yards (tackle by Charles Tillman and Major Wright),2.310,3.640
Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 29,10,3,Alfred Morris left tackle for -4 yards (tackle by Corey Wootton),3.640,2.560
2,14:21,2,14,CHI 33,10,3,Robert Griffin pass complete deep left to Pierre Garcon for 19 yards (tackle by Charles Tillman and Chris Conte),2.560,4.650
2,13:50,1,10,CHI 14,10,9,"Roy Helu left tackle for 14 yards, touchdown",4.650,7.000
2,13:50,,,CHI 2,10,10,Kai Forbath kicks extra point good,0.000,0.000
2,13:50,,,WAS 35,10,10,"Kai Forbath kicks off 72 yards, returned by Devin Hester for 28 yards (tackle by Niles Paul)",0.000,-0.340
2,13:38,1,10,CHI 21,10,16,"Jay Cutler pass incomplete short left intended for Alshon Jeffery is intercepted by Brian Orakpo at CHI-29 and returned for 29 yards, touchdown",0.340,-7.000
2,13:27,,,CHI 2,10,17,Kai Forbath kicks extra point good,0.000,0.000
2,13:27,,,WAS 35,10,17,"Kai Forbath kicks off 46 yards, muffed catch by Dante Rosario, recovered by Dante Rosario at CHI-19, and returned for 6 yards",0.000,-0.610
2,13:21,1,10,CHI 25,10,17,Matt Forte left guard for 1 yard (tackle by Perry Riley),0.610,0.200
2,12:43,2,9,CHI 26,10,17,Matt Forte right guard for 5 yards (tackle by London Fletcher),0.200,0.170
2,11:58,3,4,CHI 31,10,17,Jay Cutler pass incomplete short middle intended for Brandon Marshall (defended by DeAngelo Hall),0.170,-1.310
2,11:52,4,4,CHI 31,10,17,"Adam Podlesh punts 38 yards, out of bounds",-1.310,-1.000
2,11:43,1,10,WAS 31,10,17,Alfred Morris left tackle for 2 yards (tackle by Major Wright),1.000,0.730
2,11:05,2,8,WAS 33,10,17,Aldrick Robinson right end for -11 yards (tackle by David Bass),0.730,-1.420
2,10:22,3,19,WAS 22,10,17,Robert Griffin pass incomplete short middle intended for Roy Helu,-1.420,-1.900
2,10:18,4,19,WAS 22,10,17,"Saverio Rocca punts 33 yards, fair catch by Eric Weems",-1.900,-1.930
2,10:09,1,10,CHI 45,10,17,Jay Cutler sacked by Chris Baker for -6 yards,1.930,0.570
2,9:47,2,16,CHI 39,10,17,Josh McCown right end for 11 yards (tackle by David Amerson and Perry Riley),0.570,0.570
2,9:04,2,16,CHI 39,10,17,Timeout #1 by Chicago Bears,0.570,1.360
2,9:04,3,5,,10,17,Josh McCown pass incomplete short right intended for Matt Forte,1.360,-0.060
2,8:57,4,5,,10,17,"Adam Podlesh punts 44 yards, fair catch by Josh Morgan",-0.060,0.380
2,8:48,1,10,WAS 6,10,17,Alfred Morris up the middle for 5 yards (tackle by Jonathan Bostic and Julius Peppers),-0.380,-0.420
2,8:11,2,5,WAS 11,10,17,Alfred Morris left end for 18 yards (tackle by Charles Tillman and Chris Conte),-0.420,0.870
2,7:23,1,10,WAS 29,10,17,Robert Griffin pass incomplete deep right intended for Pierre Garcon (defended by Lance Briggs),0.870,0.330
2,7:18,2,10,WAS 29,10,17,Robert Griffin right end for 7 yards (tackle by James Anderson and Corey Wootton),0.330,0.560
2,6:36,3,3,WAS 36,10,17,Robert Griffin sacked by James Anderson for -8 yards,0.560,-1.500
2,6:15,4,11,WAS 28,16,17,"Saverio Rocca punts 53 yards, returned by Devin Hester for 81 yards, touchdown",-1.500,-7.000
2,5:52,,,WAS 2,17,17,Robbie Gould kicks extra point good,0.000,0.000
2,5:52,,,CHI 35,17,17,"Robbie Gould kicks off 61 yards, returned by Josh Morgan for 17 yards (tackle by Eric Weems). Josh Morgan fumbles, recovered by Niles Paul at WAS-26 (tackle by Joe Anderson)",0.000,-0.670
2,5:45,1,10,WAS 26,17,17,Alfred Morris right tackle for 6 yards (tackle by Major Wright and Lance Briggs),0.670,0.940
2,5:11,2,4,WAS 32,17,17,Alfred Morris left end for -2 yards (tackle by Shea McClellin),0.940,-0.030
2,4:30,3,6,WAS 30,17,17,Robert Griffin pass complete short middle to Jordan Reed for 15 yards (tackle by Charles Tillman),-0.030,1.930
2,3:47,1,10,WAS 45,17,17,"Robert Griffin sacked by Jonathan Bostic for -5 yards. Penalty on Landon Cohen: Illegal Use of Hands, 5 yards (no play)",1.930,2.260
2,3:23,1,10,,17,17,Roy Helu right end for -3 yards (tackle by James Anderson and Landon Cohen),2.260,1.310
2,2:43,2,13,WAS 47,17,17,Robert Griffin pass complete short right to Roy Helu for 5 yards (tackle by James Anderson),1.310,1.290
2,2:00,3,8,CHI 48,17,17,Robert Griffin pass complete short middle to Pierre Garcon for 17 yards (tackle by Isaiah Frey),1.290,3.510
2,1:51,1,10,CHI 31,17,17,Roy Helu right end for no gain (tackle by Jonathan Bostic and Lance Briggs),3.510,2.970
2,1:29,2,10,CHI 31,17,17,Robert Griffin pass complete short left to Leonard Hankerson for 26 yards (tackle by Chris Conte),2.970,2.970
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
2,1:20,2,10,CHI 31,17,17,Timeout #2 by Washington Redskins,2.970,6.060
2,1:20,1,5,CHI 5,17,17,Alfred Morris left guard for 2 yards (tackle by Major Wright and Julius Peppers),6.060,5.530
2,0:40,2,3,CHI 3,17,17,Robert Griffin pass incomplete short middle intended for Logan Paulsen,5.530,5.530
2,0:33,2,3,CHI 3,17,17,Timeout #2 by Chicago Bears,5.530,4.720
2,0:33,3,3,CHI 3,17,23,"Robert Griffin pass complete short right to Jordan Reed for 3 yards, touchdown",4.720,7.000
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
2,0:33,,,CHI 2,17,24,Kai Forbath kicks extra point good,0.000,0.000
2,0:33,,,WAS 35,17,24,"Kai Forbath kicks off 44 yards, returned by Joe Anderson for 15 yards (tackle by Josh Hull)",0.000,-1.330
2,0:19,1,10,CHI 36,17,24,Josh McCown kneels for -1 yards,1.330,0.660
Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,17,24,"Kai Forbath kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,CHI 20,17,24,Matt Forte right tackle for 12 yards (tackle by Brandon Meriweather),0.280,1.070
3,14:25,1,10,CHI 32,17,24,Matt Forte left end for 2 yards (tackle by London Fletcher),1.070,0.800
3,13:51,2,8,CHI 34,17,24,Josh McCown pass incomplete deep right intended for Alshon Jeffery (defended by David Amerson),0.800,0.100
3,13:44,3,8,CHI 34,17,24,Josh McCown pass complete short left to Brandon Marshall for 14 yards (tackle by DeAngelo Hall),0.100,2.130
3,13:10,1,10,CHI 48,17,24,Matt Forte left end for 2 yards (tackle by Barry Cofield and Brian Orakpo),2.130,1.850
3,12:27,2,8,,17,24,Josh McCown pass incomplete short left intended for Brandon Marshall,1.850,1.160
3,12:15,3,8,,17,24,"Josh McCown pass incomplete short right intended for Alshon Jeffery (defended by Josh Wilson). Penalty on Brian Orakpo: Roughing the Passer, 15 yards (no play)",1.160,3.250
3,12:15,1,10,WAS 35,17,24,Josh McCown pass complete short right to Earl Bennett for 9 yards (tackle by David Amerson and Perry Riley),3.250,3.920
3,11:37,2,1,WAS 26,17,24,Matt Forte left guard for 3 yards (tackle by Chris Baker),3.920,4.040
3,11:02,1,10,WAS 23,17,24,Matt Forte right end for 9 yards (tackle by London Fletcher),4.040,4.950
3,10:25,2,1,WAS 14,17,24,Matt Forte up the middle for -2 yards (tackle by Brian Orakpo),4.950,3.850
3,9:46,3,3,WAS 16,17,24,Josh McCown pass incomplete short right intended for Martellus Bennett,3.850,2.480
3,9:38,4,3,WAS 16,17,24,Robbie Gould 34 yard field goal no good,2.480,-0.540
3,9:33,1,10,WAS 24,17,24,Robert Griffin left end for 9 yards (tackle by Lance Briggs),0.540,1.210
3,9:07,2,1,WAS 33,17,24,Alfred Morris right tackle for no gain (tackle by Lance Briggs),1.210,0.500
3,8:23,3,1,WAS 33,17,24,Robert Griffin pass incomplete short middle intended for Leonard Hankerson,0.500,-1.180
3,8:18,4,1,WAS 33,17,24,Saverio Rocca punts 47 yards,-1.180,-0.280
3,8:06,1,10,CHI 20,17,24,Josh McCown pass complete short left to Alshon Jeffery for 22 yards (tackle by Reed Doughty),0.280,1.730
3,7:24,1,10,CHI 42,17,24,Josh McCown pass complete short middle to Earl Bennett for 8 yards (tackle by Reed Doughty and Chris Baker),1.730,2.270
3,6:43,2,2,,23,24,"Matt Forte right guard for 50 yards, touchdown",2.270,7.000
3,6:43,,,WAS 2,24,24,Robbie Gould kicks extra point good,0.000,0.000
3,6:43,,,CHI 35,24,24,"Robbie Gould kicks off 67 yards, returned by Josh Morgan for 19 yards (tackle by Eric Weems)",0.000,0.060
3,6:29,1,10,WAS 17,24,24,Alfred Morris left tackle for 15 yards (tackle by Chris Conte and Major Wright),-0.060,1.070
3,6:03,1,10,WAS 32,24,24,Robert Griffin left end for 1 yard (tackle by Jonathan Bostic),1.070,0.660
3,5:36,2,9,WAS 33,24,24,Robert Griffin pass complete short right to Jordan Reed for 11 yards (tackle by James Anderson),0.660,1.860
3,5:11,1,10,WAS 44,24,24,Alfred Morris left tackle for 5 yards (tackle by James Anderson and Landon Cohen),1.860,1.990
3,4:43,2,5,WAS 49,24,24,Robert Griffin pass complete short right to Aldrick Robinson for 30 yards (tackle by Charles Tillman),1.990,4.170
3,4:07,1,10,CHI 21,24,24,Roy Helu right end for 8 yards (tackle by Major Wright),4.170,4.950
3,3:47,2,2,CHI 13,24,24,Roy Helu right tackle for 10 yards (tackle by Craig Steltz),4.950,6.510
3,3:26,1,3,CHI 3,24,30,"Roy Helu left end for 3 yards, touchdown",6.510,7.000
3,3:26,,,CHI 2,24,31,Kai Forbath kicks extra point good,0.000,0.000
