Unnamed: 0,CHI,WAS
First Downs,21,28
Rush-Yds-TDs,22-140-3,43-209-3
Cmp-Att-Yd-TD-INT,17-28-232-1-1,18-29-298-2-1
Sacked-Yards,2-13,1-8
Net Pass Yards,219,290
Total Yards,359,499
Fumbles-Lost,0-0,2-0
Turnovers,1,1
Penalties-Yards,5-30,5-47
Third Down Conv.,2-8,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:04,33:56
