Quarter,Time,Tm,Detail,NYG,KAN
1.0,6:12,Chiefs,Tyreek Hill 6 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
2.0,14:14,Giants,Kyle Rudolph 1 yard pass from Daniel Jones (Graham Gano kick),7,7
,6:37,Chiefs,Derrick Gore 3 yard rush (Harrison Butker kick),7,14
,2:45,Giants,Graham Gano 23 yard field goal,10,14
4.0,14:53,Giants,Evan Engram 5 yard pass from Daniel Jones (Graham Gano kick),17,14
,8:53,Chiefs,Harrison Butker 36 yard field goal,17,17
,1:07,Chiefs,Harrison Butker 34 yard field goal,17,20
