Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Dante Pettis,NYG,0,0,,0,0,1,0,0.0,0,0
Kadarius Toney,NYG,0,0,,0,0,1,0,0.0,0,0
Darnay Holmes,NYG,2,41,20.5,0,22,0,0,,0,0
John Ross,NYG,1,12,12.0,0,12,0,0,,0,0
