Unnamed: 0,NYG,KAN
First Downs,18,29
Rush-Yds-TDs,20-72-0,27-107-1
Cmp-Att-Yd-TD-INT,23-33-241-2-1,29-48-275-1-1
Sacked-Yards,3-13,2-14
Net Pass Yards,228,261
Total Yards,300,368
Fumbles-Lost,2-0,2-1
Turnovers,1,2
Penalties-Yards,10-88,12-103
Third Down Conv.,4-12,5-12
Fourth Down Conv.,1-2,0-0
Time of Possession,25:22,34:38
