Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 69 yards, returned by Jerious Norwood for 25 yards (tackle by Marcus McCauley)",0.000,0.670
1,14:55,1,10,ATL 26,0,0,Matt Ryan pass complete short right to Michael Jenkins for 11 yards (tackle by Antoine Winfield),0.670,1.400
1,14:26,1,10,ATL 37,0,0,Michael Turner up the middle for 4 yards (tackle by Darren Sharper),1.400,1.400
1,14:02,2,6,ATL 41,0,0,"Penalty on Kevin Williams: Encroachment, 5 yards (no play)",1.400,2.070
1,13:58,2,1,ATL 46,0,0,Michael Turner left end for 1 yard (tackle by Kevin Williams and Fred Evans),2.070,2.060
1,13:25,1,10,ATL 47,0,0,Michael Turner up the middle for 6 yards (tackle by Fred Evans),2.060,2.330
1,13:02,2,4,MIN 47,0,0,"Matt Ryan pass complete short left to Harry Douglas for -1 yards (tackle by Darren Sharper). Penalty on Kevin Williams: Defensive Offside, 5 yards (no play)",2.330,2.790
1,12:41,1,10,MIN 42,0,0,Matt Ryan pass complete short left to Justin Peelle for 8 yards (tackle by Darren Sharper),2.790,3.320
1,12:12,2,2,MIN 34,0,0,Matt Ryan pass incomplete short right intended for Michael Jenkins,3.320,2.610
1,12:09,3,2,MIN 34,0,0,Jason Snelling left end for 8 yards (tackle by Madieu Williams),2.610,3.840
1,11:29,1,10,MIN 26,0,0,Michael Turner right end for 7 yards (tackle by Ben Leber and Chad Greenway),3.840,4.270
1,10:47,2,3,MIN 19,0,0,Michael Turner up the middle for 5 yards (tackle by Ray Edwards),4.270,4.650
1,10:06,1,10,MIN 14,0,0,Jerious Norwood up the middle for no gain (tackle by Jared Allen and Napoleon Harris),4.650,4.000
1,9:27,2,10,MIN 14,0,0,Matt Ryan pass complete short middle to Michael Jenkins for 13 yards (tackle by Madieu Williams),4.000,6.970
1,8:52,1,1,MIN 1,6,0,"Michael Turner up the middle for 1 yard, touchdown",6.970,7.000
1,,,,MIN 2,7,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,ATL 30,7,0,"Michael Koenen kicks off 70 yards, returned by Chester Taylor for 10 yards (tackle by Thomas DeCoud)",0.000,-0.380
1,8:42,1,10,MIN 10,7,0,Adrian Peterson left tackle for 9 yards (tackle by Erik Coleman),-0.380,0.240
1,8:09,2,1,MIN 19,7,0,Adrian Peterson right end for 5 yards (tackle by Lawyer Milloy),0.240,0.540
1,7:35,1,10,MIN 24,7,0,Tarvaris Jackson pass incomplete short left intended for Bernard Berrian,0.540,0.000
1,7:31,2,10,MIN 24,7,0,Adrian Peterson right end for 2 yards (tackle by Jamaal Anderson),0.000,-0.430
1,6:53,3,8,MIN 26,7,0,Tarvaris Jackson pass complete short right to Visanthe Shiancoe for 11 yards (tackle by Domonique Foxworth),-0.430,1.400
1,6:15,1,10,MIN 37,7,0,Tarvaris Jackson pass complete short middle to Adrian Peterson for 5 yards (tackle by Keith Brooking),1.400,1.530
1,5:44,2,5,MIN 42,7,0,Adrian Peterson left guard for 3 yards (tackle by Keith Brooking),1.530,1.220
1,5:00,3,2,MIN 45,7,0,Chester Taylor left tackle for 3 yards (tackle by Kroy Biermann and Lawyer Milloy),1.220,2.130
1,4:14,1,10,MIN 48,7,0,Tarvaris Jackson left guard for 7 yards (tackle by Coy Wire),2.130,2.530
1,3:36,2,3,ATL 45,7,0,Adrian Peterson left end for 4 yards (tackle by Michael Boley and Erik Coleman),2.530,2.850
1,2:53,1,10,ATL 41,7,0,Tarvaris Jackson pass complete deep left to Bobby Wade for 20 yards (tackle by Domonique Foxworth),2.850,4.170
1,2:11,1,10,ATL 21,7,6,"Tarvaris Jackson pass complete short right to Visanthe Shiancoe for 21 yards, touchdown",4.170,7.000
1,,,,ATL 2,7,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,7,7,"Ryan Longwell kicks off 67 yards, returned by Jerious Norwood for 35 yards (tackle by Marcus McCauley)",0.000,1.470
1,1:55,1,10,ATL 38,7,7,Michael Turner up the middle for 2 yards (tackle by Chad Greenway and Ray Edwards),1.470,1.190
1,1:17,2,8,ATL 40,7,7,Matt Ryan pass incomplete deep left intended for Roddy White,1.190,0.500
1,1:11,3,8,ATL 40,7,7,Matt Ryan pass complete short left to Harry Douglas for 4 yards (tackle by Cedric Griffin),0.500,-0.460
1,0:35,4,4,ATL 44,7,7,"Michael Koenen punts 34 yards, muffed catch by Bernard Berrian, recovered by Michael Boley and returned for no gain",-0.460,4.110
1,0:26,1,10,MIN 22,7,7,Michael Turner up the middle for 9 yards (tackle by Antoine Winfield),4.110,5.060
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,MIN 13,7,7,Matt Ryan pass incomplete short left intended for Justin Peelle,5.060,4.390
2,14:55,3,1,MIN 13,7,7,Michael Turner left tackle for 5 yards (tackle by Chad Greenway and Cedric Griffin),4.390,5.370
2,14:18,1,8,MIN 8,7,7,Matt Ryan pass incomplete short right intended for Roddy White,5.370,4.570
2,14:11,2,8,MIN 8,13,7,"Matt Ryan pass complete short middle to Jerious Norwood for 8 yards, touchdown",4.570,7.000
2,,,,MIN 2,14,7,Jason Elam kicks extra point good,0.000,0.000
2,,,,ATL 30,14,7,"Michael Koenen kicks off 67 yards, returned by Chester Taylor for 19 yards (tackle by Jason Snelling)",0.000,0.410
2,14:01,1,10,MIN 22,14,7,Adrian Peterson up the middle for -1 yards (tackle by Curtis Lofton),0.410,-0.270
2,13:23,2,11,MIN 21,14,7,Tarvaris Jackson pass complete short left to Bernard Berrian for 8 yards (tackle by Domonique Foxworth),-0.270,0.100
2,12:55,3,3,MIN 29,14,7,Tarvaris Jackson pass complete short left to Chester Taylor for 11 yards (tackle by Michael Boley),0.100,1.600
2,12:18,1,10,MIN 40,14,7,Adrian Peterson right guard for 17 yards (tackle by Lawyer Milloy),1.600,2.720
2,11:41,1,10,ATL 43,14,7,Adrian Peterson left end for 2 yards (tackle by Coy Wire),2.720,2.450
2,11:03,2,8,ATL 41,14,7,Tarvaris Jackson pass complete short right to Visanthe Shiancoe for 17 yards (tackle by Coy Wire),2.450,3.970
