Unnamed: 0,ATL,MIN
First Downs,18,24
Rush-Yds-TDs,32-98-1,31-155-0
Cmp-Att-Yd-TD-INT,13-24-134-1-0,22-36-233-2-0
Sacked-Yards,2-10,3-38
Net Pass Yards,124,195
Total Yards,222,350
Fumbles-Lost,1-0,7-4
Turnovers,0,4
Penalties-Yards,6-70,3-15
Third Down Conv.,5-12,6-13
Fourth Down Conv.,0-0,2-4
Time of Possession,27:05,32:55
