0,1
Game Info,Game Info
Won Toss,Bengals (deferred)
Roof,outdoors
Surface,grass
Duration,3:07
Attendance,72161
Weather,"80 degrees, wind 3 mph"
Vegas Line,Carolina Panthers -2.5
Over/Under,44.0 (over)
